iter	R2	MAE
0	0.03373316725	0.2125518683
5	0.2525968194	0.1757709667
10	0.3370626919	0.1529558286
15	0.3639265753	0.1476290415
20	0.3823147659	0.1459061872
25	0.39406805	0.1449475291
30	0.3996868618	0.1443847221
35	0.4034499025	0.1443227193
40	0.4076133225	0.1437840372
45	0.4107916144	0.1432560547
50	0.4131211772	0.1429428613
55	0.4143716468	0.1431469632
60	0.4156247737	0.142744248
65	0.416768129	0.1429053744
70	0.4183300508	0.1424163677
75	0.420041512	0.1426173657
80	0.4209555191	0.1421369893
85	0.422753919	0.1422775239
90	0.4235506472	0.1418460406
95	0.4251932904	0.1418140299
100	0.4274184781	0.1413849944
105	0.4294154323	0.1412504911
110	0.4307474888	0.1410616691
115	0.4316353202	0.1409055266
120	0.4323570883	0.1408325717
125	0.4328913316	0.1408774272
130	0.4335874789	0.1408261494
135	0.4336538034	0.1405823526
140	0.4347943399	0.1405912354
145	0.4353254204	0.1404800114
150	0.4356479711	0.1404798096
155	0.4360688556	0.1403733046
160	0.4361931209	0.140410047
165	0.4366955861	0.1403143174
170	0.4370397742	0.140316904
175	0.4372764796	0.1402375395
180	0.438221206	0.1400695491
185	0.4388923951	0.1398777367
190	0.4401185429	0.1397465644
195	0.4413800548	0.1394476414
200	0.4419522039	0.1394258256
205	0.4422185303	0.139391203
210	0.4425149997	0.1393382344
215	0.4430806511	0.1392329281
220	0.4440853648	0.1392742002
225	0.4443070305	0.1391860538
230	0.4448021875	0.1389939386
235	0.4450680404	0.1389836931
240	0.4453235683	0.1390139879
245	0.4454408856	0.1388778822
250	0.4455914157	0.1388735543
255	0.4458563799	0.1388008266
260	0.4465127475	0.1387547599
265	0.446655349	0.1387076206
270	0.4468970616	0.1386854641
275	0.44728385	0.1386630679
280	0.4473676742	0.1386158656
285	0.4474478752	0.1386520149
290	0.4474570583	0.1386809975
295	0.4478124988	0.1385487401
300	0.4480588075	0.1385442987
305	0.4485927851	0.1384415159
310	0.4487704237	0.1384616788
315	0.4493800943	0.1382870894
320	0.4495783924	0.1382757714
325	0.45004262	0.138180698
330	0.4514743846	0.1379989166
335	0.4537755839	0.1376290198
340	0.4544631204	0.1375053297
345	0.4552752564	0.1373949763
