iter	Passed	Remaining
0	13	40743
1	24	36034
2	34	34690
3	45	33999
4	56	33793
5	68	34193
6	79	33965
7	90	33618
8	100	33418
9	111	33173
10	122	33261
11	133	33193
12	143	32981
13	154	32888
14	164	32694
15	176	32898
16	187	32775
17	196	32555
18	207	32425
19	217	32313
20	229	32432
21	240	32512
22	250	32368
23	260	32258
24	271	32226
25	287	32814
26	303	33348
27	317	33663
28	329	33644
29	343	33910
30	358	34240
31	370	34279
32	383	34365
33	397	34590
34	410	34677
35	424	34895
36	437	34919
37	449	34945
38	462	35009
39	474	35019
40	488	35162
41	501	35217
42	512	35174
43	523	35094
44	534	35016
45	547	35044
46	562	35250
47	574	35270
48	588	35334
49	602	35463
50	615	35498
51	626	35418
52	638	35390
53	649	35329
54	659	35250
55	672	35273
56	682	35171
57	692	35044
58	702	34953
59	712	34829
60	729	35079
61	739	34976
62	750	34895
63	760	34823
64	774	34891
65	797	35361
66	809	35333
67	823	35442
68	837	35494
69	850	35509
70	863	35542
71	875	35531
72	892	35697
73	906	35754
74	918	35748
75	933	35826
76	945	35801
77	957	35793
78	969	35761
79	981	35724
80	992	35688
81	1004	35650
82	1016	35631
83	1031	35715
84	1042	35649
85	1054	35659
86	1066	35613
87	1076	35545
88	1088	35510
89	1099	35479
90	1114	35551
91	1127	35539
92	1139	35524
93	1150	35482
94	1162	35450
95	1174	35444
96	1186	35426
97	1198	35399
98	1209	35344
99	1220	35295
100	1231	35275
101	1246	35318
102	1256	35254
103	1267	35205
104	1278	35177
105	1291	35162
106	1302	35143
107	1316	35161
108	1329	35182
109	1341	35153
110	1356	35217
111	1370	35264
112	1385	35311
113	1398	35321
114	1410	35288
115	1422	35288
116	1433	35242
117	1444	35205
118	1455	35153
119	1466	35119
120	1479	35118
121	1492	35120
122	1504	35101
123	1516	35085
124	1528	35058
125	1542	35103
126	1553	35060
127	1566	35069
128	1579	35076
129	1590	35023
130	1603	35028
131	1614	34994
132	1625	34960
133	1635	34902
134	1647	34881
135	1661	34908
136	1675	34935
