iter	R2	MAE
0	0.2331070716	0.2379572749
1	0.277255249	0.2209348539
2	0.284067488	0.2145791507
3	0.2866276801	0.211477458
4	0.3021234935	0.2067676142
5	0.3133578314	0.2026761158
6	0.3155714738	0.2004240808
7	0.3154435114	0.1999992257
8	0.3151564277	0.1992843511
9	0.3185201249	0.1984162759
10	0.32200436	0.1978650247
11	0.3202932669	0.1974264343
12	0.3218170592	0.1964935536
13	0.3218587193	0.1964127293
14	0.3214052829	0.1963328711
15	0.3211783441	0.1962827653
16	0.3213178522	0.1962678497
17	0.3213176733	0.1962636819
18	0.3212006037	0.1960970305
19	0.3234991443	0.1947852894
20	0.3234598781	0.1936140866
21	0.3256067905	0.192812658
22	0.3263036801	0.1921419538
23	0.3250670799	0.1919817149
24	0.3263590041	0.191530285
25	0.3258691904	0.1913037692
26	0.3260473593	0.1908220351
27	0.3303232809	0.1900573916
28	0.3287213279	0.1897338452
29	0.3284513939	0.1896407377
30	0.328344174	0.1893234462
31	0.3283454655	0.1891783628
32	0.3280082323	0.1890489261
33	0.3298802736	0.1885254453
34	0.3299250327	0.1884721781
35	0.3304808984	0.1884207618
36	0.3311458501	0.1880098153
37	0.3311227059	0.1879771445
38	0.3325045384	0.1875581195
39	0.332438333	0.1875110984
40	0.3325901222	0.1873472792
41	0.3322560589	0.187275882
42	0.3327161174	0.1872221236
43	0.3336877366	0.1869973798
44	0.3342246377	0.1869033585
45	0.3346090302	0.1868543816
46	0.3356609481	0.1867016351
47	0.3359539566	0.1865809748
48	0.3358462698	0.1865484704
49	0.3396991767	0.1861110725
50	0.339986307	0.1858618893
51	0.3409343917	0.1855724943
52	0.3405722919	0.1852042073
53	0.3405215364	0.1850521188
54	0.3406971269	0.1849907349
55	0.3468774255	0.1832528029
56	0.3472891883	0.1831854729
57	0.3480531548	0.1820771628
58	0.3491046301	0.1819494194
59	0.3545815193	0.1811385687
60	0.3548448038	0.1811162659
61	0.3552917867	0.1809776291
62	0.3554785149	0.1806219131
63	0.3566050998	0.1804736645
64	0.3567921738	0.1804038724
65	0.3569158694	0.1803880231
66	0.3571556626	0.1803229804
67	0.3571885673	0.1803174272
68	0.3576956872	0.1801357143
69	0.3575894257	0.1801205491
70	0.3575712854	0.1800958352
71	0.3587641742	0.1799581403
72	0.3587760647	0.1799099713
73	0.3587315048	0.1797688216
74	0.3596074611	0.1795441514
75	0.3600338919	0.1794194223
76	0.3600369576	0.1794067521
77	0.360272536	0.1792381365
78	0.3602174119	0.1791994513
79	0.3608037213	0.1790315703
80	0.3609043047	0.1790171324
81	0.3608057927	0.1789573161
82	0.3627251592	0.1784360497
83	0.3627442119	0.1784020859
84	0.3628591871	0.1783728292
85	0.3629314222	0.1783401775
86	0.3632251219	0.1782994036
87	0.3633112056	0.1782570661
88	0.3656278371	0.1776946366
89	0.3683925847	0.1770853459
90	0.3698146249	0.1768162795
91	0.3739892372	0.1759778698
92	0.3756596744	0.1756202499
93	0.3766167084	0.175458431
94	0.3783181747	0.1749683074
95	0.3801553956	0.1745376764
96	0.3813782549	0.1744023964
97	0.3815514744	0.1743657628
98	0.3832966166	0.1739553541
99	0.3838827079	0.1738167856
100	0.3842378364	0.1737457368
101	0.3848794224	0.1735379203
102	0.3852287408	0.1734749622
103	0.3852937133	0.1734545601
104	0.3870485164	0.1730705577
105	0.3873244651	0.1730350162
106	0.388465678	0.1728198501
107	0.3893052764	0.1726793846
108	0.3896008411	0.1726638059
109	0.3917280522	0.1721526152
110	0.3923205154	0.1719669691
111	0.3922965218	0.171940868
112	0.395312915	0.1713701528
113	0.3963800593	0.1711522076
114	0.3967682478	0.1710334875
115	0.3986866557	0.1706196991
116	0.4009353473	0.1702007823
117	0.4024843397	0.1697445089
118	0.4040758219	0.1694922294
119	0.4041024327	0.1694713495
120	0.4045263391	0.1694067044
121	0.4049174434	0.1693289456
122	0.4049206269	0.1693217984
123	0.4056927787	0.1691895516
124	0.4072999287	0.1688182854
125	0.4073676056	0.1687969576
126	0.408633862	0.1684215014
127	0.4091345686	0.1683373103
128	0.4096081725	0.1682264825
129	0.4108446005	0.1679284868
130	0.4118049675	0.1678035403
131	0.4122023581	0.1677232031
132	0.4136372757	0.1674349741
133	0.415656736	0.1670081497
134	0.4172110543	0.1666626473
135	0.4173293309	0.1666332759
136	0.4178525638	0.1665163909
137	0.4179675372	0.166454348
138	0.4187793468	0.1662767512
139	0.4208815473	0.1658215086
140	0.4218246377	0.1655430164
141	0.4225464455	0.1653769932
142	0.4239088598	0.1650031256
143	0.4256493983	0.1646366412
144	0.4262250044	0.1645167743
145	0.4273275131	0.1642615572
