case_study,method,rank,k_total,case:concept:name,rec_activity,rec_resource,sim_status_method_mean,sim_remaining_time_method_mean_sigmoid_mm,sim_remaining_time_method_mean,sim_rec_applied_fraction,sim_status_baseline_mean,sim_remaining_time_baseline_mean_sigmoid_mm,sim_remaining_time_baseline_mean,pred_status_with_rec,pred_remaining_time_with_rec_sigmoid_mm,pred_remaining_time_with_rec,pred_status_no_rec,pred_remaining_time_no_rec_sigmoid_mm,pred_remaining_time_no_rec
BAC,exhaustive,2,5,201810001660,Request completed with account closure,BOCSER,1.0,0.0,0.0,1.0,0.9,0.03473793783875566,135597.0,0.9972621905666773,0.08697353660492976,337081.71694840875,0.9881554764608053,0.05813112978466967,226199.13931970065
BAC,exhaustive,2,5,201810006512,Service closure Request with BO responsibility,00851,0.9,0.18000555249080352,694780.0,1.0,0.8,0.2187698138014033,857434.0,0.6173734184300358,0.1992669689213155,766020.1551728084,0.5691887443778411,0.17798501854391516,684655.6682172547
BAC,exhaustive,2,5,201810008108,Request completed with account closure,BOCSER,1.0,0.0,0.0,1.0,0.9,0.05074759781040148,197298.0,0.9970169201809777,0.09034740485876394,350012.2606190208,0.9871049178645234,0.05813112978466967,226199.13931970065
BAC,exhaustive,2,5,201810008268,Service closure Request with BO responsibility,BOC,0.9,0.10530629007262257,406767.0,1.0,0.8,0.2040845668629676,895347.0,0.023564473640532345,0.18247421148908724,701803.1584635626,0.09511979011052987,0.20517990715702153,788665.7674622257
BAC,exhaustive,2,5,201810008485,Pending Liquidation Request,BOCSER,0.0,0.04188266175866443,163353.0,1.0,0.0,0.041235117586333046,160749.0,0.0007102912671044081,0.10053562385162312,389018.88731823047,3.060716826484353e-05,0.421646535295228,1652359.1338027336
BAC,exhaustive,2,5,201810008899,Pending Liquidation Request,BOC,0.8,0.03081192243244616,120388.0,1.0,1.0,0.030509621025504884,119158.2,0.9847831938888104,0.05902463500780908,229644.7914760437,0.9847831938888104,0.05902463500780908,229644.7914760437
BAC,exhaustive,2,5,20181000902,Pending Request for Reservation Closure,BOCSER,0.0,0.030978432432104564,121037.0,1.0,0.0,0.19095856995824584,752675.1,0.034967547976575905,0.23567430792788072,905842.0618414814,0.0007015539116209218,0.2723886337339415,1048113.7361435925
BAC,exhaustive,2,5,201810010740,Service closure Request with BO responsibility,BOC,0.9,0.10271443234999274,396883.0,1.0,1.0,0.11097118608980763,429908.1,0.8908167680162975,0.17361984273470582,667988.0582319172,0.8235109813524589,0.1871111165005771,719522.6302942386
BAC,exhaustive,2,5,201810011081,Service closure Request with BO responsibility,BOC,0.9,0.14207415542173435,569144.0,1.0,0.7,0.16741986085188404,656744.4,0.9261402598261502,0.16892053264912393,650050.4001550825,0.929206775968562,0.23614876458320772,907671.3050619831
BAC,exhaustive,2,5,201810011583,Service closure Request with BO responsibility,BOC,0.9,0.13296510956021818,513693.0,1.0,0.8,0.16591997800588304,649450.5,0.8873498917877404,0.17952025872494295,690519.0951667174,0.9209380926066946,0.23839205608459374,916323.1133083205
