case_study,method,rank,k_total,case:concept:name,rec_activity,rec_resource,sim_status_method_mean,sim_remaining_time_method_mean,sim_status_baseline_mean,sim_remaining_time_baseline_mean,pred_status_with_rec,pred_remaining_time_with_rec,pred_status_no_rec,pred_remaining_time_no_rec
BAC,exhaustive,5,5,201810008268,Service closure Request with BO responsibility,00854,0.9,169644.0,0.8,851170.5,0.34135869708887195,722044.1481450071,0.20513045742457645,722044.1481450071
BAC,exhaustive,5,5,20181013679,Evaluating Request (WITH registered letter),00045,1.0,0.0,0.5,714289.5,0.6948612086187773,1257497.7025767122,0.37582992459601283,1565433.6614559535
BAC,exhaustive,5,5,201811000205,Evaluating Request (NO registered letter),00594,0.6,1060138.2,0.7,998242.2,0.894687842611202,626297.9783716893,0.8562668741853328,1245428.9701112397
BAC,exhaustive,5,5,201811002881,Evaluating Request (NO registered letter),00119,0.7,399060.0,0.9,1213050.0,0.8907811362267252,627297.0624364251,0.7903129782712992,662170.0686016514
BAC,exhaustive,5,5,201811004338,Service closure Request with network responsibility,00275,1.0,0.0,1.0,740353.6,0.8389171603676314,233952.4318512599,0.8389171603676314,443572.14940722793
BAC,exhaustive,5,5,201811005422,Evaluating Request (NO registered letter),00594,1.0,122662.0,0.5,1009018.0,0.8795447280675138,605000.3974714745,0.8366080438610338,1187560.3519091052
BAC,exhaustive,5,5,201811005954,Evaluating Request (NO registered letter),00119,0.8,165906.0,0.9,844228.0,0.8965193242246857,629986.6698677314,0.8001453410854302,664882.1871508741
BAC,exhaustive,5,5,201811006674,Service closure Request with BO responsibility,00854,0.8,126606.0,0.9,735870.2,0.6130774718315156,1079841.2133524516,0.40907346590718435,1376845.551200762
BAC,exhaustive,5,5,201811007401,Service closure Request with BO responsibility,00854,0.7,174436.0,0.9,844616.0,0.6104454440757267,982723.7915333821,0.407730915236598,1286127.0695258668
BAC,exhaustive,5,5,201811008100,Pending Request for Reservation Closure,SDCRAP,1.0,0.0,1.0,181452.0,0.8418038025361646,319925.5522064701,0.8304800775057644,638978.6446666266
BAC,exhaustive,5,5,201811008338,Service closure Request with BO responsibility,00850,0.8,154938.0,0.8,970125.6,0.5823205552476888,1107385.690629756,0.44109855533483955,1451163.0812463057
BAC,exhaustive,5,5,201811008598,Evaluating Request (NO registered letter),00045,0.7,380886.0,1.0,916918.4,0.9280445149075843,654902.4121167691,0.8615445933517901,671609.3052860651
BAC,exhaustive,5,5,201811008631,Evaluating Request (WITH registered letter),00045,1.0,0.0,0.8,748620.4,0.8502263392868578,579817.1975757056,0.7499406449877609,682967.7855380719
BAC,exhaustive,5,5,201811008634,Evaluating Request (NO registered letter),00045,0.7,417263.1,0.7,1004105.7,0.9280445149075843,654902.4121167691,0.8615445933517901,671609.3052860651
BAC,exhaustive,5,5,201811009132,Evaluating Request (NO registered letter),00491,1.0,175650.0,0.8,855373.3,0.887859430629879,727546.4522991356,0.7757215952155274,641938.0347385671
