case_study,method,rank,k_total,case:concept:name,rec_activity,rec_resource,sim_status_method_mean,sim_remaining_time_method_mean_sigmoid_mm,sim_remaining_time_method_mean,sim_rec_applied_fraction,sim_status_baseline_mean,sim_remaining_time_baseline_mean_sigmoid_mm,sim_remaining_time_baseline_mean,pred_status_with_rec,pred_remaining_time_with_rec_sigmoid_mm,pred_remaining_time_with_rec,pred_status_no_rec,pred_remaining_time_no_rec_sigmoid_mm,pred_remaining_time_no_rec
BAC,exhaustive,1,5,201810001660,Request completed with account closure,BOC,1.0,0.0,0.0,1.0,0.9,0.03473793783875566,135597.0,0.9890081701630377,0.0650655861767906,252921.16618215182,0.9881554764608053,0.05813112978466967,226199.13931970065
BAC,exhaustive,1,5,201810002650,Pending Request for Reservation Closure,BOCSER,1.0,0.033802578083868925,131866.0,1.0,0.9,0.17959275999630755,709311.6,0.7946090538510279,0.22986392184576654,883457.2867078931,0.5571381763904998,0.3103726126331686,1197256.2452356084
BAC,exhaustive,1,5,201810006512,Service closure Request with BO responsibility,BOC,0.9,0.13090070140091353,505084.0,1.0,0.8,0.2187698138014033,857434.0,0.5691887443778411,0.17798501854391516,684655.6682172547,0.5691887443778411,0.17798501854391516,684655.6682172547
BAC,exhaustive,1,5,201810008108,Request completed with account closure,BOC,1.0,0.0,0.0,1.0,0.9,0.05074759781040148,197298.0,0.9880323258846095,0.0678689318700165,263711.6177347172,0.9871049178645234,0.05813112978466967,226199.13931970065
BAC,exhaustive,1,5,201810008268,Evaluating Request (WITH registered letter),00015,0.9,0.16134017647308663,631869.0,1.0,0.8,0.2040845668629676,895347.0,0.20556914906146556,0.2502817546495797,962263.5798696631,0.09511979011052987,0.20517990715702153,788665.7674622257
BAC,exhaustive,1,5,201810008485,Pending Liquidation Request,BOC,0.0,0.04034888260119037,157449.0,1.0,0.0,0.041235117586333046,160749.0,0.0001153572831857886,0.0818867741039559,317572.4091892875,3.060716826484353e-05,0.421646535295228,1652359.1338027336
BAC,exhaustive,1,5,201810008899,Request completed with account closure,BOCSER,1.0,0.0,0.0,1.0,1.0,0.030509621025504884,119158.2,0.9949682312288184,0.07721338955731098,299632.6132483702,0.9847831938888104,0.05902463500780908,229644.7914760437
BAC,exhaustive,1,5,20181000902,Pending Request for Reservation Closure,BOC,0.0,0.0356271230648584,139109.0,1.0,0.0,0.19095856995824584,752675.1,0.001025490037055465,0.23284691499245436,894945.5583094367,0.0007015539116209218,0.2723886337339415,1048113.7361435925
BAC,exhaustive,1,5,201810010740,Service closure Request with network responsibility,00015,0.8,0.110315230390533,425863.0,1.0,1.0,0.11097118608980763,429908.1,0.9751988561485271,0.22903386741689816,880261.937915527,0.8235109813524589,0.1871111165005771,719522.6302942386
BAC,exhaustive,1,5,201810011081,Service closure Request with network responsibility,00015,1.0,0.10579133381769776,408524.0,1.0,0.7,0.16741986085188404,656744.4,0.9762892401236858,0.23614876458320772,907671.3050619831,0.929206775968562,0.23614876458320772,907671.3050619831
BAC,exhaustive,1,5,201810011583,Service closure Request with network responsibility,00015,0.9,0.12439355205817862,480261.0,1.0,0.8,0.16591997800588304,649450.5,0.9733621629981231,0.23839205608459374,916323.1133083205,0.9209380926066946,0.23839205608459374,916323.1133083205
BAC,exhaustive,1,5,20181012611,Service closure Request with BO responsibility,BOC,1.0,0.12791674903074285,493755.0,1.0,0.9,0.20587753424603839,808155.0,0.7251913677505255,0.1744771339796508,671261.027450417,0.7251913677505255,0.1744771339796508,671261.027450417
BAC,exhaustive,1,5,20181013679,Evaluating Request (WITH registered letter),00025,0.9,0.1393882167417021,537783.0,1.0,0.9,0.2072362794522366,813297.0,0.8405301605195395,0.3246273452591033,1253874.6154392504,0.3706508725739829,0.3804011747923306,1479748.018830131
BAC,exhaustive,1,5,201811000205,Evaluating Request (WITH registered letter),00015,0.9,0.16406918743600676,632794.0,1.0,0.8,0.20841575239262894,818140.0,0.9749071564932044,0.2462046089906869,946493.2463928403,0.8574852092879335,0.2624820708107226,1009567.4276071618
BAC,exhaustive,1,5,201811001580,Service closure Request with network responsibility,00015,0.7,0.1444760443180112,557387.0,1.0,1.0,0.15606973569801577,612180.3,0.9800006536833377,0.22485853646042553,864197.6885182313,0.939833765369691,0.22485853646042553,864197.6885182313
BAC,exhaustive,1,5,201811001889,Service closure Request with network responsibility,00491,0.7,0.15734026241251664,606437.0,1.0,0.7,0.2436948378765576,960549.3,0.9892870053616241,0.22485853646042553,864197.6885182313,0.9720773616016674,0.22485853646042553,864197.6885182313
BAC,exhaustive,1,5,201811002881,Evaluating Request (WITH registered letter),00025,0.8,0.1582676071728427,610050.0,1.0,1.0,0.18035171468460104,709974.0,0.9355976937598632,0.24460616244646324,940315.3435232444,0.9313455859321133,0.26577036518952935,1022347.9716265122
BAC,exhaustive,1,5,201811003327,Pending Request for Reservation Closure,BOC,0.0,0.045454404143095616,176645.0,1.0,0.0,0.2410447943007342,944231.0,0.0006852868366056615,0.23596539023305452,906964.2894266557,0.0004687651079598554,0.2723886337339415,1048113.7361435925
BAC,exhaustive,1,5,201811003911,Service closure Request with network responsibility,00015,0.9,0.11599604322972072,447942.0,1.0,0.8,0.222965859488749,876762.0,0.9827495990009166,0.22485853646042553,864197.6885182313,0.9592050315804852,0.23682674467716686,910285.5934991853
BAC,exhaustive,1,5,201811004163,Service closure Request with BO responsibility,BOC,0.8,0.12592460664704105,486011.0,1.0,0.9,0.18463932453302506,726248.1,0.7094304771878965,0.18447245737462897,709438.2289728939,0.8412310347487817,0.2485511800599178,955567.5383337373
BAC,exhaustive,1,5,201811004205,Service closure Request with BO responsibility,BOC,0.9,0.10306232613973836,398055.0,1.0,0.7,0.1923101460282889,751094.7,0.9230484547971363,0.15803621719436384,608521.1358173128,0.9230484547971363,0.15803621719436384,608521.1358173128
BAC,exhaustive,1,5,201811004338,Service closure Request with network responsibility,00119,0.9,0.13478392060268057,520069.0,1.0,0.8,0.19406425667219684,764096.1,0.9609392381283731,0.22306194391757359,857289.9089202184,0.8974220974612022,0.22306194391757359,857289.9089202184
BAC,exhaustive,1,5,201811005226,Service closure Request with BO responsibility,BOCSER,0.9,0.12282089859706657,474004.0,1.0,1.0,0.16390634839482338,646564.4,0.9123135400020579,0.19600737743087304,753544.7346155888,0.8745011561716555,0.19041014857577726,732134.931554899
BAC,exhaustive,1,5,201811005422,Evaluating Request (WITH registered letter),00015,0.6,0.18707455286615665,724480.0,1.0,0.9,0.1940194838415621,763566.0,0.9662749300516237,0.24497141194655686,941726.7747003431,0.8330483860685651,0.26171299597821895,1006580.2467429655
BAC,exhaustive,1,5,201811005747,Pending Request for Reservation Closure,BOC,0.7,0.06004010448057647,232782.0,1.0,0.7,0.13578741386706436,534168.0,0.9866015528221038,0.062374383606121304,242555.83247676515,0.00021209597371184765,0.35057945367239707,1358040.779849668
BAC,exhaustive,1,5,201811005954,Service closure Request with BO responsibility,BOC,0.9,0.13749407923992446,530510.0,1.0,0.8,0.19913958327266376,781856.4,0.907097924949169,0.18737544028504244,720532.9765244925,0.9286797597497572,0.26577036518952935,1022347.9716265122
BAC,exhaustive,1,5,201811006467,Request completed with account closure,BOC,1.0,0.0,0.0,1.0,1.0,0.03762800197433882,146808.0,0.8774559329792945,0.05363371821842575,208843.8068439212,0.8399145321485774,0.0565778762085477,220207.44656364527
BAC,exhaustive,1,5,201811006674,Evaluating Request (WITH registered letter),00025,0.9,0.11940272763381601,460682.0,1.0,1.0,0.1612149593454783,669398.8,0.7527936048065326,0.3351691113187785,1296008.522766077,0.38135188750018806,0.3557873183323382,1379130.2360186353
BAC,exhaustive,1,5,201811006982,Request completed with account closure,BOC,0.0,0.0,0.0,1.0,0.0,0.039030829424179715,152225.0,9.920509730045564e-05,0.05924159732786335,230481.355096796,8.690057676308756e-05,0.05959339492706473,231837.72184782976
BAC,exhaustive,1,5,201811007401,Evaluating Request (WITH registered letter),00025,0.8,0.18415107087916413,721636.0,1.0,0.8,0.16453310790467376,643260.0,0.7255109700997402,0.33690194929155615,1302957.1110587558,0.37696398141957965,0.3557873183323382,1379130.2360186353
BAC,exhaustive,1,5,201811008100,Service closure Request with network responsibility,00360,0.9,0.13375973328002183,516030.0,1.0,1.0,0.18257378861915824,718383.0,0.9423665767197917,0.2314812267545014,889684.9530927918,0.9423665767197917,0.23616314198911492,907726.7397397773
BAC,exhaustive,1,5,201811008330,Pending Request for Reservation Closure,BOCSER,0.9,0.04615505960547291,179380.0,1.0,0.8,0.08814696747282041,341345.2,0.5890478381239934,0.23605094800358006,907294.1608289524,0.22219217951511508,0.3203779574503711,1236955.0954542425
BAC,exhaustive,1,5,201811008338,Evaluating Request (WITH registered letter),00025,0.9,0.1524689419782909,588100.0,1.0,0.9,0.19565087010326984,774201.2,0.7913693996501148,0.3370357828955156,1303494.0503438883,0.43455774712944956,0.3557873183323382,1379130.2360186353
BAC,exhaustive,1,5,201811008394,Pending Request for Reservation Closure,BOC,0.9,0.07877899396534437,305614.0,1.0,0.9,0.1953872701933563,767512.0,0.9882358436897598,0.0663167546304984,257737.92470521887,0.0005853824236606708,0.32711689080555545,1263804.036233562
BAC,exhaustive,1,5,201811008598,Evaluating Request (WITH registered letter),00491,0.8,0.1690192287100904,657322.0,1.0,0.8,0.16238404754632477,630197.6,0.9720014956613547,0.24497141194655686,941726.7747003431,0.9552888760763212,0.26124887376659256,1004777.8947711024
BAC,exhaustive,1,5,201811008631,Service closure Request with BO responsibility,00850,0.8,0.14468431377256757,560968.0,1.0,0.8,0.2114361100487942,924212.4,0.9066935453874985,0.1940079300117509,745894.9656662188,0.823571333249946,0.23344595609087349,897253.5884026862
BAC,exhaustive,1,5,201811008634,Evaluating Request (WITH registered letter),00491,0.8,0.17732843170333654,685701.0,1.0,0.8,0.2702978090257527,1115781.9,0.9705298216230753,0.24497141194655686,941726.7747003431,0.9480697276933405,0.30813174418782296,1188390.717237363
BAC,exhaustive,1,5,201811009132,Evaluating Request (WITH registered letter),00015,0.9,0.15033235470054557,579655.0,1.0,0.8,0.24870345086043794,982693.0,0.9373645017841682,0.24076750721539159,925489.9751331103,0.8926074034756255,0.26002587953128486,1000029.8441648213
BAC,exhaustive,1,5,201811009434,Evaluating Request (WITH registered letter),00015,1.0,0.09495385558078115,367229.0,1.0,0.9,0.16356547634069846,641891.0,0.9298877565856394,0.24056982457803344,924726.9047897728,0.878363218700703,0.26360069889783666,1013913.637592926
BAC,exhaustive,1,5,201811009590,Request completed with account closure,BOC,1.0,0.0,0.0,1.0,0.9,0.033562565681647526,131053.0,0.9713016780471753,0.0640719981078932,249095.0574905111,0.964506624150366,0.07070204157689003,274609.8223326113
BAC,exhaustive,1,5,201811009800,Service closure Request with BO responsibility,BOC,0.8,0.09933591165795705,383755.0,1.0,0.7,0.15730223075201696,617250.9,0.8951202099440928,0.17544027649897348,674938.3632545259,0.0021563509477221534,0.26216097624760604,1008320.1673750733
BAC,exhaustive,1,5,201811010119,Pending Request for Reservation Closure,BOC,0.9,0.07481464583129119,290174.0,1.0,0.8,0.1993349642993608,784251.0,0.9880132067706612,0.06252644652820497,243141.68674410362,0.0006392495844888017,0.3382196041665816,1308245.250932777
BAC,exhaustive,1,5,201811010142,Request completed with account closure,BOC,1.0,0.0,0.0,1.0,0.8,0.03524510169994717,137532.3,0.9815882754665385,0.06419960463865257,249586.49393523845,0.980171521863307,0.06211148778310615,241542.92133943952
BAC,exhaustive,1,5,201811010681,Pending Request for Reservation Closure,BOCSER,0.8,0.03209450550708853,125377.0,1.0,0.9,0.14292118339836096,561356.1,0.8460251869723582,0.22007802910941296,845822.6559421762,0.6411549649101431,0.29818334587130707,1149139.7412498184
BAC,exhaustive,1,5,201811010732,Service closure Request with BO responsibility,BOC,0.7,0.15979950194187303,634972.0,1.0,0.9,0.1456743848814556,564854.8,0.8923891337898066,0.19072393377435312,733334.7914905045,0.8531342001408269,0.26577036518952935,1022347.9716265122
BAC,exhaustive,1,5,201811011699,Service closure Request with network responsibility,00015,0.7,0.1690648013531096,660209.0,1.0,0.7,0.23659105270297348,930371.0,0.9786548090167286,0.22836323177204654,877680.7201462435,0.9359615416630435,0.22836323177204654,877680.7201462435
BAC,exhaustive,1,5,201811011715,Service closure Request with network responsibility,00015,0.7,0.18291246325042826,709548.0,1.0,1.0,0.1863942700330209,734067.0,0.9838341769307857,0.2294926508682385,882027.9803220965,0.9509814655785221,0.2294926508682385,882027.9803220965
BAC,exhaustive,1,5,201811011742,Service closure Request with BO responsibility,BOC,0.8,0.14523773712245117,566050.0,1.0,1.0,0.13956125974098196,540873.0,0.8971702996218652,0.15921791655890474,613029.0625381102,0.8971702996218652,0.15921791655890474,613029.0625381102
BAC,exhaustive,1,5,201811011907,Service closure Request with BO responsibility,BOC,0.8,0.15126156189867074,583282.0,1.0,0.9,0.2442341618406647,1067710.0,0.7297093320591735,0.17439773078980897,670957.873104826,0.8690078067601953,0.20834087991261058,800780.3830500506
BAC,exhaustive,1,5,201811011916,Evaluating Request (WITH registered letter),00015,0.9,0.1225583636331545,472898.0,1.0,0.9,0.18214710187669916,715808.0,0.9341029433254939,0.24363091982620316,936547.4012171403,0.8710960042665218,0.26288929214209633,1011149.4242452595
BAC,exhaustive,1,5,201812000179,Pending Request for Reservation Closure,BOCSER,0.9,0.03882039201505368,151507.0,1.0,0.8,0.14672777219259506,567878.1,0.8760769377415871,0.23826233434081945,915822.6769938826,0.5848767376808414,0.31379742736179517,1210823.7093285874
BAC,exhaustive,1,5,201812000181,Pending Request for Reservation Closure,BOCSER,1.0,0.03868035307775468,150964.0,1.0,0.9,0.18814350462315071,735112.0,0.8760769377415871,0.23826233434081945,915822.6769938826,0.5848767376808414,0.31379742736179517,1210823.7093285874
BAC,exhaustive,1,5,201812000186,Evaluating Request (WITH registered letter),00015,0.9,0.10212117172391481,394540.0,1.0,0.9,0.11437834692064093,449626.6,0.9783402372323605,0.24310474036981974,934514.865861342,0.9601179043717809,0.26124887376659256,1004777.8947711024
BAC,exhaustive,1,5,201812000605,Service closure Request with network responsibility,00015,0.7,0.15172405185236534,591636.0,1.0,0.9,0.1912831706613291,750252.0,0.9827016520105452,0.22485853646042553,864197.6885182313,0.9476698064671015,0.22485853646042553,864197.6885182313
BAC,exhaustive,1,5,201812000606,Pending Request for Reservation Closure,BOC,1.0,0.08234522124484822,319310.0,1.0,1.0,0.18766810868305797,737758.2,0.8831167470664189,0.17127008293179705,659018.1452374947,0.9178068433989869,0.24797711292289307,953347.0473088378
BAC,exhaustive,1,5,201812000900,Service closure Request with BO responsibility,BOC,0.8,0.16164504164269652,629068.0,1.0,1.0,0.19531991432770668,768916.0,0.7767826763402654,0.15899041427073166,612161.1780746175,0.7767826763402654,0.15899041427073166,612161.1780746175
BAC,exhaustive,1,5,201812002344,Evaluating Request (WITH registered letter),00025,0.8,0.14139875335776178,545324.0,1.0,0.9,0.1847983805818117,726570.0,0.8535584182753383,0.3120660285469453,1203962.0125179915,0.35292832404901187,0.3384221714956964,1309058.5542103332
BAC,exhaustive,1,5,201812002552,Service closure Request with BO responsibility,BOCSER,0.9,0.1361271902123843,525114.0,1.0,1.0,0.1832909808461515,721009.2,0.8892888308554657,0.17498941353655262,673216.9083417245,0.8351440652660773,0.1711336772300906,658497.4769393641
BAC,exhaustive,1,5,201812002630,Evaluating Request (WITH registered letter),00025,0.9,0.16687855937569215,642906.0,1.0,0.9,0.20901425435987947,820074.0,0.7596062073823815,0.33413980284611133,1291884.145350914,0.3741433338398025,0.350985507855761,1359682.7517280744
BAC,exhaustive,1,5,201812002677,Service closure Request with BO responsibility,BOC,0.9,0.11612019919690793,448219.0,1.0,0.8,0.20202587057923677,794557.0,0.9372559015165288,0.15921791655890474,613029.0625381102,0.9372559015165288,0.15921791655890474,613029.0625381102
BAC,exhaustive,1,5,201812002837,Pending Liquidation Request,BOCSER,0.9,0.03544268580559925,138389.0,1.0,0.7,0.2335115766756141,914735.0,0.9600848254700374,0.13135321858263596,506738.41974604316,0.0008180692175044997,0.3373140750762742,1304610.6824137857
BAC,exhaustive,1,5,201812002893,Evaluating Request (WITH registered letter),00015,0.8,0.13558403165899163,529275.0,1.0,1.0,0.19252561593178838,757958.4,0.9699511752375117,0.24310474036981974,934514.865861342,0.9393818238984116,0.26124887376659256,1004777.8947711024
BAC,exhaustive,1,5,201812003039,Service closure Request with network responsibility,00722,0.8,0.1038401862560749,401015.0,1.0,0.8,0.22941236682035998,939042.9,0.9588114188941206,0.2393990254940893,920208.3265216646,0.8213853913694279,0.2393990254940893,920208.3265216646
BAC,exhaustive,1,5,201812003088,Pending Request for Reservation Closure,BOC,0.0,0.032108689428020955,125430.0,1.0,0.0,0.15727128635888032,616362.0,0.0008108621378655205,0.23779001609709088,914000.7211965803,0.0005546859350335497,0.27674936112077425,1065123.120351864
BAC,exhaustive,1,5,201812003287,Request completed with account closure,BOC,1.0,0.0,0.0,1.0,0.9,0.1019423120490042,402387.6,0.8632772443515514,0.07394211689780526,287065.4398953851,0.0009235184601438162,0.29529729627877394,1137784.69132678
BAC,exhaustive,1,5,201812004065,Request completed with account closure,BOC,1.0,0.0,0.0,1.0,1.0,0.04005367181771787,156227.0,0.9673752110180894,0.05037020410340143,196237.2725481433,0.9609385613577975,0.06104247903121483,237423.48307317746
BAC,exhaustive,1,5,201812004155,Service closure Request with BO responsibility,BOCSER,0.0,0.10955797603271611,423199.0,1.0,0.0,0.20428549973062277,803833.0,0.009086861565332833,0.19751122580290825,759299.7106574452,0.0005333640326863877,0.20108262120244366,772971.6826256202
BAC,exhaustive,1,5,201812004198,Request completed with account closure,BOC,0.0,0.0,0.0,1.0,0.0,0.033819936789978154,132064.0,0.00018838379627970643,0.051537687189671055,200748.37269268784,0.00015169825055224458,0.05763182405800925,224273.31708476238
BAC,exhaustive,1,5,201812004271,Service closure Request with BO responsibility,BOC,0.9,0.1069061312361769,412940.0,1.0,0.7,0.17921871478980647,693039.6,0.8774283457341561,0.16474324781329197,634109.5251586129,0.8896897749362273,0.23024253409123502,884914.9800443412
BAC,exhaustive,1,5,201812004422,Pending Liquidation Request,BOC,0.0,0.075717289346723,293867.0,1.0,0.0,0.12528244339541517,496712.1,0.00017978260837966042,0.07068959846707154,274561.97167398385,7.225438463066815e-05,0.317539076861983,1225671.6063868068
BAC,exhaustive,1,5,201812004433,Service closure Request with network responsibility,00015,0.8,0.10508212056613378,405710.0,1.0,0.9,0.16494354912583303,645588.0,0.9822973399062779,0.22639973778986344,870125.6218516562,0.9313365492824129,0.22639973778986344,870125.6218516562
BAC,exhaustive,1,5,201812004478,Pending Request for Reservation Closure,BOCSER,1.0,0.07655498100786372,296822.0,1.0,0.9,0.11405478137292935,439865.2,0.9779367472238977,0.1813496003289883,697506.7956575573,0.7383861969562541,0.2463827933457067,947182.085888647
BAC,exhaustive,1,5,201812004552,Service closure Request with network responsibility,00025,0.8,0.1569365287870334,605016.0,1.0,0.7,0.2288303102526048,990262.8,0.9561107588808946,0.23839205608459374,916323.1133083205,0.9078453575467699,0.23839205608459374,916323.1133083205
BAC,exhaustive,1,5,201812004625,Pending Request for Reservation Closure,BOC,0.8,0.041646398407736054,162470.0,1.0,0.8,0.25649264157450674,1042738.8,0.9792193291919308,0.07397526402301369,287192.8220032565,0.0008985765633585379,0.3434393576273631,1329231.8035759223
BAC,exhaustive,1,5,201812004772,Pending Request for Reservation Closure,BOCSER,0.8,0.08242176057002595,319507.0,1.0,0.7,0.22423245117637372,882222.9,0.7261165236559216,0.23313098895542386,896040.0186440562,0.3159765797548025,0.3232711747187105,1248470.9054027468
BAC,exhaustive,1,5,201812004817,Request completed with account closure,BOC,1.0,0.0,0.0,1.0,0.9,0.041835228569180594,162943.0,0.989554231561319,0.0650655861767906,252921.16618215182,0.988743416558509,0.05813112978466967,226199.13931970065
