case_study,method,rank,k_total,case:concept:name,rec_activity,rec_resource,sim_status_method_mean,sim_remaining_time_method_mean_sigmoid_mm,sim_remaining_time_method_mean,sim_rec_applied_fraction,sim_status_baseline_mean,sim_remaining_time_baseline_mean_sigmoid_mm,sim_remaining_time_baseline_mean,pred_status_with_rec,pred_remaining_time_with_rec_sigmoid_mm,pred_remaining_time_with_rec,pred_status_no_rec,pred_remaining_time_no_rec_sigmoid_mm,pred_remaining_time_no_rec
BAC,nsga2,1,5,201810001660,Pending Liquidation Request,BOC,0.9,0.04418885202705346,171765.0,1.0,1.0,0.034044908358760916,132951.0,0.9559389256226622,0.059788606886935054,232590.31721275224,0.9559389256226622,0.059788606886935054,232590.31721275224
BAC,nsga2,1,5,201810002650,Pending Request for Reservation Closure,BOCSER,0.8,0.039969111026205206,155644.0,1.0,0.8,0.159512069202656,619834.0,0.24440272570428967,0.29218406046464507,1125551.1600708456,0.5275012647245401,0.3231931314376534,1248160.0520080375
BAC,nsga2,1,5,201810006512,Pending Request for Reservation Closure,BOCSER,1.0,0.03679287235832744,143626.0,1.0,0.9,0.16871003186204075,656376.0,0.3057899069457818,0.19640714222935457,755074.4534391464,0.5762779081409555,0.21489950501850913,825937.5964761351
BAC,nsga2,1,5,201810008108,Pending Liquidation Request,BOC,0.9,0.03473543633271396,135630.0,1.0,1.0,0.034954526130955524,136482.0,0.9510941730384908,0.059788606886935054,232590.31721275224,0.9510941730384908,0.059788606886935054,232590.31721275224
BAC,nsga2,1,5,201810008268,Authorization Requested,00045,0.8,0.1520661317271958,589083.0,1.0,0.7,0.18974297136124169,778504.5,0.3241402951065702,0.26212254815304703,1008170.905841527,0.20167651373635434,0.18224739778357213,700936.6230778671
BAC,nsga2,1,5,201810008485,Pending Liquidation Request,BOC,0.0,0.05373434328422559,208599.0,1.0,0.0,0.07485346222445391,289665.0,0.001099221045345876,0.06554026655249166,254748.75638178247,0.0026309120374275892,0.40426153596443454,1578934.9190929192
BAC,nsga2,1,5,201810008899,Pending Liquidation Request,BOC,1.0,0.030113258536012676,117658.0,1.0,1.0,0.034172200915421135,133426.0,0.9749067537933253,0.05434021040180177,211571.46170670103,0.9749067537933253,0.05434021040180177,211571.46170670103
BAC,nsga2,1,5,20181000902,Pending Request for Reservation Closure,BOC,0.0,0.0314828899142285,122993.0,1.0,0.0,0.13081021272922438,508859.2,0.02914868372621724,0.25771451294641273,991061.3600894302,0.001379503401837764,0.29147129601197064,1122752.5424483824
BAC,nsga2,1,5,201810010740,Pending Request for Reservation Closure,BOCSER,1.0,0.02847469023925462,111325.0,1.0,0.9,0.12866429166533827,500841.2,0.8437399291411442,0.17826723450416992,685733.4568404988,0.7434948466385354,0.17708195058898776,681207.0023349201
BAC,nsga2,1,5,201810011081,Service closure Request with network responsibility,SB32,0.8,0.14497845033582044,561008.0,1.0,0.9,0.1773124259845995,762416.4,0.9160930077367713,0.22214995262362627,853784.3595060545,0.8662262929995564,0.22214995262362627,853784.3595060545
BAC,nsga2,1,5,201810011583,Pending Request for Reservation Closure,BOCSER,1.0,0.03109379371504476,121473.0,1.0,0.8,0.15732381778300553,611277.0,0.8740397673355927,0.1923891013464229,739702.858212073,0.8562072773718634,0.21964924460208918,844175.3982525789
BAC,nsga2,1,5,20181012611,Pending Request for Reservation Closure,BOC,1.0,0.034867256821977236,136149.0,1.0,0.9,0.10678332179318246,411460.8,0.6763650516379287,0.1652099945540027,635890.5013567085,0.6098278578172729,0.1748966224358904,672862.626818637
BAC,nsga2,1,5,20181013679,Evaluating Request (WITH registered letter),00926,0.9,0.19765302461750575,765123.0,1.0,0.9,0.1242312046292889,483183.0,0.570913557981856,0.33214606193085316,1283901.839363629,0.3900291861871974,0.35085796849842776,1359166.9749269278
BAC,nsga2,1,5,201811000205,Authorization Requested,BOC,0.7,0.19521156165956496,754420.0,1.0,1.0,0.1433995415695884,557290.4,0.8455592389409416,0.23562899370619578,905667.366324746,0.859148963186167,0.2592629787085238,997068.9484855339
BAC,nsga2,1,5,201811001580,Service closure Request with BO responsibility,BOCSER,0.7,0.20320562316555035,802595.0,1.0,0.8,0.09449965338727431,364519.6,0.8216367169131539,0.17183823290717926,661186.855812451,0.8519103572715394,0.22081743881413807,848663.5732400218
BAC,nsga2,1,5,201811001889,Service closure Request with network responsibility,SB32,1.0,0.17575488970655062,680369.0,1.0,0.9,0.23141767141183117,915977.0,0.9296753976868559,0.21831673079260094,839057.1870565352,0.8868841057636011,0.21831673079260094,839057.1870565352
BAC,nsga2,1,5,201811002881,Service closure Request with BO responsibility,BOC,0.8,0.19949916742287593,775194.0,1.0,0.8,0.1871625955698351,725802.0,0.7505508061457213,0.18322314830471392,704664.5850339178,0.7973434515320936,0.26300768580181977,1011609.4056963632
BAC,nsga2,1,5,201811003327,Pending Request for Reservation Closure,BOC,0.0,0.03204100183378008,125015.0,1.0,0.0,0.16475012783543797,639901.5,0.020206174160654736,0.2614485367590792,1005553.2246399454,0.0009096108848825876,0.29520531982463716,1137423.0407391244
BAC,nsga2,1,5,201811003911,Pending Request for Reservation Closure,BOCSER,1.0,0.03141033894289931,122712.0,1.0,0.8,0.16082808796052078,624510.0,0.882341549564812,0.20704457169225723,795811.4469233988,0.862522847689832,0.22230719369024132,854388.7218086823
BAC,nsga2,1,5,201811004163,Pending Request for Reservation Closure,BOCCRF,0.8,0.14216746667836772,547991.0,1.0,0.9,0.16858389378323535,658277.2,0.8827752750224527,0.20378655427715195,783327.6125896951,0.8695033943778278,0.2514211174435137,966673.879359036
BAC,nsga2,1,5,201811004205,Pending Request for Reservation Closure,BOCSER,0.7,0.04690264628069664,182151.0,1.0,0.8,0.16988417397423344,659366.7,0.8069944320365036,0.17341424052357424,667203.1395000882,0.8526021450731941,0.14878742761024205,573242.8800902225
BAC,nsga2,1,5,201811004338,Service closure Request with network responsibility,00057,0.8,0.2115432970124865,828619.0,1.0,0.6,0.17651731325944725,685460.1,0.8904621404354572,0.24166339454509767,928948.661477819,0.8251975098420536,0.24166339454509767,928948.661477819
BAC,nsga2,1,5,201811005226,Pending Request for Reservation Closure,BOCCRF,0.9,0.126351150583435,487636.0,1.0,0.8,0.17859141746461224,698833.2,0.7337166810711334,0.1908688227229716,733888.8366563108,0.7125716337543506,0.21806788300159924,838101.506597776
BAC,nsga2,1,5,201811005422,Evaluating Request (WITH registered letter),00491,0.9,0.18186065130283474,703942.0,1.0,0.9,0.16687903705499635,647608.0,0.8755544334946135,0.23976768841247514,921630.9964387938,0.8483692536976066,0.25643347323581345,986093.4726534719
