case:concept:name,recommendation:act,recommendation:res,reason
20182005961,Service closure Request with network responsibility,00767,not_reachable_from_replayed_prefix_marking
20189003486,Service closure Request with network responsibility,00594,not_reachable_from_replayed_prefix_marking
20189004803,Service closure Request with network responsibility,00119,not_reachable_from_replayed_prefix_marking
20189008206,Service closure Request with network responsibility,00594,not_reachable_from_replayed_prefix_marking
201810011081,Service closure Request with network responsibility,00045,not_reachable_from_replayed_prefix_marking
201810011583,Service closure Request with network responsibility,00594,not_reachable_from_replayed_prefix_marking
201811008100,Service closure Request with network responsibility,00594,not_reachable_from_replayed_prefix_marking
201811011715,Service closure Request with network responsibility,00119,not_reachable_from_replayed_prefix_marking
201812002344,Evaluating Request (WITH registered letter),00368,not_reachable_from_replayed_prefix_marking
201812004271,Evaluating Request (WITH registered letter),00491,not_reachable_from_replayed_prefix_marking
201812005779,Service closure Request with network responsibility,00767,not_reachable_from_replayed_prefix_marking
201812009556,Service closure Request with network responsibility,00594,not_reachable_from_replayed_prefix_marking
20191002216,Service closure Request with network responsibility,00594,not_reachable_from_replayed_prefix_marking
20191002211,Service closure Request with network responsibility,00594,not_reachable_from_replayed_prefix_marking
20191001877,Service closure Request with network responsibility,00119,not_reachable_from_replayed_prefix_marking
20191002920,Service closure Request with network responsibility,00594,not_reachable_from_replayed_prefix_marking
20191003000,Service closure Request with network responsibility,00594,not_reachable_from_replayed_prefix_marking
20191004909,Service closure Request with network responsibility,00594,not_reachable_from_replayed_prefix_marking
20191005347,Service closure Request with network responsibility,00767,not_reachable_from_replayed_prefix_marking
20191005769,Service closure Request with network responsibility,00594,not_reachable_from_replayed_prefix_marking
20191004843,Service closure Request with network responsibility,00594,not_reachable_from_replayed_prefix_marking
20191006502,Evaluating Request (WITH registered letter),00491,not_reachable_from_replayed_prefix_marking
20191006585,Service closure Request with network responsibility,00594,not_reachable_from_replayed_prefix_marking
20191006110,Service closure Request with network responsibility,00594,not_reachable_from_replayed_prefix_marking
20191006880,Service closure Request with network responsibility,00594,not_reachable_from_replayed_prefix_marking
20191006784,Service closure Request with network responsibility,00594,not_reachable_from_replayed_prefix_marking
