case:concept:name,recommendation:act,recommendation:res,reason
201811008100,Service closure Request with network responsibility,00414,not_reachable_from_replayed_prefix_marking
20191002920,Service closure Request with network responsibility,00414,not_reachable_from_replayed_prefix_marking
20191005347,Service closure Request with network responsibility,00368,not_reachable_from_replayed_prefix_marking
20191005769,Service closure Request with network responsibility,00119,not_reachable_from_replayed_prefix_marking
20191004251,Evaluating Request (WITH registered letter),00015,not_reachable_from_replayed_prefix_marking
20191009426,Evaluating Request (WITH registered letter),00491,not_reachable_from_replayed_prefix_marking
20191009817,Evaluating Request (WITH registered letter),00368,not_reachable_from_replayed_prefix_marking
20191009850,Service closure Request with BO responsibility,00851,not_reachable_from_replayed_prefix_marking
20191010159,Service closure Request with network responsibility,00119,not_reachable_from_replayed_prefix_marking
20191008862,Service closure Request with network responsibility,00119,not_reachable_from_replayed_prefix_marking
20191006142,Evaluating Request (WITH registered letter),00594,not_reachable_from_replayed_prefix_marking
20191004048,Authorization Requested,00495,not_reachable_from_replayed_prefix_marking
20191011677,Evaluating Request (WITH registered letter),00848,not_reachable_from_replayed_prefix_marking
20191011749,Service closure Request with network responsibility,00368,not_reachable_from_replayed_prefix_marking
20191012121,Service closure Request with BO responsibility,00851,not_reachable_from_replayed_prefix_marking
20191011739,Service closure Request with network responsibility,00409,not_reachable_from_replayed_prefix_marking
20191012175,Service closure Request with network responsibility,00341,not_reachable_from_replayed_prefix_marking
20191012225,Service closure Request with network responsibility,00034,not_reachable_from_replayed_prefix_marking
20191012555,Evaluating Request (WITH registered letter),00837,not_reachable_from_replayed_prefix_marking
20191012730,Service closure Request with network responsibility,00368,not_reachable_from_replayed_prefix_marking
20191012883,Evaluating Request (WITH registered letter),00368,not_reachable_from_replayed_prefix_marking
20191013526,Evaluating Request (WITH registered letter),00119,not_reachable_from_replayed_prefix_marking
20191013681,Service closure Request with network responsibility,00440,not_reachable_from_replayed_prefix_marking
20191013755,Evaluating Request (WITH registered letter),00341,not_reachable_from_replayed_prefix_marking
20191013761,Evaluating Request (WITH registered letter),00837,not_reachable_from_replayed_prefix_marking
20191013721,Service closure Request with network responsibility,00119,not_reachable_from_replayed_prefix_marking
20191013582,Service closure Request with network responsibility,00119,not_reachable_from_replayed_prefix_marking
20191013855,Service closure Request with network responsibility,00119,not_reachable_from_replayed_prefix_marking
20191013986,Evaluating Request (WITH registered letter),00848,not_reachable_from_replayed_prefix_marking
20191013997,Evaluating Request (WITH registered letter),00848,not_reachable_from_replayed_prefix_marking
20191009021,Service closure Request with network responsibility,00409,not_reachable_from_replayed_prefix_marking
20191014064,Service closure Request with network responsibility,00441,not_reachable_from_replayed_prefix_marking
20191014221,Service closure Request with network responsibility,00414,not_reachable_from_replayed_prefix_marking
20191014223,Service closure Request with network responsibility,00015,not_reachable_from_replayed_prefix_marking
20191014423,Evaluating Request (WITH registered letter),00848,not_reachable_from_replayed_prefix_marking
20191013337,Service closure Request with network responsibility,00409,not_reachable_from_replayed_prefix_marking
