case:concept:name,concept:name,org:resource,start:timestamp,time:timestamp,CLOSURE_REASON = 1 - Client lost,CLOSURE_REASON = NotDef,CLOSURE_REASON = 4 - Open new bank account. Same dip,CLOSURE_REASON = 2 - Keep bank account. Same dip,CLOSURE_REASON = 7 - Keep other relationships. Same dip,CLOSURE_REASON = 3 - Keep bank account. Different dip,CLOSURE_REASON = 8 - Keep other relationships. Different dip,CLOSURE_REASON = 6 - Relationship changed,CLOSURE_REASON = 5 - Open new bank account. Different dip,CLOSURE_TYPE = Client Recess,CLOSURE_TYPE = Inheritance,CLOSURE_TYPE = Bank Recess,CLOSURE_TYPE = Porting,CLOSURE_TYPE = NotDef
201810001660,Request created,00372,2018-10-05 09:11:18+00:00,2018-10-05 09:12:17+00:00,,,,,,,,,,,,,,
201810001660,Service closure Request with network responsibility,NotDef,2018-10-05 09:26:01+00:00,2019-01-29 09:28:43+00:00,,,,,,,,,,,,,,
201810001660,Authorization Requested,00705,2019-01-29 09:28:43+00:00,2019-01-29 09:29:23+00:00,,,,,,,,,,,,,,
201810001660,Service closure Request with BO responsibility,BOC,2019-01-29 09:29:23+00:00,2019-01-30 12:55:55+00:00,,,,,,,,,,,,,,
201810001660,Pending Request for Reservation Closure,BOC,2019-01-30 12:55:55+00:00,2019-01-30 12:59:09+00:00,,,,,,,,,,,,,,
201810001660,Request completed with account closure,BOC,2019-01-30 12:59:09+00:00,2019-01-30 12:59:09+00:00,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
201810002650,Request created,00398,2018-10-08 11:53:44+00:00,2018-10-08 11:54:57+00:00,,,,,,,,,,,,,,
201810002650,Service closure Request with network responsibility,NotDef,2019-01-18 12:05:11+00:00,2019-01-18 12:06:44+00:00,,,,,,,,,,,,,,
201810002650,Authorization Requested,00409,2019-01-18 12:06:44+00:00,2019-01-24 08:49:56+00:00,,,,,,,,,,,,,,
201810002650,Pending Request for Reservation Closure,BOCSER,2019-01-24 08:49:56+00:00,2019-01-24 08:51:56+00:00,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
