case:concept:name,recommendation:act,recommendation:res,reason
201812007439,Pending Liquidation Request,BOCSER,case_already_complete_after_replayed_prefix
20191002511,Pending Liquidation Request,BOCSER,case_already_complete_after_replayed_prefix
20191002521,Pending Liquidation Request,BOCSER,case_already_complete_after_replayed_prefix
20191005922,Pending Liquidation Request,BOCSER,case_already_complete_after_replayed_prefix
20191008446,Pending Liquidation Request,BOCSER,case_already_complete_after_replayed_prefix
20191009680,Pending Liquidation Request,BOCSER,case_already_complete_after_replayed_prefix
20191009686,Pending Request for Reservation Closure,BOCSER,case_already_complete_after_replayed_prefix
20191010329,Pending Request for Reservation Closure,BOCSER,case_already_complete_after_replayed_prefix
20191010433,Pending Request for Reservation Closure,BOC,case_already_complete_after_replayed_prefix
20191010902,Pending Liquidation Request,BOC,case_already_complete_after_replayed_prefix
20191011370,Pending Liquidation Request,BOCSER,case_already_complete_after_replayed_prefix
20191011372,Pending Liquidation Request,BOCSER,case_already_complete_after_replayed_prefix
20191011931,Pending Liquidation Request,BOCSER,case_already_complete_after_replayed_prefix
20191012037,Pending Request for Reservation Closure,BOC,case_already_complete_after_replayed_prefix
20191012128,Pending Liquidation Request,BOC,case_already_complete_after_replayed_prefix
20191012141,Service closure Request with BO responsibility,00829,case_already_complete_after_replayed_prefix
20191012313,Pending Liquidation Request,BOC,case_already_complete_after_replayed_prefix
20191012386,Pending Liquidation Request,BOC,case_already_complete_after_replayed_prefix
20191012468,Pending Liquidation Request,BOC,case_already_complete_after_replayed_prefix
20191012600,Pending Liquidation Request,BOC,case_already_complete_after_replayed_prefix
20191012613,Pending Liquidation Request,BOC,case_already_complete_after_replayed_prefix
20191012622,Pending Liquidation Request,BOC,case_already_complete_after_replayed_prefix
20191012788,Pending Liquidation Request,BOC,case_already_complete_after_replayed_prefix
20191012793,Pending Liquidation Request,BOC,case_already_complete_after_replayed_prefix
20191013074,Pending Request for Reservation Closure,BOCSER,case_already_complete_after_replayed_prefix
20191013118,Pending Liquidation Request,BOCSER,case_already_complete_after_replayed_prefix
20191013125,Pending Liquidation Request,BOC,case_already_complete_after_replayed_prefix
20191013127,Pending Liquidation Request,BOCSER,case_already_complete_after_replayed_prefix
20191013146,Pending Liquidation Request,BOC,case_already_complete_after_replayed_prefix
20191013187,Pending Liquidation Request,BOCSER,case_already_complete_after_replayed_prefix
20191013188,Pending Liquidation Request,BOCSER,case_already_complete_after_replayed_prefix
20191013189,Pending Liquidation Request,BOCSER,case_already_complete_after_replayed_prefix
20191013190,Pending Liquidation Request,BOCSER,case_already_complete_after_replayed_prefix
20191013191,Pending Liquidation Request,BOCSER,case_already_complete_after_replayed_prefix
20191013192,Pending Liquidation Request,BOCSER,case_already_complete_after_replayed_prefix
20191013193,Pending Liquidation Request,BOCSER,case_already_complete_after_replayed_prefix
20191013194,Pending Liquidation Request,BOCSER,case_already_complete_after_replayed_prefix
20191013195,Pending Liquidation Request,BOCSER,case_already_complete_after_replayed_prefix
20191013196,Pending Liquidation Request,BOCSER,case_already_complete_after_replayed_prefix
20191013197,Pending Liquidation Request,BOCSER,case_already_complete_after_replayed_prefix
20191013198,Pending Liquidation Request,BOCSER,case_already_complete_after_replayed_prefix
20191013199,Pending Liquidation Request,BOCSER,case_already_complete_after_replayed_prefix
20191013200,Pending Liquidation Request,BOCSER,case_already_complete_after_replayed_prefix
