case:concept:name,Next_activity,Next_resource
201810001660,Request completed with account closure,BOC
201810002650,Pending Request for Reservation Closure,BOCSER
201810006512,Service closure Request with BO responsibility,BOC
201810008108,Request completed with account closure,BOC
201810008268,Evaluating Request (WITH registered letter),00015
201810008485,Pending Liquidation Request,BOC
201810008899,Request completed with account closure,BOCSER
20181000902,Pending Request for Reservation Closure,BOC
201810010740,Service closure Request with network responsibility,00015
201810011081,Service closure Request with network responsibility,00015
201810011583,Service closure Request with network responsibility,00015
20181012611,Service closure Request with BO responsibility,BOC
20181013679,Evaluating Request (WITH registered letter),00025
201811000205,Evaluating Request (WITH registered letter),00015
201811001580,Service closure Request with network responsibility,00015
201811001889,Service closure Request with network responsibility,00491
201811002881,Evaluating Request (WITH registered letter),00025
201811003327,Pending Request for Reservation Closure,BOC
201811003911,Service closure Request with network responsibility,00015
201811004163,Service closure Request with BO responsibility,BOC
201811004205,Service closure Request with BO responsibility,BOC
201811004338,Service closure Request with network responsibility,00119
201811005226,Service closure Request with BO responsibility,BOCSER
201811005422,Evaluating Request (WITH registered letter),00015
201811005747,Pending Request for Reservation Closure,BOC
201811005954,Service closure Request with BO responsibility,BOC
201811006467,Request completed with account closure,BOC
201811006674,Evaluating Request (WITH registered letter),00025
201811006982,Request completed with account closure,BOC
201811007401,Evaluating Request (WITH registered letter),00025
201811008100,Service closure Request with network responsibility,00360
201811008330,Pending Request for Reservation Closure,BOCSER
201811008338,Evaluating Request (WITH registered letter),00025
201811008394,Pending Request for Reservation Closure,BOC
201811008598,Evaluating Request (WITH registered letter),00491
201811008631,Service closure Request with BO responsibility,00850
201811008634,Evaluating Request (WITH registered letter),00491
201811009132,Evaluating Request (WITH registered letter),00015
201811009434,Evaluating Request (WITH registered letter),00015
201811009590,Request completed with account closure,BOC
201811009800,Service closure Request with BO responsibility,BOC
201811010119,Pending Request for Reservation Closure,BOC
201811010142,Request completed with account closure,BOC
201811010681,Pending Request for Reservation Closure,BOCSER
201811010732,Service closure Request with BO responsibility,BOC
201811011699,Service closure Request with network responsibility,00015
201811011715,Service closure Request with network responsibility,00015
201811011742,Service closure Request with BO responsibility,BOC
201811011907,Service closure Request with BO responsibility,BOC
201811011916,Evaluating Request (WITH registered letter),00015
201812000179,Pending Request for Reservation Closure,BOCSER
201812000181,Pending Request for Reservation Closure,BOCSER
201812000186,Evaluating Request (WITH registered letter),00015
201812000605,Service closure Request with network responsibility,00015
201812000606,Pending Request for Reservation Closure,BOC
201812000900,Service closure Request with BO responsibility,BOC
201812002344,Evaluating Request (WITH registered letter),00025
201812002552,Service closure Request with BO responsibility,BOCSER
201812002630,Evaluating Request (WITH registered letter),00025
201812002677,Service closure Request with BO responsibility,BOC
201812002837,Pending Liquidation Request,BOCSER
201812002893,Evaluating Request (WITH registered letter),00015
201812003039,Service closure Request with network responsibility,00722
201812003088,Pending Request for Reservation Closure,BOC
201812003287,Request completed with account closure,BOC
201812004065,Request completed with account closure,BOC
201812004155,Service closure Request with BO responsibility,BOCSER
201812004198,Request completed with account closure,BOC
201812004271,Service closure Request with BO responsibility,BOC
201812004422,Pending Liquidation Request,BOC
201812004433,Service closure Request with network responsibility,00015
201812004478,Pending Request for Reservation Closure,BOCSER
201812004552,Service closure Request with network responsibility,00025
201812004625,Pending Request for Reservation Closure,BOC
201812004772,Pending Request for Reservation Closure,BOCSER
201812004817,Request completed with account closure,BOC
201812004871,Service closure Request with BO responsibility,BOC
201812004921,Pending Liquidation Request,BOCSER
201812005259,Service closure Request with BO responsibility,BOCSER
201812005350,Pending Liquidation Request,BOC
201812005402,Pending Request for Reservation Closure,BOC
201812005434,Service closure Request with network responsibility,00015
201812005461,Evaluating Request (WITH registered letter),00015
201812005659,Pending Request for Reservation Closure,BOC
201812005779,Service closure Request with network responsibility,00015
201812005853,Request completed with account closure,BOC
201812005862,Service closure Request with BO responsibility,BOC
201812005898,Request completed with account closure,BOC
201812006094,Pending Request for Reservation Closure,BOC
201812006124,Evaluating Request (WITH registered letter),00015
201812006485,Service closure Request with BO responsibility,BOCSER
201812006628,Service closure Request with BO responsibility,BOC
201812006707,Pending Liquidation Request,BOC
201812006755,Request completed with account closure,BOC
201812006820,Service closure Request with network responsibility,00015
201812006824,Service closure Request with network responsibility,00015
201812007245,Service closure Request with BO responsibility,BOC
201812007280,Pending Request for Reservation Closure,BOC
201812007319,Service closure Request with BO responsibility,BOC
201812007397,Service closure Request with BO responsibility,BOCSER
201812007439,Pending Liquidation Request,BOCSER
201812007654,Service closure Request with network responsibility,00057
201812007664,Evaluating Request (WITH registered letter),00057
201812007718,Pending Request for Reservation Closure,BOC
201812007723,Pending Request for Reservation Closure,BOC
201812007727,Pending Request for Reservation Closure,BOCSER
201812007780,Request completed with account closure,BOC
201812007788,Service closure Request with BO responsibility,00846
201812007839,Service closure Request with BO responsibility,BOC
201812007853,Pending Request for Reservation Closure,BOC
201812008090,Request completed with account closure,BOC
201812008149,Pending Request for Reservation Closure,BOC
201812008346,Pending Request for Reservation Closure,BOC
201812008642,Service closure Request with BO responsibility,00850
201812008657,Service closure Request with network responsibility,00015
201812008694,Pending Request for Reservation Closure,BOCSER
201812008702,Evaluating Request (WITH registered letter),00015
201812008708,Evaluating Request (WITH registered letter),00015
201812008800,Service closure Request with network responsibility,00119
201812008953,Request completed with account closure,BOC
201812009363,Service closure Request with BO responsibility,BOC
201812009485,Request completed with account closure,BOC
201812009515,Service closure Request with BO responsibility,BOC
201812009556,Service closure Request with network responsibility,00015
201812009573,Request completed with account closure,BOCSER
201812009645,Evaluating Request (WITH registered letter),00025
201812009682,Service closure Request with BO responsibility,BOC
