case:concept:name,Next_activity,Next_resource
201810001660,,
201810002650,,
201810006512,,
201810008108,,
201810008268,,
201810008485,,
201810008899,,
20181000902,,
201810010740,Service closure Request with BO responsibility,BOCSER
201810011081,,
201810011583,Service closure Request with network responsibility,00234
20181012611,,
20181013679,,
201811000205,,
201811001580,Service closure Request with network responsibility,00015
201811001889,Pending Request for Reservation Closure,BOCSER
201811002881,,
201811003327,,
201811003911,Service closure Request with network responsibility,SB32
201811004163,,
201811004205,Service closure Request with BO responsibility,BOC
201811004338,,
201811005226,Service closure Request with BO responsibility,BOCSER
201811005422,,
201811005747,,
201811005954,,
201811006467,,
201811006674,Pending Request for Reservation Closure,BOCSER
201811006982,,
201811007401,Service closure Request with BO responsibility,00848
201811008100,Service closure Request with network responsibility,SB77
201811008330,,
201811008338,Pending Request for Reservation Closure,BOCSER
201811008394,,
201811008598,,
201811008631,,
201811008634,,
201811009132,,
201811009434,,
201811009590,,
201811009800,,
201811010119,,
201811010142,,
201811010681,,
201811010732,,
201811011699,Service closure Request with BO responsibility,BOC
201811011715,Service closure Request with network responsibility,SB32
201811011742,Service closure Request with BO responsibility,BOC
201811011907,,
201811011916,Evaluating Request (NO registered letter),SB32
201812000179,,
201812000181,,
201812000186,,
201812000605,Service closure Request with BO responsibility,BOCSER
201812000606,,
201812000900,,
201812002344,,
201812002552,,
201812002630,Service closure Request with BO responsibility,00848
201812002677,Service closure Request with BO responsibility,BOC
201812002837,,
201812002893,,
201812003039,,
201812003088,,
201812003287,,
201812004065,,
201812004155,,
201812004198,,
201812004271,,
201812004422,,
201812004433,Service closure Request with network responsibility,SB32
201812004478,,
201812004552,Service closure Request with BO responsibility,BOC
201812004625,,
201812004772,,
201812004817,,
201812004871,,
201812004921,,
201812005259,,
201812005350,,
201812005402,,
201812005434,Service closure Request with BO responsibility,BOC
201812005461,,
201812005659,,
201812005779,,
201812005853,,
201812005862,,
201812005898,,
201812006094,,
201812006124,,
201812006485,,
201812006628,,
201812006707,,
201812006755,,
201812006820,,
201812006824,Service closure Request with BO responsibility,BOCSER
201812007245,,
201812007280,,
201812007319,,
201812007397,,
201812007439,,
201812007654,,
201812007664,,
201812007718,,
201812007723,Service closure Request with network responsibility,00234
201812007727,,
201812007780,,
201812007788,,
201812007839,Service closure Request with BO responsibility,BOC
201812007853,,
201812008090,,
201812008149,,
201812008346,,
201812008642,Pending Request for Reservation Closure,BOCSER
201812008657,,
201812008694,,
201812008702,,
201812008708,,
201812008800,,
201812008953,,
201812009363,,
201812009485,,
201812009515,Service closure Request with BO responsibility,BOC
201812009556,Service closure Request with BO responsibility,BOC
201812009573,,
201812009645,,
201812009682,,
201812009703,,
201812009725,,
201812009750,Pending Request for Reservation Closure,BOCSER
201812009753,Service closure Request with BO responsibility,BOCSER
20182005961,,
20182009106,,
20183007131,,
20184001796,Service closure Request with network responsibility,00234
20185003342,,
20186002647,,
20186005840,,
