case_study,method,rank,k_total,case:concept:name,rec_activity,rec_resource,sim_status_method_mean,sim_remaining_time_method_mean_sigmoid_mm,sim_remaining_time_method_mean,sim_rec_applied_fraction,sim_status_baseline_mean,sim_remaining_time_baseline_mean_sigmoid_mm,sim_remaining_time_baseline_mean,pred_status_with_rec,pred_remaining_time_with_rec_sigmoid_mm,pred_remaining_time_with_rec,pred_status_no_rec,pred_remaining_time_no_rec_sigmoid_mm,pred_remaining_time_no_rec
BPI12,exhaustive,4,5,188485,O_CANCELLED,112.0,0.4,0.27085094534691817,918734.0,1.0,0.1,0.345489013533118,1493396.8,0.28287756336512687,0.22698094536445937,759333.0887215412,0.2836278936107291,0.2650064224389704,874855.7175252546
BPI12,exhaustive,4,5,189805,A_APPROVED,10609.0,0.3,0.08467078230970393,290861.0,1.0,1.0,0.11661881240046512,404801.0,0.7456913484003812,-0.026437060468217866,0.0,0.47945901488777387,0.09876013409853984,351849.9826235316
BPI12,exhaustive,4,5,191644,A_APPROVED,10972.0,0.3,0.0453826723199877,161249.0,1.0,0.5,0.08260766938516817,272144.5,0.613905759554704,0.07509392845492488,271618.11733609287,0.33443051251637956,0.13788973781301012,480351.7308113185
BPI12,exhaustive,4,5,193647,A_APPROVED,11289.0,0.3,0.02323472558327528,82499.4,1.0,0.5,0.14629273971209591,658125.2,0.6627216005911573,0.005018965385779062,19139.45833127841,0.3559248688394101,0.12210243546800784,429065.1446854146
BPI12,exhaustive,4,5,193968,A_APPROVED,10609.0,0.5,0.16686117136206285,576498.0,1.0,0.5,0.27320072353012737,900480.0,0.6769621291859138,0.13282681121156703,463980.3314408831,0.1150768798827975,0.14232958130655954,494652.0593810936
BPI12,exhaustive,4,5,194139,O_CANCELLED,112.0,0.2,0.2777041035444609,923541.0,1.0,0.5,0.15937240840107214,535031.7,0.18567640769682994,0.2690589259142695,887095.9697302617,0.18623586964253944,0.2956843647463164,967298.7374960434
BPI12,exhaustive,4,5,194269,O_CANCELLED,112.0,0.5,0.4330407267560932,1585125.0,1.0,0.4,0.3445829828190025,1342972.8,0.14519380591426495,0.18948207247095863,643699.8482321021,0.14565310715341206,0.22707575744403782,759622.9811017533
BPI12,exhaustive,4,5,195082,O_CANCELLED,112.0,0.4,0.2999574924944306,972060.0,1.0,0.4,0.1589538880382087,526650.0,0.19854912453578116,0.34166782838120524,1105478.620505579,0.19913788821132705,0.3731638271539523,1200425.4105039162
BPI12,exhaustive,4,5,195175,O_CANCELLED,11049.0,0.3,0.3651892556184292,1218809.0,1.0,0.2,0.16616759702314454,562952.1,0.15959616367815416,0.15801766557419894,544785.6789519904,0.16009249215607585,0.18725798274916672,636771.4244790605
BPI12,exhaustive,4,5,195247,A_APPROVED,10609.0,0.4,0.10683942568585478,370478.0,1.0,1.0,0.15970764719394065,540890.0,0.7026920989364127,0.04814378860460017,177448.16650795843,0.4455178920201936,0.1488014924997211,515406.86318097764
