case_study,method,rank,k_total,case:concept:name,rec_activity,rec_resource,sim_status_method_mean,sim_remaining_time_method_mean,sim_status_baseline_mean,sim_remaining_time_baseline_mean,pred_status_with_rec,pred_remaining_time_with_rec,pred_status_no_rec,pred_remaining_time_no_rec
BPI12,exhaustive,5,5,188485,A_CANCELLED,10899.0,0.4,1079858.0,0.1,112500.0,0.09261070738009843,128774.20416495937,0.24040167658512043,908522.6525681979
BPI12,exhaustive,5,5,189805,A_ACTIVATED,10972.0,0.4,161639.5,1.0,336880.6,0.7914170233578849,36885.996091604466,0.7826335878388673,382745.81211261963
BPI12,exhaustive,5,5,191644,W_Valideren aanvraag,10899.0,0.4,167046.8,0.1,114384.0,0.568252089646039,206599.15596457664,0.5580652454420547,215875.5400936535
BPI12,exhaustive,5,5,193647,W_Valideren aanvraag,10899.0,0.3,60757.6,0.2,10281.8,0.6293923866654977,192942.27321150212,0.629166991865397,363458.9089726296
BPI12,exhaustive,5,5,193968,A_ACTIVATED,10629.0,0.5,300015.0,0.3,687192.0,0.6370673793540913,290509.3756519384,0.23456210844554168,296520.4637842616
BPI12,exhaustive,5,5,194139,A_CANCELLED,10138.0,0.3,710601.0,0.1,96393.3,0.065479026940764,6713.774906917824,0.17707599502331153,724415.8796600641
BPI12,exhaustive,5,5,194269,A_CANCELLED,10629.0,0.3,1127301.0,0.0,624500.1,0.04207102367105326,49504.14039302152,0.15552292716409058,820236.6514162597
BPI12,exhaustive,5,5,195082,A_CANCELLED,10138.0,0.4,806136.0,0.6,395958.0,0.042905349393604617,181271.66786259622,0.1519316987633283,1031421.3041443762
BPI12,exhaustive,5,5,195175,A_CANCELLED,10972.0,0.2,1136513.0,0.4,928151.8,0.04070485723317335,28640.65937369794,0.14361291862023282,746605.2690602769
BPI12,exhaustive,5,5,195259,A_CANCELLED,10899.0,0.2,932261.0,0.2,774947.3,0.04351245919961392,0.0,0.1475488492640594,755925.0142131548
BPI12,exhaustive,5,5,195654,A_CANCELLED,10899.0,0.5,909735.0,0.4,786534.0,0.05651346531872855,94460.1173752502,0.19313918989054862,887150.0437514933
BPI12,exhaustive,5,5,196045,A_CANCELLED,10899.0,0.3,810170.0,0.3,352185.2,0.04841745037365847,12777.639180297963,0.04841745037365847,12777.639180297963
BPI12,exhaustive,5,5,196057,A_CANCELLED,10972.0,0.0,764391.0,0.1,678505.8,0.04094069031662971,48308.187979119015,0.15739335431789428,773233.5665285925
BPI12,exhaustive,5,5,196060,A_CANCELLED,10972.0,0.1,918769.0,0.5,692033.7,0.03870277560769567,26137.545650573215,0.13778005005888036,758809.3332259585
BPI12,exhaustive,5,5,196341,A_CANCELLED,10972.0,0.2,875385.0,0.1,524225.7,0.0393964483337207,11949.420458159293,0.15215349494690691,759779.7851842318
BPI12,exhaustive,5,5,196521,A_CANCELLED,10629.0,0.1,493047.0,0.2,789021.0,0.046256009755777865,50075.57095716393,0.17465666525494486,838381.9818980246
BPI12,exhaustive,5,5,196602,A_CANCELLED,10899.0,1.0,291833.4,1.0,1028790.3,0.36213942029286966,15647.24978118937,0.7705062299026789,476505.54057913437
BPI12,exhaustive,5,5,196867,A_CANCELLED,10629.0,0.4,1235996.0,0.3,930844.0,0.06941495871281246,58993.557863915805,0.17425711080158987,782386.4095507702
