case_study,method,rank,k_total,case:concept:name,rec_activity,rec_resource,sim_status_method_mean,sim_remaining_time_method_mean_sigmoid_mm,sim_remaining_time_method_mean,sim_rec_applied_fraction,sim_status_baseline_mean,sim_remaining_time_baseline_mean_sigmoid_mm,sim_remaining_time_baseline_mean,pred_status_with_rec,pred_remaining_time_with_rec_sigmoid_mm,pred_remaining_time_with_rec,pred_status_no_rec,pred_remaining_time_no_rec_sigmoid_mm,pred_remaining_time_no_rec
BPI12,exhaustive,1,5,188485,O_DECLINED,10972,0.2,0.055444573369780106,202010.0,1.0,0.1,0.345489013533118,1493396.8,0.20265483284194552,0.1598647679268585,550649.8951638304,0.2836278936107291,0.2650064224389704,874855.7175252546
BPI12,exhaustive,1,5,189805,A_CANCELLED,11049,,,,0.0,1.0,0.11661881240046512,404801.0,0.16923473400806902,-0.07253762921808965,0.0,0.47945901488777387,0.09876013409853984,351849.9826235316
BPI12,exhaustive,1,5,191644,A_REGISTERED,10972,0.5,0.1297918974039689,614615.0,1.0,0.5,0.08260766938516817,272144.5,0.6677761734379762,0.07606647359305801,274957.83804066526,0.33443051251637956,0.13788973781301012,480351.7308113185
BPI12,exhaustive,1,5,193647,A_APPROVED,10629,0.3,0.09785868088429689,325213.0,1.0,0.5,0.14629273971209591,658125.2,0.6766966891381243,-0.0020383513963290745,0.0,0.3559248688394101,0.12210243546800784,429065.1446854146
BPI12,exhaustive,1,5,193968,A_CANCELLED,10972,0.4,0.3869771523223627,1575978.0,1.0,0.5,0.27320072353012737,900480.0,0.1949670341142328,0.08770627416998467,314638.42735479295,0.1150768798827975,0.14232958130655954,494652.0593810936
BPI12,exhaustive,1,5,194139,A_CANCELLED,10931,0.4,0.3185712591555652,1160511.0,1.0,0.5,0.15937240840107214,535031.7,0.046337211299454936,0.05553158486693979,203588.56516067416,0.18623586964253944,0.2956843647463164,967298.7374960434
BPI12,exhaustive,1,5,194269,O_DECLINED,10972,0.7,0.08318774466920839,291990.9,1.0,0.4,0.3445829828190025,1342972.8,0.0986463575662877,0.14004677862332326,487305.81605556223,0.14565310715341206,0.22707575744403782,759622.9811017533
BPI12,exhaustive,1,5,195082,A_CANCELLED,10914,0.2,0.21482132017272218,1155912.0,1.0,0.4,0.1589538880382087,526650.0,0.05014457167359524,0.12808628430724622,448587.30221317115,0.19913788821132705,0.3731638271539523,1200425.4105039162
BPI12,exhaustive,1,5,195175,A_CANCELLED,10629,0.5,0.24565800574085342,831383.0,1.0,0.2,0.16616759702314454,562952.1,0.06711238583604673,-0.04329102882041308,0.0,0.16009249215607585,0.18725798274916672,636771.4244790605
BPI12,exhaustive,1,5,195247,A_CANCELLED,11049,,,,0.0,1.0,0.15970764719394065,540890.0,0.1606869442250783,-0.007658309025629917,0.0,0.4455178920201936,0.1488014924997211,515406.86318097764
BPI12,exhaustive,1,5,195259,A_CANCELLED,10972,0.3,0.3048403771224904,1037579.0,1.0,0.3,0.19523715586606216,696475.1,0.05110057259441186,-0.007554116986738579,0.0,0.14417679311830922,0.27256119372833765,897665.9059665012
BPI12,exhaustive,1,5,195323,O_DECLINED,10609,0.6,0.11382466807312382,394056.0,1.0,0.2,0.27796109170560157,928084.2,0.047319864542856395,0.24594830538075713,817126.7789290347,0.11303833007788326,0.3236446228778328,1051310.4543192692
BPI12,exhaustive,1,5,195654,A_CANCELLED,112,0.1,0.3443284867842877,1176501.0,1.0,0.7,0.3391354462920371,1110759.0,0.049498004028066464,0.018826636391268747,70975.82015765226,0.19696856905807986,0.26937703987874045,888056.3568677253
BPI12,exhaustive,1,5,196045,A_CANCELLED,10629,0.7,0.3272467509106359,1296896.0,1.0,0.3,0.35109362475018935,1168548.4,0.056283620607492243,0.02442885754000318,91683.00782381429,0.038118747573971754,0.05363429910384471,196899.93068223668
BPI12,exhaustive,1,5,196057,A_CANCELLED,10972,0.3,0.19051488546627907,623787.0,1.0,0.1,0.3121612762433136,1263505.2,0.06371589202813817,0.012410322217387137,47033.12921878125,0.15270113068841012,0.23287350973176058,777329.7552014538
