case_study,method,rank,k_total,case:concept:name,rec_activity,rec_resource,sim_status_method_mean,sim_remaining_time_method_mean_sigmoid_mm,sim_remaining_time_method_mean,sim_rec_applied_fraction,sim_status_baseline_mean,sim_remaining_time_baseline_mean_sigmoid_mm,sim_remaining_time_baseline_mean,pred_status_with_rec,pred_remaining_time_with_rec_sigmoid_mm,pred_remaining_time_with_rec,pred_status_no_rec,pred_remaining_time_no_rec_sigmoid_mm,pred_remaining_time_no_rec
BPI12,nsga2,4,5,188485,O_SENT_BACK,10899.0,0.2,0.31296067374272457,1034930.0,1.0,0.4,0.22146560767853316,791588.0,0.2620799612485856,0.22664920983252662,758318.7063308144,0.07964092049823561,0.2979520074871998,974116.7471180279
BPI12,nsga2,4,5,189805,A_CANCELLED,11259.0,,,,0.0,1.0,0.08591773172010894,303257.0,0.13939723911485116,-0.061564090382386805,0.0,0.4540994756933542,0.09383925519039904,335338.94965080253
BPI12,nsga2,4,5,191644,A_REGISTERED,10138.0,0.6,0.03150882952319945,115565.0,1.0,0.5,0.07860833211696128,259192.2,0.7283881385304166,0.12117884756836658,426042.5730327349,0.3714884094174607,0.19069484143095322,647474.1374070914
BPI12,nsga2,4,5,193647,A_REGISTERED,10138.0,0.2,0.03728667157000179,123577.6,1.0,0.6,0.07038486670817153,233929.0,0.7924080480156053,0.055785058886230116,204480.88989482028,0.42239638485929876,0.18416216295006343,627112.5234460644
BPI12,nsga2,4,5,193968,A_CANCELLED,10899.0,0.2,0.2960156432222125,1003608.0,1.0,0.6,0.38273843013206227,1410804.6,0.11050866569879328,0.018971179600692056,71512.37068516552,0.06362805139015344,0.09895449293061584,352500.36252885696
BPI12,nsga2,4,5,194139,A_CANCELLED,10138.0,0.4,0.43215954863532746,1985147.7,1.0,0.1,0.14751704868579826,714979.8,0.012132226936348712,0.03571238754889716,132857.72125871852,0.07612677027751963,0.29008037343323556,950442.9350425114
BPI12,nsga2,4,5,194269,O_SENT_BACK,10629.0,0.5,0.3375077387171209,1182777.0,1.0,0.1,0.15833004861319172,961898.7,0.19836774834044818,0.13192284087893366,461049.89117596496,0.05686242634629103,0.23494600606166482,783650.0133766574
BPI12,nsga2,4,5,195082,A_CANCELLED,10138.0,0.4,0.3997759102950183,1617132.0,1.0,0.4,0.223676808744323,782700.0,0.02066603899462459,0.13578638761077924,473558.80537914915,0.12402305373377429,0.3649056318143214,1175478.0672496078
BPI12,nsga2,4,5,195175,O_SENT_BACK,10629.0,0.5,0.407273619218926,1456487.0,1.0,0.5,0.25190100920954384,875450.1,0.2584029686332187,0.13444547387083117,469221.9915370883,0.07271495970524341,0.2276828712309334,761479.0037045644
BPI12,nsga2,4,5,195247,A_CANCELLED,10899.0,,,,0.0,1.0,0.17372849722028302,585674.0,0.1866502088294738,-0.004794791642775631,0.0,0.38675180459129993,0.1314036355863368,459365.73449811735
