case_study,method,rank,k_total,case:concept:name,rec_activity,rec_resource,sim_status_method_mean,sim_remaining_time_method_mean,sim_status_baseline_mean,sim_remaining_time_baseline_mean,pred_status_with_rec,pred_remaining_time_with_rec,pred_status_no_rec,pred_remaining_time_no_rec
BPI12,nsga2,5,5,188485,O_SENT_BACK,10629.0,0.2,937371.2,0.2,211391.2,0.6408597403958354,597197.2096377413,0.2465582379372102,950951.8306799479
BPI12,nsga2,5,5,189805,A_CANCELLED,10933.0,1.0,287444.3,1.0,152988.9,0.16805880820980712,0.0,0.5207584762919515,363991.05209038197
BPI12,nsga2,5,5,193968,A_CANCELLED,10912.0,0.4,1367142.0,0.5,1211302.8,0.05996699773003537,334766.58978239587,0.044369487257921274,363191.6269361583
BPI12,nsga2,5,5,194139,A_CANCELLED,112.0,0.1,1033616.4,0.1,1164721.2,0.007367714119140769,96942.86943829921,0.08079519946153632,827802.8315854886
BPI12,nsga2,5,5,194269,O_SENT_BACK,10138.0,0.2,1009197.0,0.0,1073534.1,0.3432046216731964,479655.60770804144,0.07488299489014552,842925.5043793351
BPI12,nsga2,5,5,195082,O_SENT_BACK,10629.0,0.4,1149540.0,0.2,889008.0,0.39932886587635646,599541.7719660139,0.09448745438346824,970247.0731275254
BPI12,nsga2,5,5,195175,O_SENT_BACK,10629.0,0.3,1835012.3,0.5,1000842.0,0.326021606385288,458454.9819779608,0.07056738910889075,820647.3027198282
BPI12,nsga2,5,5,195247,A_APPROVED,10138.0,0.3,111834.0,1.0,247950.6,0.9543282424067278,0.0,0.7407743622378217,356910.3215071892
BPI12,nsga2,5,5,195259,A_CANCELLED,112.0,0.3,1876931.7,0.4,950650.6,0.005119784510772587,58076.345483157435,0.06151083495596327,809514.565588926
BPI12,nsga2,5,5,195654,A_CANCELLED,112.0,0.5,1166739.0,0.3,195585.3,0.006902549083265767,70198.95173755335,0.07604931919148834,823319.8142737073
BPI12,nsga2,5,5,196045,A_CANCELLED,10138.0,0.2,1647752.0,0.3,637197.2,0.004004828149686771,49062.079223877634,0.004004828149686771,49062.079223877634
BPI12,nsga2,5,5,196057,A_CANCELLED,10629.0,0.2,1144351.2,0.3,602797.8,0.005210258669290292,52162.022660407936,0.07722962659718759,816613.0379900945
