case_study,method,rank,k_total,case:concept:name,rec_activity,rec_resource,sim_status_method_mean,sim_remaining_time_method_mean_sigmoid_mm,sim_remaining_time_method_mean,sim_rec_applied_fraction,sim_status_baseline_mean,sim_remaining_time_baseline_mean_sigmoid_mm,sim_remaining_time_baseline_mean,pred_status_with_rec,pred_remaining_time_with_rec_sigmoid_mm,pred_remaining_time_with_rec,pred_status_no_rec,pred_remaining_time_no_rec_sigmoid_mm,pred_remaining_time_no_rec
BPI12,nsga2,1,5,188485,O_SENT_BACK,10138,0.4,0.43396684390499196,1476686.0,1.0,0.4,0.22146560767853316,791588.0,0.2951897184372383,0.20503903945504964,691927.5539400105,0.07964092049823561,0.2979520074871998,974116.7471180279
BPI12,nsga2,1,5,189805,A_APPROVED,10138,0.7,0.13936267379515516,481907.0,1.0,1.0,0.08591773172010894,303257.0,0.8111532982058398,-0.04134250967320707,0.0,0.4540994756933542,0.09383925519039904,335338.94965080253
BPI12,nsga2,1,5,191644,A_APPROVED,10972,0.7,0.13128208420144566,444305.0,1.0,0.5,0.07860833211696128,259192.2,0.7794221856759957,0.12615970672826204,442313.26247438113,0.3714884094174607,0.19069484143095322,647474.1374070914
BPI12,nsga2,1,5,193647,A_APPROVED,10972,0.3,0.1872709946928779,891637.0,1.0,0.6,0.07038486670817153,233929.0,0.8341520668640053,0.02878676047045059,107667.89171937364,0.42239638485929876,0.18416216295006343,627112.5234460644
BPI12,nsga2,1,5,193968,A_CANCELLED,11049,0.2,0.42319099024326723,1440144.0,1.0,0.6,0.38273843013206227,1410804.6,0.1959001803508737,0.013499604771834595,51115.26798384159,0.06362805139015344,0.09895449293061584,352500.36252885696
BPI12,nsga2,1,5,194139,O_SENT_BACK,10629,0.2,0.27638410726542506,996597.0,1.0,0.1,0.14751704868579826,714979.8,0.35307483180031174,0.20893997402499412,703960.4896028456,0.07612677027751963,0.29008037343323556,950442.9350425114
BPI12,nsga2,1,5,194269,A_CANCELLED,10629,0.3,0.3258218786264698,1992159.0,1.0,0.1,0.15833004861319172,961898.7,0.014294090774983151,0.01543771858101689,58360.67359712743,0.05686242634629103,0.23494600606166482,783650.0133766574
BPI12,nsga2,1,5,195082,A_CANCELLED,10629,0.1,0.49483868137306286,2593464.0,1.0,0.4,0.223676808744323,782700.0,0.02419341899570887,0.10625026225592546,376820.36272012617,0.12402305373377429,0.3649056318143214,1175478.0672496078
BPI12,nsga2,1,5,195175,O_SENT_BACK,10138,0.4,0.5105067798677341,2472623.0,1.0,0.5,0.25190100920954384,875450.1,0.2912315289955751,0.12126745034507314,426332.64872508764,0.07271495970524341,0.2276828712309334,761479.0037045644
BPI12,nsga2,1,5,195247,A_APPROVED,10972,0.6,0.1327741685989385,454226.0,1.0,1.0,0.17372849722028302,585674.0,0.7914644056864034,0.024431931757486702,91694.32159874984,0.38675180459129993,0.1314036355863368,459365.73449811735
BPI12,nsga2,1,5,195259,A_CANCELLED,10629,0.1,0.4406166677753564,1995881.0,1.0,0.3,0.14240733426114938,639403.1,0.020306496011105634,0.022012967955743645,82775.41931149375,0.07933882348944883,0.27929279338468377,917962.410356825
BPI12,nsga2,1,5,195323,A_CANCELLED,10629,0.5,0.45039042575986155,2435748.0,1.0,0.2,0.2571991183021123,1088000.4,0.04198489821639129,0.10285537211036552,365526.20952684677,0.08042543187140053,0.3347412801109139,1084653.357743797
BPI12,nsga2,1,5,195654,A_CANCELLED,11259,0.4,0.5052108762966901,1957587.0,1.0,0.2,0.24816112298126453,1713464.4,0.015823746470049,0.05273239208905764,193714.47803810542,0.09737087870856093,0.30251396796657803,987829.1706118752
BPI12,nsga2,1,5,196045,A_CANCELLED,10629,0.3,0.4009669519951323,1438352.0,1.0,0.4,0.15567679612038157,518670.4,0.0204575681684158,0.006563762697652187,24997.658206605935,0.012776273153186248,0.036099888052506024,134259.58414139226
BPI12,nsga2,1,5,196057,A_CANCELLED,10629,0.3,0.46648663262665657,1662357.0,1.0,0.4,0.2052516139288604,732617.4,0.017395132087197018,-0.0013437071491685382,0.0,0.06855618577531163,0.2294339893406127,766829.9308883173
BPI12,nsga2,1,5,196060,O_SENT_BACK,10138,0.3,0.5414938431302025,2405743.0,1.0,0.2,0.23763879778157865,1017755.1,0.2414705463084538,0.13550515182724215,472649.6307148711,0.06171309730891763,0.21999906885108161,737955.0554488399
BPI12,nsga2,1,5,196341,A_CANCELLED,10629,0.2,0.6309057383613944,3530103.0,1.0,0.2,0.17469316612763242,576981.9,0.0204575681684158,0.009068638116378647,34464.53893568285,0.0798932578742141,0.26996014373638627,889816.5851181333
BPI12,nsga2,1,5,196455,O_SENT_BACK,10972,,,,0.0,0.4,0.044016320742139924,146230.8,0.8309490887343319,0.173151012670618,592610.711197735,0.4599738144775323,0.31328436547859545,1020189.1345693872
BPI12,nsga2,1,5,196521,A_CANCELLED,10629,0.3,0.37023875033575726,1380201.0,1.0,0.3,0.16621973982684723,555750.0,0.0204575681684158,0.0263582526430699,98773.13377855823,0.0798932578742141,0.2623766757557801,866906.8271320711
BPI12,nsga2,1,5,196602,A_APPROVED,10609,0.3,0.0498589774237871,176618.1,1.0,1.0,0.14572396187649664,493563.0,0.7527312238015633,0.018054654478412924,68108.11426816741,0.403818434554184,0.16514370283117477,567367.4181051906
BPI12,nsga2,1,5,196867,O_SENT_BACK,10972,0.5,0.6860029742190036,2565116.0,1.0,0.4,0.2012152385494864,698882.0,0.4454831720421694,0.16509460711570567,567212.2223783683,0.1246643016026465,0.2757147438710672,907177.254502659
BPI12,nsga2,1,5,196948,A_CANCELLED,10629,,,,0.0,1.0,0.12951580864348275,438820.0,0.14193972508259686,0.0468392676684623,172805.21031394228,0.4330618727711284,0.1743675704189717,596434.3265470034
BPI12,nsga2,1,5,197051,A_CANCELLED,10629,0.4,0.5238488633546428,2283071.0,1.0,0.2,0.2059438393373651,736099.7,0.02634804416272143,-0.012890730046954013,0.0,0.10113056209871861,0.24658523614631023,819061.1056596691
BPI12,nsga2,1,5,197093,A_CANCELLED,10910,0.1,0.5169139448831759,2318795.0,1.0,0.2,0.1478778949702152,492482.3,0.05591377298330664,0.23755595346980474,791602.6059116174,0.13938806551628707,0.4954868519073621,1580041.4338731864
BPI12,nsga2,1,5,197162,A_CANCELLED,10629,0.2,0.5000371006347023,2600451.0,1.0,0.3,0.15236053765856633,616413.6,0.010304146858123628,0.09732481798494155,347042.91521665803,0.05611824981600883,0.33425161555341204,1083181.5877464553
BPI12,nsga2,1,5,197168,A_CANCELLED,11049,0.1,0.3657348861776264,1270461.0,1.0,0.4,0.2762352380253895,931053.9,0.026314440047633465,0.10396547625369562,369223.5768388002,0.07290988814981439,0.32638659903029,1059547.9051620997
BPI12,nsga2,1,5,197321,O_SENT_BACK,11049,0.2,0.3989755309306375,2245711.0,1.0,0.3,0.1750054669703715,840217.9,0.18250798062689322,0.23509447562871888,784102.6024081031,0.04597518806760205,0.3258941914122882,1058068.5588150998
BPI12,nsga2,1,5,197530,A_APPROVED,10138,0.3,0.04764355230466781,168785.0,1.0,1.0,0.19472791719157473,641339.0,0.6990946150462649,0.050104360115890256,184410.58935388655,0.3103139964254725,0.1835714240671716,625267.4260906108
BPI12,nsga2,1,5,197605,O_SENT_BACK,10138,0.4,0.4214122208472861,3082779.0,1.0,0.3,0.25342868847239375,1249968.9,0.3651886923474308,0.21565048430979789,724608.098596652,0.1062302696082433,0.32467042144515884,1054392.0789864366
BPI12,nsga2,1,5,197800,O_SENT_BACK,10138,0.5,0.5133900954707238,2498965.0,1.0,0.3,0.2939996498335271,1250912.7,0.2611877120625183,0.12583912873489442,441268.2380729838,0.06806943718591164,0.21708320626309405,729008.3048500211
BPI12,nsga2,1,5,198026,O_SENT_BACK,10138,0.3,0.529562061517215,1773017.0,1.0,0.1,0.2245454988923523,724214.9,0.33543698167426517,0.4052969374144454,1298035.3595586692,0.12358154460240457,0.5726327825120481,1837983.6892378791
BPI12,nsga2,1,5,198232,A_CANCELLED,10138,,,,0.0,1.0,0.14890739110030804,509740.0,0.12663133921738126,-0.03563891724524865,0.0,0.38704079048395773,0.13686908703248102,477056.9462872682
BPI12,nsga2,1,5,198253,O_SENT_BACK,10138,,,,0.0,1.0,0.11358039193257859,384407.7,0.8819703423896994,0.10535779162630429,373855.0241493259,0.6043493349167836,0.1592908259141327,548828.5640430755
