case:concept:name,sim_events_generated,reason
197093,300,case fired >= max_events_per_case=300 simulated events without reaching the final marking and was truncated to avoid a runaway/near-infinite loop; see last_non_fitting_prefixes for the most common root cause on prefix-continuation runs.
200635,300,case fired >= max_events_per_case=300 simulated events without reaching the final marking and was truncated to avoid a runaway/near-infinite loop; see last_non_fitting_prefixes for the most common root cause on prefix-continuation runs.
188485,300,case fired >= max_events_per_case=300 simulated events without reaching the final marking and was truncated to avoid a runaway/near-infinite loop; see last_non_fitting_prefixes for the most common root cause on prefix-continuation runs.
199189,300,case fired >= max_events_per_case=300 simulated events without reaching the final marking and was truncated to avoid a runaway/near-infinite loop; see last_non_fitting_prefixes for the most common root cause on prefix-continuation runs.
197605,300,case fired >= max_events_per_case=300 simulated events without reaching the final marking and was truncated to avoid a runaway/near-infinite loop; see last_non_fitting_prefixes for the most common root cause on prefix-continuation runs.
202071,300,case fired >= max_events_per_case=300 simulated events without reaching the final marking and was truncated to avoid a runaway/near-infinite loop; see last_non_fitting_prefixes for the most common root cause on prefix-continuation runs.
205340,300,case fired >= max_events_per_case=300 simulated events without reaching the final marking and was truncated to avoid a runaway/near-infinite loop; see last_non_fitting_prefixes for the most common root cause on prefix-continuation runs.
202379,300,case fired >= max_events_per_case=300 simulated events without reaching the final marking and was truncated to avoid a runaway/near-infinite loop; see last_non_fitting_prefixes for the most common root cause on prefix-continuation runs.
205143,300,case fired >= max_events_per_case=300 simulated events without reaching the final marking and was truncated to avoid a runaway/near-infinite loop; see last_non_fitting_prefixes for the most common root cause on prefix-continuation runs.
195654,300,case fired >= max_events_per_case=300 simulated events without reaching the final marking and was truncated to avoid a runaway/near-infinite loop; see last_non_fitting_prefixes for the most common root cause on prefix-continuation runs.
198253,300,case fired >= max_events_per_case=300 simulated events without reaching the final marking and was truncated to avoid a runaway/near-infinite loop; see last_non_fitting_prefixes for the most common root cause on prefix-continuation runs.
207708,300,case fired >= max_events_per_case=300 simulated events without reaching the final marking and was truncated to avoid a runaway/near-infinite loop; see last_non_fitting_prefixes for the most common root cause on prefix-continuation runs.
199893,300,case fired >= max_events_per_case=300 simulated events without reaching the final marking and was truncated to avoid a runaway/near-infinite loop; see last_non_fitting_prefixes for the most common root cause on prefix-continuation runs.
194269,300,case fired >= max_events_per_case=300 simulated events without reaching the final marking and was truncated to avoid a runaway/near-infinite loop; see last_non_fitting_prefixes for the most common root cause on prefix-continuation runs.
207605,300,case fired >= max_events_per_case=300 simulated events without reaching the final marking and was truncated to avoid a runaway/near-infinite loop; see last_non_fitting_prefixes for the most common root cause on prefix-continuation runs.
