case:concept:name,recommendation:act,recommendation:res,reason
195247,O_SENT_BACK,11049,not_reachable_from_replayed_prefix_marking
208052,A_DECLINED,10629,not_reachable_from_replayed_prefix_marking
205562,O_SENT_BACK,10789,not_reachable_from_replayed_prefix_marking
205310,O_CANCELLED,10972,not_reachable_from_replayed_prefix_marking
204030,A_DECLINED,10862,not_reachable_from_replayed_prefix_marking
206444,A_CANCELLED,10899,not_reachable_from_replayed_prefix_marking
206180,A_CANCELLED,10972,not_reachable_from_replayed_prefix_marking
201909,A_CANCELLED,10912,not_reachable_from_replayed_prefix_marking
203835,A_CANCELLED,10899,not_reachable_from_replayed_prefix_marking
205385,A_CANCELLED,11202,not_reachable_from_replayed_prefix_marking
197530,A_CANCELLED,11119,not_reachable_from_replayed_prefix_marking
202256,O_SENT_BACK,10972,not_reachable_from_replayed_prefix_marking
193647,O_CANCELLED,112,not_reachable_from_replayed_prefix_marking
201605,A_CANCELLED,11049,not_reachable_from_replayed_prefix_marking
206047,A_CANCELLED,11119,not_reachable_from_replayed_prefix_marking
198585,A_CANCELLED,10972,not_reachable_from_replayed_prefix_marking
206865,A_CANCELLED,11119,not_reachable_from_replayed_prefix_marking
202536,O_CANCELLED,10629,not_reachable_from_replayed_prefix_marking
203802,A_DECLINED,11003,not_reachable_from_replayed_prefix_marking
205313,A_CANCELLED,10972,not_reachable_from_replayed_prefix_marking
199681,O_CANCELLED,10863,not_reachable_from_replayed_prefix_marking
206300,A_CANCELLED,10933,not_reachable_from_replayed_prefix_marking
206543,O_SENT_BACK,11049,not_reachable_from_replayed_prefix_marking
206901,O_SENT_BACK,10899,not_reachable_from_replayed_prefix_marking
206309,A_CANCELLED,10629,not_reachable_from_replayed_prefix_marking
198618,A_CANCELLED,11202,not_reachable_from_replayed_prefix_marking
201611,A_CANCELLED,11119,not_reachable_from_replayed_prefix_marking
204712,O_SENT_BACK,10629,not_reachable_from_replayed_prefix_marking
204691,A_CANCELLED,10972,not_reachable_from_replayed_prefix_marking
201854,A_CANCELLED,11119,not_reachable_from_replayed_prefix_marking
203492,A_CANCELLED,10972,not_reachable_from_replayed_prefix_marking
199014,A_CANCELLED,11049,not_reachable_from_replayed_prefix_marking
