case:concept:name,recommendation:act,recommendation:res,reason
200386,O_CANCELLED,11029,not_reachable_from_replayed_prefix_marking
205364,O_CANCELLED,11000,not_reachable_from_replayed_prefix_marking
195247,A_CANCELLED,10899,not_reachable_from_replayed_prefix_marking
202397,O_SENT_BACK,10889,not_reachable_from_replayed_prefix_marking
208052,O_CANCELLED,11179,not_reachable_from_replayed_prefix_marking
189805,O_CANCELLED,11189,not_reachable_from_replayed_prefix_marking
205562,O_SENT_BACK,10929,not_reachable_from_replayed_prefix_marking
202539,O_CANCELLED,10889,not_reachable_from_replayed_prefix_marking
205310,O_CANCELLED,112,not_reachable_from_replayed_prefix_marking
204030,O_CANCELLED,112,not_reachable_from_replayed_prefix_marking
201072,O_SENT_BACK,11180,not_reachable_from_replayed_prefix_marking
200593,O_CANCELLED,10859,not_reachable_from_replayed_prefix_marking
206444,O_SENT_BACK,10889,not_reachable_from_replayed_prefix_marking
209188,O_CANCELLED,10972,not_reachable_from_replayed_prefix_marking
206180,O_SENT_BACK,10629,not_reachable_from_replayed_prefix_marking
196455,O_CANCELLED,112,not_reachable_from_replayed_prefix_marking
204993,O_CANCELLED,10899,not_reachable_from_replayed_prefix_marking
201909,O_CANCELLED,112,not_reachable_from_replayed_prefix_marking
203835,O_CANCELLED,10889,not_reachable_from_replayed_prefix_marking
205385,O_CANCELLED,10228,not_reachable_from_replayed_prefix_marking
206453,O_CANCELLED,10899,not_reachable_from_replayed_prefix_marking
208358,A_ACCEPTED,10629,not_reachable_from_replayed_prefix_marking
202256,O_CANCELLED,11180,not_reachable_from_replayed_prefix_marking
202740,O_SENT_BACK,10909,not_reachable_from_replayed_prefix_marking
203079,O_SENT_BACK,10899,not_reachable_from_replayed_prefix_marking
193647,O_CANCELLED,11189,not_reachable_from_replayed_prefix_marking
206047,O_CANCELLED,11169,not_reachable_from_replayed_prefix_marking
198585,O_CANCELLED,11003,not_reachable_from_replayed_prefix_marking
205742,O_CANCELLED,11180,not_reachable_from_replayed_prefix_marking
209341,A_ACCEPTED,10629,not_reachable_from_replayed_prefix_marking
205059,O_SENT_BACK,10609,not_reachable_from_replayed_prefix_marking
205846,O_CANCELLED,11181,not_reachable_from_replayed_prefix_marking
208961,A_ACCEPTED,10629,not_reachable_from_replayed_prefix_marking
206865,O_CANCELLED,10899,not_reachable_from_replayed_prefix_marking
203296,O_CANCELLED,11029,not_reachable_from_replayed_prefix_marking
196602,O_CANCELLED,11181,not_reachable_from_replayed_prefix_marking
208997,A_ACCEPTED,10629,not_reachable_from_replayed_prefix_marking
208049,O_SELECTED,10138,not_reachable_from_replayed_prefix_marking
206937,O_CANCELLED,10899,not_reachable_from_replayed_prefix_marking
204442,O_CANCELLED,11003,not_reachable_from_replayed_prefix_marking
209652,A_ACCEPTED,10629,not_reachable_from_replayed_prefix_marking
209437,A_ACCEPTED,10629,not_reachable_from_replayed_prefix_marking
207482,O_SENT_BACK,10629,not_reachable_from_replayed_prefix_marking
202536,O_CANCELLED,10880,not_reachable_from_replayed_prefix_marking
206420,O_CANCELLED,10929,not_reachable_from_replayed_prefix_marking
205313,O_CANCELLED,11181,not_reachable_from_replayed_prefix_marking
206925,O_CANCELLED,10899,not_reachable_from_replayed_prefix_marking
199681,O_CANCELLED,11181,not_reachable_from_replayed_prefix_marking
205724,O_CANCELLED,112,not_reachable_from_replayed_prefix_marking
206300,O_CANCELLED,11181,not_reachable_from_replayed_prefix_marking
206543,O_SENT_BACK,10889,not_reachable_from_replayed_prefix_marking
206901,O_SENT_BACK,10629,not_reachable_from_replayed_prefix_marking
206141,O_SENT_BACK,10629,not_reachable_from_replayed_prefix_marking
206309,O_CANCELLED,10880,not_reachable_from_replayed_prefix_marking
205661,O_CANCELLED,10889,not_reachable_from_replayed_prefix_marking
205229,O_CANCELLED,10912,not_reachable_from_replayed_prefix_marking
198618,O_CANCELLED,10228,not_reachable_from_replayed_prefix_marking
201611,O_CANCELLED,10880,not_reachable_from_replayed_prefix_marking
209592,A_ACCEPTED,10629,not_reachable_from_replayed_prefix_marking
205873,O_CANCELLED,10889,not_reachable_from_replayed_prefix_marking
209808,A_ACCEPTED,10629,not_reachable_from_replayed_prefix_marking
204841,O_CANCELLED,10912,not_reachable_from_replayed_prefix_marking
209838,A_ACCEPTED,10629,not_reachable_from_replayed_prefix_marking
204712,O_CANCELLED,112,not_reachable_from_replayed_prefix_marking
201376,O_CANCELLED,10912,not_reachable_from_replayed_prefix_marking
204099,O_CANCELLED,10912,not_reachable_from_replayed_prefix_marking
204691,O_CANCELLED,112,not_reachable_from_replayed_prefix_marking
201854,O_SENT_BACK,10899,not_reachable_from_replayed_prefix_marking
203492,O_CANCELLED,112,not_reachable_from_replayed_prefix_marking
