case:concept:name,Next_activity,Next_resource
188485,O_SENT_BACK,10889
189805,O_CANCELLED,11189
191644,A_REGISTERED,10809
193647,O_CANCELLED,11189
193968,O_CANCELLED,112
194139,O_SENT_BACK,10629
194269,O_SENT_BACK,10629
195082,A_CANCELLED,10629
195175,O_SENT_BACK,10629
195247,A_CANCELLED,10899
195259,O_SENT_BACK,10629
195323,A_CANCELLED,10629
195654,O_SENT_BACK,10629
196045,O_SENT_BACK,10629
196057,O_SENT_BACK,10629
196060,O_SENT_BACK,10629
196341,O_SENT_BACK,10629
196455,O_CANCELLED,112
196521,O_SENT_BACK,10629
196602,O_CANCELLED,11181
196867,O_SENT_BACK,10629
196948,A_ACTIVATED,10609
197051,O_SENT_BACK,10629
197093,O_SENT_BACK,10138
197162,A_CANCELLED,10629
197168,A_CANCELLED,10629
197321,O_SENT_BACK,10138
197530,A_ACTIVATED,10629
197605,O_SENT_BACK,10629
197800,O_SENT_BACK,10629
198026,O_SENT_BACK,10629
198232,A_ACTIVATED,10629
198253,O_SENT_BACK,11259
198274,O_SENT_BACK,10629
198415,A_CANCELLED,10629
198585,O_CANCELLED,11003
198618,O_CANCELLED,10228
199014,A_ACTIVATED,10138
199189,O_SENT_BACK,10629
199411,O_SENT_BACK,10629
199570,O_SENT_BACK,10138
199600,O_SENT_BACK,10629
199633,O_SENT_BACK,10629
199681,O_CANCELLED,11003
199800,O_SENT_BACK,10138
199893,A_CANCELLED,11122
200103,O_SENT_BACK,10889
200320,O_SENT_BACK,10629
200386,O_CANCELLED,11029
200593,O_CANCELLED,10859
200635,O_SENT_BACK,10138
200764,O_SENT_BACK,10228
200770,O_SENT_BACK,10629
200811,W_Valideren aanvraag,11180
200859,O_SENT_BACK,10138
200877,O_SENT_BACK,10629
200982,O_CANCELLED,10912
201072,O_SENT_BACK,11180
201081,O_SENT_BACK,10629
201144,O_SENT_BACK,10629
201244,O_SENT_BACK,10629
201328,O_SENT_BACK,10629
201373,O_SENT_BACK,10629
201376,O_CANCELLED,10912
201379,O_SENT_BACK,10629
201397,O_CANCELLED,112
201427,O_SENT_BACK,10609
201433,O_SENT_BACK,10629
201526,O_SENT_BACK,10629
201541,A_CANCELLED,10629
201605,W_Valideren aanvraag,10932
201611,O_CANCELLED,10880
201677,O_SENT_BACK,10629
201725,O_CANCELLED,112
201743,O_SENT_BACK,10629
201770,O_SENT_BACK,10629
201833,O_SENT_BACK,10629
201842,O_SENT_BACK,10629
201848,O_SENT_BACK,10138
201854,O_CANCELLED,10899
201885,O_SENT_BACK,10629
201891,O_SENT_BACK,10629
201909,O_CANCELLED,112
201915,O_SENT_BACK,10629
201927,O_SENT_BACK,10629
201936,O_SENT_BACK,10629
202026,O_SENT_BACK,10629
202056,O_SENT_BACK,10629
202068,O_SENT_BACK,10629
202071,O_SENT_BACK,10629
202182,O_SENT_BACK,10629
202256,O_CANCELLED,11180
202259,O_SENT_BACK,10629
202271,O_SENT_BACK,10609
202343,O_SENT_BACK,10609
202361,O_SENT_BACK,10629
202379,O_SENT_BACK,10609
202397,O_SENT_BACK,10889
202457,O_SENT_BACK,10629
202479,O_SENT_BACK,10629
202536,O_CANCELLED,10880
202539,O_CANCELLED,10889
202542,O_SENT_BACK,10138
202569,O_SENT_BACK,10629
202596,O_SENT_BACK,10629
202632,O_SENT_BACK,10629
202641,O_SENT_BACK,10629
202737,O_SENT_BACK,10629
202740,O_SENT_BACK,10909
202755,O_SENT_BACK,10629
202809,O_CANCELLED,10629
202830,O_SENT_BACK,10629
202881,O_SENT_BACK,10629
202893,O_SENT_BACK,10629
202899,O_SENT_BACK,10629
202935,O_SENT_BACK,10889
202983,O_SENT_BACK,10629
203013,A_CANCELLED,10629
203016,O_SENT_BACK,10609
203076,O_SENT_BACK,10138
203079,O_CANCELLED,10899
203146,O_SENT_BACK,10629
203149,O_SENT_BACK,10629
203158,A_APPROVED,10809
203173,O_SENT_BACK,10629
203227,O_SENT_BACK,10629
203230,O_SENT_BACK,10629
203248,O_SENT_BACK,10629
203260,O_SENT_BACK,10629
203287,A_CANCELLED,10629
203296,O_CANCELLED,11029
203341,O_SENT_BACK,10629
203380,O_SENT_BACK,10228
203419,O_SENT_BACK,10629
203480,O_SENT_BACK,10629
203492,O_CANCELLED,112
203549,O_SENT_BACK,10629
203606,O_SENT_BACK,10629
203711,O_SENT_BACK,10609
203732,O_SENT_BACK,10629
203738,O_SENT_BACK,10629
203762,O_SENT_BACK,10629
203765,O_SENT_BACK,10629
203777,O_SENT_BACK,10629
203780,O_SENT_BACK,10629
203802,O_ACCEPTED,10609
203829,O_SENT_BACK,10629
203835,O_CANCELLED,10889
203841,O_SENT_BACK,10629
203865,O_SENT_BACK,10629
203883,O_SENT_BACK,10629
203901,O_SENT_BACK,10629
203961,O_SENT_BACK,10629
203964,O_CANCELLED,10912
203994,O_SENT_BACK,10629
204000,O_SENT_BACK,10629
204030,O_CANCELLED,112
204045,O_SENT_BACK,10629
204054,O_SENT_BACK,10629
204096,O_SENT_BACK,10629
204099,O_CANCELLED,10912
204119,O_SENT_BACK,10629
204185,O_SENT_BACK,10609
204200,O_SENT_BACK,10629
204218,O_SENT_BACK,10629
204314,O_SENT_BACK,10629
204326,O_CANCELLED,10629
204332,O_SENT_BACK,10629
204347,O_SENT_BACK,10629
204418,O_SENT_BACK,10629
204442,O_CANCELLED,11003
204466,O_SENT_BACK,10629
204472,O_SENT_BACK,10629
204475,W_Nabellen incomplete dossiers,10629
204514,O_SENT_BACK,10629
204565,O_SENT_BACK,10629
204574,O_SENT_BACK,10629
204592,O_SENT_BACK,10138
204613,O_SENT_BACK,10629
204682,O_SENT_BACK,10629
204691,O_CANCELLED,112
204712,O_CANCELLED,112
204721,O_SENT_BACK,10629
204724,O_SENT_BACK,10629
204730,W_Valideren aanvraag,11179
204742,O_SENT_BACK,10629
204799,O_SENT_BACK,10629
204808,O_SENT_BACK,10629
204829,O_SENT_BACK,10629
204838,O_SENT_BACK,10629
204841,O_CANCELLED,10912
204847,O_SENT_BACK,10629
204859,O_CANCELLED,112
204862,O_ACCEPTED,10609
204906,O_SENT_BACK,10629
204915,O_SENT_BACK,10609
204924,O_SENT_BACK,10629
204969,O_SENT_BACK,10629
204981,O_CANCELLED,112
204993,O_CANCELLED,10899
205005,O_SENT_BACK,10629
205026,O_SENT_BACK,10629
205029,O_SENT_BACK,10629
205035,O_SENT_BACK,10629
205059,O_SENT_BACK,10609
205062,O_SENT_BACK,10629
205086,O_SENT_BACK,10629
205110,O_SENT_BACK,10629
205125,O_SENT_BACK,10629
205143,O_SENT_BACK,10138
205170,O_SENT_BACK,10629
205229,O_CANCELLED,10912
205256,O_SENT_BACK,10629
205262,O_SENT_BACK,10629
205274,O_SENT_BACK,10629
205310,O_CANCELLED,112
205313,O_CANCELLED,11181
205319,O_SENT_BACK,10629
205340,O_SENT_BACK,10629
205343,O_SENT_BACK,10629
205349,O_SENT_BACK,10629
205358,O_SENT_BACK,10629
205364,O_CANCELLED,11000
205367,O_CANCELLED,112
205379,O_SENT_BACK,10629
205385,O_CANCELLED,10228
205388,O_SENT_BACK,10629
205418,O_SENT_BACK,10629
205459,O_SENT_BACK,10629
205465,O_SENT_BACK,10972
205468,O_SENT_BACK,10972
205511,A_APPROVED,10609
205514,O_SENT_BACK,10629
205535,O_SENT_BACK,10629
205553,O_SENT_BACK,10629
205556,O_SENT_BACK,10629
205562,O_SENT_BACK,10929
205583,O_SENT_BACK,10629
205643,O_SENT_BACK,10629
205661,O_CANCELLED,10889
205715,O_SENT_BACK,10629
205724,O_CANCELLED,112
205736,O_SENT_BACK,10629
205742,O_CANCELLED,11180
205754,O_SENT_BACK,10629
205757,O_CANCELLED,10629
205782,O_CANCELLED,10912
205791,O_SENT_BACK,10629
205794,O_SENT_BACK,10629
205797,O_SENT_BACK,10629
205803,O_SENT_BACK,10629
205843,O_SENT_BACK,10629
205846,O_CANCELLED,11181
205849,O_SENT_BACK,10609
205864,A_ACCEPTED,10629
205873,O_CANCELLED,10889
205876,O_SENT_BACK,10629
205885,O_SENT_BACK,10629
205897,O_SENT_BACK,10629
205912,O_CANCELLED,10629
205921,O_SENT_BACK,10629
205954,O_SENT_BACK,10629
205969,O_SENT_BACK,10629
