case:concept:name,Next_activity,Next_resource
188485,O_SENT_BACK,10629
189805,O_SENT_BACK,10789
191644,A_DECLINED,11001
193647,O_SELECTED,10972
193968,O_SELECTED,10899
194139,O_SENT_BACK,10629
194269,O_SENT_BACK,10972
195082,O_SENT_BACK,10972
195175,O_SENT_BACK,10972
195247,O_SENT_BACK,10899
195259,O_SENT_BACK,10972
195323,O_DECLINED,10972
195654,O_SENT_BACK,10972
196045,O_SENT_BACK,10972
196057,O_SENT_BACK,10972
196060,O_SENT_BACK,10972
196341,O_SENT_BACK,10972
196455,O_SENT_BACK,10789
196521,O_SENT_BACK,10972
196602,A_APPROVED,10972
196867,O_SENT_BACK,10629
196948,A_APPROVED,10972
197051,O_SENT_BACK,10972
197093,O_SENT_BACK,10138
197162,O_SENT_BACK,10629
197168,O_SENT_BACK,10972
197321,O_CANCELLED,112
197530,O_SENT_BACK,10899
197605,O_SENT_BACK,10138
197800,O_SENT_BACK,10972
198026,O_SENT_BACK,10972
198232,O_SENT_BACK,10972
198253,,
198274,O_SENT_BACK,10972
198415,O_SENT_BACK,10972
198585,A_APPROVED,10972
198618,O_SENT_BACK,11259
199014,O_SELECTED,10899
199189,O_DECLINED,10972
199411,O_SENT_BACK,10629
199570,O_SENT_BACK,10972
199600,O_SENT_BACK,10972
199633,O_SENT_BACK,10972
199681,O_SENT_BACK,10789
199800,O_SENT_BACK,10972
199893,O_SENT_BACK,10972
200103,O_SENT_BACK,10629
200320,O_SENT_BACK,10972
200386,O_SENT_BACK,11259
200593,O_SENT_BACK,11259
200635,O_SENT_BACK,10629
200764,O_SENT_BACK,10629
200770,O_SENT_BACK,10629
200811,O_SELECTED,10899
200859,O_SENT_BACK,10629
200877,O_SENT_BACK,10972
200982,W_Valideren aanvraag,10789
201072,O_SENT_BACK,10789
201081,O_DECLINED,10972
201144,O_SENT_BACK,10629
201244,O_SENT_BACK,10972
201328,O_SENT_BACK,10629
201373,O_SENT_BACK,10629
201376,O_SENT_BACK,10629
201379,O_SENT_BACK,10138
201397,W_Valideren aanvraag,11049
201427,O_SENT_BACK,10972
201433,O_SENT_BACK,10972
201526,O_SENT_BACK,10972
201541,O_SENT_BACK,10629
201605,A_DECLINED,10912
201611,O_SENT_BACK,10629
201677,O_SENT_BACK,10972
201725,W_Valideren aanvraag,10972
201743,O_SENT_BACK,10629
201770,O_SENT_BACK,10629
201833,O_SENT_BACK,10138
201842,O_SENT_BACK,10629
201848,O_SENT_BACK,10138
201854,O_SENT_BACK,10929
201885,O_SENT_BACK,10972
201891,O_SENT_BACK,10629
201909,O_CANCELLED,10899
201915,O_SENT_BACK,10972
201927,O_SENT_BACK,10138
201936,O_SENT_BACK,10972
202026,O_SENT_BACK,10972
202056,O_SENT_BACK,10629
202068,O_SENT_BACK,10629
202071,O_SENT_BACK,10972
202182,O_SENT_BACK,10629
202256,O_SENT_BACK,10789
202259,O_SENT_BACK,10629
202271,A_CANCELLED,10972
202343,O_SENT_BACK,10972
202361,O_SENT_BACK,10629
202379,O_SENT_BACK,10629
202397,O_SENT_BACK,10629
202457,O_SENT_BACK,10138
202479,O_SENT_BACK,10972
202536,A_DECLINED,11001
202539,O_DECLINED,11001
202542,O_SENT_BACK,10629
202569,O_SENT_BACK,10629
202596,O_SENT_BACK,10629
202632,A_CANCELLED,10972
202641,O_DECLINED,10972
202737,O_SENT_BACK,10629
202740,O_SENT_BACK,10789
202755,O_DECLINED,10972
202809,O_DECLINED,10972
202830,O_SENT_BACK,10972
202881,O_SENT_BACK,10629
202893,O_SENT_BACK,10629
202899,O_SENT_BACK,10629
202935,O_SENT_BACK,10972
202983,O_SENT_BACK,10629
203013,O_SENT_BACK,10629
203016,O_SENT_BACK,10972
203076,O_SENT_BACK,10972
203079,O_SENT_BACK,10929
203146,O_SENT_BACK,10629
203149,A_DECLINED,10972
203158,W_Nabellen incomplete dossiers,10899
203173,O_DECLINED,10972
203227,O_SENT_BACK,10972
203230,O_SENT_BACK,10972
203248,O_SENT_BACK,10629
203260,O_SENT_BACK,10629
203287,O_SENT_BACK,10629
203296,O_SELECTED,10899
203341,O_DECLINED,10972
203380,A_DECLINED,10972
203419,O_SENT_BACK,10972
203480,O_SENT_BACK,10972
203492,A_APPROVED,10629
203549,O_SENT_BACK,10629
203606,O_SENT_BACK,10629
203711,O_SENT_BACK,10629
203732,O_SENT_BACK,10629
203738,O_SENT_BACK,10972
203762,O_SENT_BACK,10972
203765,O_SENT_BACK,10629
203777,O_SENT_BACK,10629
203780,O_SENT_BACK,10629
203802,O_DECLINED,11049
203829,O_SENT_BACK,10138
203835,O_SENT_BACK,10899
203841,O_SENT_BACK,10629
203865,O_CANCELLED,10972
203883,O_SENT_BACK,10629
203901,O_SENT_BACK,10629
203961,O_CANCELLED,10972
203964,A_CANCELLED,10899
203994,O_SENT_BACK,10629
204000,O_SENT_BACK,10629
204030,O_SENT_BACK,10629
204045,O_SENT_BACK,10629
204054,O_SENT_BACK,10629
204096,O_CANCELLED,10972
204099,O_CANCELLED,10789
204119,O_SENT_BACK,10629
204185,O_SENT_BACK,10972
204200,O_SENT_BACK,10138
204218,O_SENT_BACK,10629
204314,A_CANCELLED,10972
204326,O_CANCELLED,10972
204332,O_SENT_BACK,10629
204347,O_SENT_BACK,10972
204418,O_DECLINED,10972
