case:concept:name,Next_activity,Next_resource
188485,O_SENT_BACK,10629
189805,O_SENT_BACK,10789
191644,,
193647,,
193968,,
194139,O_CANCELLED,10972
194269,A_CANCELLED,10899
195082,A_CANCELLED,10138
195175,O_DECLINED,10972
195247,,
195259,A_CANCELLED,10899
195323,,
195654,O_SENT_BACK,10972
196045,A_CANCELLED,10972
196057,O_CANCELLED,10899
196060,O_SENT_BACK,10899
196341,O_CANCELLED,10972
196455,O_SENT_BACK,10789
196521,O_SENT_BACK,10972
196602,A_CANCELLED,10939
196867,O_CANCELLED,112
196948,O_SENT_BACK,11049
197051,,
197093,O_SENT_BACK,10972
197162,O_CANCELLED,112
197168,A_CANCELLED,10899
197321,O_SENT_BACK,10972
197530,A_CANCELLED,10899
197605,O_SENT_BACK,10629
197800,O_SENT_BACK,10899
198026,O_SENT_BACK,10899
198232,A_CANCELLED,10972
198253,,
198274,O_DECLINED,10972
198415,,
198585,A_CANCELLED,10899
198618,O_ACCEPTED,10779
199014,A_CANCELLED,10939
199189,,
199411,O_SENT_BACK,10629
199570,O_SENT_BACK,10899
199600,O_CANCELLED,10972
199633,A_CANCELLED,10138
199681,O_SENT_BACK,10899
199800,O_DECLINED,10972
199893,O_SENT_BACK,10899
200103,O_SENT_BACK,10629
200320,A_CANCELLED,10629
200386,O_SENT_BACK,11259
200593,,
200635,O_SENT_BACK,10899
200764,O_SENT_BACK,10629
200770,O_SENT_BACK,10899
200811,O_ACCEPTED,10972
200859,O_CANCELLED,10972
200877,A_CANCELLED,10972
200982,O_CANCELLED,112
201072,O_SENT_BACK,10899
201081,O_SENT_BACK,10972
201144,A_CANCELLED,10899
201244,O_CANCELLED,10972
201328,O_DECLINED,10972
201373,O_DECLINED,10972
201376,O_ACCEPTED,10779
201379,O_DECLINED,10138
201397,O_CANCELLED,10972
201427,O_SENT_BACK,10972
201433,O_DECLINED,10972
201526,O_SENT_BACK,10972
201541,O_SENT_BACK,10789
201605,A_CANCELLED,10912
201611,O_ACCEPTED,10629
201677,O_SENT_BACK,10899
201725,O_ACCEPTED,10972
201743,O_SENT_BACK,10899
201770,O_SENT_BACK,10629
201833,O_SENT_BACK,10972
201842,O_SENT_BACK,10629
201848,O_DECLINED,10138
201854,O_SENT_BACK,11049
201885,O_DECLINED,10972
201891,O_SENT_BACK,10899
201909,O_CANCELLED,10899
201915,A_CANCELLED,10972
201927,A_CANCELLED,10899
201936,O_CANCELLED,10972
202026,O_CANCELLED,10899
202056,O_SENT_BACK,10899
202068,O_DECLINED,10972
202071,A_CANCELLED,10972
202182,O_SENT_BACK,10629
202256,,
202259,O_SENT_BACK,10899
202271,,
202343,O_SENT_BACK,10972
202361,O_SENT_BACK,10629
202379,O_SENT_BACK,10629
202397,O_SENT_BACK,10629
202457,O_SENT_BACK,10629
202479,O_SENT_BACK,10899
202536,A_APPROVED,10138
202539,,
202542,O_SENT_BACK,10899
202569,O_SENT_BACK,10899
202596,A_CANCELLED,10972
202632,,
202641,A_CANCELLED,10138
202737,O_SENT_BACK,10629
202740,O_SENT_BACK,10629
202755,O_SENT_BACK,10138
202809,O_CANCELLED,10629
202830,O_SENT_BACK,10972
202881,O_SENT_BACK,10899
202893,O_SENT_BACK,10629
202899,O_SENT_BACK,10899
202935,O_DECLINED,10972
202983,A_CANCELLED,10138
203013,O_CANCELLED,10899
203016,O_SENT_BACK,10899
203076,O_SENT_BACK,10138
203079,A_CANCELLED,10779
203146,A_CANCELLED,10972
203149,A_DECLINED,10972
203158,,
203173,O_DECLINED,10138
203227,O_DECLINED,11049
203230,O_SENT_BACK,10629
203248,O_SENT_BACK,10899
203260,O_SENT_BACK,10899
203287,O_CANCELLED,10899
203296,,
203341,O_CANCELLED,112
203380,,
203419,A_CANCELLED,10899
203480,O_CANCELLED,10972
203492,O_SENT_BACK,10899
203549,O_SENT_BACK,10629
203606,O_SENT_BACK,10138
203711,O_SENT_BACK,10899
203732,O_SENT_BACK,10972
203738,O_CANCELLED,10972
203762,O_SENT_BACK,10899
203765,O_DECLINED,10972
203777,O_SENT_BACK,10899
203780,O_SENT_BACK,10899
203802,,
203829,A_CANCELLED,10138
203835,O_SENT_BACK,10899
203841,O_SENT_BACK,10629
203865,,
203883,O_SENT_BACK,10972
203901,O_SENT_BACK,10629
203961,A_CANCELLED,10972
203964,,
203994,A_CANCELLED,10899
204000,O_SENT_BACK,10899
204030,O_ACCEPTED,10629
204045,O_SENT_BACK,10629
204054,O_DECLINED,10972
204096,O_SENT_BACK,10972
204099,O_CANCELLED,10789
204119,O_CANCELLED,10629
204185,O_SENT_BACK,10629
204200,O_SENT_BACK,10138
204218,A_CANCELLED,10899
204314,,
204326,O_CANCELLED,10972
204332,O_SENT_BACK,10629
204347,O_SENT_BACK,10972
204418,O_SENT_BACK,10138
204442,O_CANCELLED,11001
204466,A_CANCELLED,10972
204472,O_SENT_BACK,11049
204475,,
204514,O_CANCELLED,10629
204565,O_CANCELLED,10138
204574,O_CANCELLED,10972
204592,O_DECLINED,10972
204613,O_CANCELLED,10138
204682,O_CANCELLED,10138
204691,O_SENT_BACK,11049
204712,O_SENT_BACK,10629
204721,O_SENT_BACK,10899
204724,A_CANCELLED,10972
204730,A_ACTIVATED,10972
204742,O_CANCELLED,10972
204799,O_SENT_BACK,10138
204808,A_CANCELLED,10138
