case_study,method,rank,k_total,case:concept:name,rec_activity,rec_resource,sim_status_method_mean,sim_remaining_time_method_mean_sigmoid_mm,sim_remaining_time_method_mean,sim_rec_applied_fraction,sim_status_baseline_mean,sim_remaining_time_baseline_mean_sigmoid_mm,sim_remaining_time_baseline_mean,pred_status_with_rec,pred_remaining_time_with_rec_sigmoid_mm,pred_remaining_time_with_rec,pred_status_no_rec,pred_remaining_time_no_rec_sigmoid_mm,pred_remaining_time_no_rec
bpi17_after,exhaustive,2,5,Application_1003444518,W_Call incomplete files,User_58,,,,0.0,0.0,0.0,0.0,0.565378852825246,0.1487185038715495,568185.8543927185,0.19298543184429232,0.23505146009284655,858399.0577350596
bpi17_after,exhaustive,2,5,Application_1004385970,A_Cancelled,User_41,0.0,0.9943244171572619,6505988.0,1.0,0.8,0.5470562063876364,2161352.0,0.07468805562071122,0.314963639307206,1116293.7933944035,0.4946327870609519,0.4036080975684293,1400197.6297143917
bpi17_after,exhaustive,2,5,Application_1006138809,A_Incomplete,User_100,1.0,0.21711504406391563,786010.2,1.0,0.9,0.26363655032933636,940698.0,0.6614492780734723,0.18587540010819592,695256.1011041338,0.6350049269836232,0.2017929036265455,748600.6355048477
bpi17_after,exhaustive,2,5,Application_1008663678,W_Assess potential fraud,User_138,0.0,0.0,0.0,1.0,0.9,0.19544554788307655,753147.9,0.497651395668722,0.07821881687452495,313734.1951600424,0.5415117711000168,0.13492791254806863,519951.6451802602
bpi17_after,exhaustive,2,5,Application_1012600292,A_Cancelled,User_27,0.0,0.9902284168342088,6095895.0,1.0,0.5,0.4794894165167065,1744677.0,0.08570403633360914,0.31338145812478474,1111233.0532400762,0.5439293800679703,0.4134300705889917,1431934.8799639829
bpi17_after,exhaustive,2,5,Application_101285063,A_Cancelled,User_48,0.0,0.9792040605674431,5435674.0,1.0,0.8,0.4220634145744356,1575928.0,0.08247624299995497,0.3354195597454939,1181670.2962613984,0.04601424071878732,0.7254588263133432,2605841.36292215
bpi17_after,exhaustive,2,5,Application_1013192848,A_Incomplete,User_132,1.0,0.1600726680459758,574183.0,1.0,0.6,0.09998600459311573,373351.0,0.43290910927772863,0.2399383250505353,874372.5889254885,0.3989031321672616,0.2399383250505353,874372.5889254885
bpi17_after,exhaustive,2,5,Application_1016792765,A_Cancelled,User_24,0.0,1.0031439957410844,10891470.0,1.0,0.8,0.4577275382822025,1890678.0,0.12323876210513023,0.3060504452567931,1087771.7969756452,0.07491960023908356,0.7334231063897847,2644771.5784951244
bpi17_after,exhaustive,2,5,Application_1018266027,A_Cancelled,User_104,0.0,0.9972000332673744,6915302.0,1.0,0.3,0.5533689698280886,2336102.0,0.14170199238835213,0.29616100931537875,1056082.7935286271,0.537952247013814,0.3246407579649173,1147231.1147527827
bpi17_after,exhaustive,2,5,Application_1018276550,A_Cancelled,User_41,0.0,0.9949412968645628,6575442.0,1.0,0.8,0.4285151870365169,1610736.0,0.14014165305021564,0.28717801245730684,1027247.5300579226,0.07584080921569168,0.7145615166301663,2553881.946203638
bpi17_after,exhaustive,2,5,Application_101973919,O_Create Offer,User_65,0.7,0.29371688348197306,1059398.4,1.0,0.7,0.32769807159513337,1168554.0,0.4297320406303948,0.5407917750020066,1859095.910814898,0.3602553165496055,0.5407917750020066,1859095.910814898
bpi17_after,exhaustive,2,5,Application_1020696982,A_Cancelled,User_41,0.0,0.9947318791275748,6551331.0,1.0,0.7,0.4822694664897111,1868733.0,0.08206621709019253,0.3027114122157121,1077078.1557857136,0.5332403334582508,0.3913558704769354,1360737.1107547178
bpi17_after,exhaustive,2,5,Application_1020792873,A_Cancelled,User_27,0.0,0.9922273131135657,6276389.0,1.0,0.5,0.4508421417035581,1866971.0,0.08098657081605666,0.34732584329349464,1219708.1988841048,0.4943875399641496,0.42970381166744265,1484764.7169429231
bpi17_after,exhaustive,2,5,Application_1020819842,W_Assess potential fraud,User_138,0.0,0.0,0.0,1.0,0.7,0.12864611631094575,467967.3,0.6028165149227166,0.23429516114763752,855923.7032080758,0.8309891623284377,0.1353984245973608,521608.0879508512
bpi17_after,exhaustive,2,5,Application_1022084723,A_Cancelled,User_41,0.0,0.9948827630204253,6567905.0,1.0,0.8,0.3614272809836222,1619081.0,0.09907187756705912,0.3254451024049024,1149801.5945460913,0.5827791967383982,0.423615696848213,1464961.6524022776
bpi17_after,exhaustive,2,5,Application_1023037940,A_Cancelled,User_48,0.0,0.9792008217200436,5438565.0,1.0,0.6,0.42107800296281966,1748067.0,0.07198173366882281,0.29255620672944666,1044517.8923666197,0.4066279898643101,0.3816452206161683,1329547.2063413165
bpi17_after,exhaustive,2,5,Application_102597720,O_Returned,User_100,0.8,0.13352688869338256,494832.4,1.0,0.6,0.22526124677904855,901904.0,0.6119646112252813,0.13709081913490684,527559.7183243884,0.5749091061126588,0.20891052274854677,772274.5480643937
bpi17_after,exhaustive,2,5,Application_1026777184,A_Cancelled,User_41,0.0,0.9950917387530047,6594432.0,1.0,0.5,0.6304744170354835,3406536.0,0.06971264783735812,0.31539672341230285,1117678.9037387928,0.03370966148188826,0.7120648382254187,2542178.7795030475
bpi17_after,exhaustive,2,5,Application_1027449105,A_Cancelled,User_38,0.0,1.0026630226152915,9337937.0,1.0,0.5,0.4615659996525737,1904867.0,0.06390366570755134,0.2823996236498988,1011885.4439269463,0.49211988431887504,0.36692818010437706,1282387.7019851902
bpi17_after,exhaustive,2,5,Application_1027859705,A_Cancelled,User_27,0.0,0.9899511495616142,6076466.0,1.0,0.5,0.4458345050506615,1887638.0,0.1267550458681099,0.25633752744280935,927729.964209998,0.06788036446817869,0.6773231780153077,2386237.556276099
bpi17_after,exhaustive,2,5,Application_1028665365,A_Concept,User_41,0.6,0.33309699533902476,1208858.0,1.0,0.7,0.46486550350646283,1770128.0,0.4074687222090227,0.5959191514945998,2059445.3523451048,0.3706316601802101,0.594514552887161,2054168.22207015
bpi17_after,exhaustive,2,5,Application_1029674102,A_Cancelled,User_27,0.0,0.9903998975330486,6109605.0,1.0,0.5,0.40536524715712724,1742169.0,0.10018069324320725,0.2985768581632855,1063828.870406188,0.06354248400938992,0.7278383803570414,2617385.34755202
bpi17_after,exhaustive,2,5,Application_102977791,A_Cancelled,User_41,0.0,0.9949293489607314,6574020.0,1.0,0.7,0.6314425674904477,2866596.0,0.06705552116333505,0.3129072841123199,1109716.1989018884,0.4648812882122982,0.40155174237354324,1393565.3602805375
bpi17_after,exhaustive,2,5,Application_1031465496,A_Cancelled,User_41,0.0,0.9945169902533003,6522568.0,1.0,0.7,0.32735897450119433,1156624.0,0.08317540485598351,0.3446639473236844,1211203.1894959898,0.5398788743094032,0.4334002565885078,1496813.0092187482
bpi17_after,exhaustive,2,5,Application_1032862024,A_Validating,User_58,1.0,0.2163149570941917,794651.1,1.0,1.0,0.22345065829140145,794405.0,0.5480807314541072,0.20835683230124935,770436.6446582867,0.16893696256145477,0.3108063377614177,1102994.4064557594
bpi17_after,exhaustive,2,5,Application_1033036371,A_Validating,User_86,,,,0.0,0.0,0.0,0.0,0.5858531923810466,0.37230922373962183,1299617.6998582205,0.5477388359544285,0.37230922373962183,1299617.6998582205
