case_study,method,rank,k_total,case:concept:name,rec_activity,rec_resource,sim_status_method_mean,sim_remaining_time_method_mean,sim_status_baseline_mean,sim_remaining_time_baseline_mean,pred_status_with_rec,pred_remaining_time_with_rec,pred_status_no_rec,pred_remaining_time_no_rec
bpi17_after,exhaustive,4,5,Application_1003444518,A_Cancelled,User_104,0.0,0.0,0.0,0.0,0.06621676076826277,409184.2405964383,0.06621676076826277,522517.57028406474
bpi17_after,exhaustive,4,5,Application_1004385970,A_Validating,User_75,0.8,427536.0,0.5,179069.6,0.7110107422448217,572771.4563095659,0.7110107422448217,1059952.3968891092
bpi17_after,exhaustive,4,5,Application_1006138809,A_Incomplete,User_41,0.9,980034.0,0.6,630652.8,0.8671586460107422,558762.0755791955,0.8509766472041913,550925.9297954635
bpi17_after,exhaustive,4,5,Application_1008663678,A_Incomplete,User_41,1.0,853390.5,0.8,586366.5,0.8418053305758031,384502.63707999606,0.8174016538161616,362527.4133256853
bpi17_after,exhaustive,4,5,Application_1012600292,A_Validating,User_75,0.9,696835.2,0.8,561966.6,0.7659572462702603,961267.5774360044,0.7659572462702603,1292563.1600545377
bpi17_after,exhaustive,4,5,Application_101285063,O_Cancelled,User_75,0.0,0.0,0.6,620897.0,0.3843546615476635,940834.3268926893,0.011978833619142426,2750149.9340478377
bpi17_after,exhaustive,4,5,Application_1013192848,A_Cancelled,User_78,0.7,420622.2,0.8,342425.6,0.031103234572417843,137429.02421752946,0.6100269711358198,517787.12801544287
bpi17_after,exhaustive,4,5,Application_1016792765,O_Cancelled,User_75,0.0,0.0,0.7,364119.6,0.6178579648207676,734489.2100560388,0.027612504496316685,2617298.203371834
bpi17_after,exhaustive,4,5,Application_1018266027,A_Validating,User_59,0.9,613366.0,0.9,470415.0,0.8501370181530332,994998.6560266472,0.833980343047069,1053353.5768757793
bpi17_after,exhaustive,4,5,Application_1018276550,O_Cancelled,User_75,0.0,0.0,0.3,466461.0,0.6419235960606402,664405.5331332737,0.030524398674091954,2539821.4810821773
bpi17_after,exhaustive,4,5,Application_101973919,O_Create Offer,User_65,0.6,1335816.0,0.4,6616866.0,0.6329381742259564,1622334.1302022974,0.5559633336646425,1674193.3385791546
bpi17_after,exhaustive,4,5,Application_1020696982,O_Cancelled,User_75,0.0,0.0,0.5,768893.7,0.5628100003306216,666820.5804324596,0.7266400782498982,1154127.8872565152
bpi17_after,exhaustive,4,5,Application_1020792873,O_Cancelled,User_75,0.0,0.0,0.6,522289.7,0.5382489903437833,743386.1184524917,0.7058902754371614,1386418.6391555183
bpi17_after,exhaustive,4,5,Application_1020819842,A_Incomplete,User_14,0.6,955923.0,1.0,608830.5,0.7915168153717733,551277.7103820542,0.9552849261470691,376987.6304544383
bpi17_after,exhaustive,4,5,Application_1022084723,A_Validating,User_75,1.0,387623.3,0.4,531611.3,0.7535607717242834,746108.0617991956,0.7535607717242834,1245767.996130659
bpi17_after,exhaustive,4,5,Application_1023037940,A_Validating,User_75,0.8,547614.0,0.6,364362.6,0.5594270737768009,643156.2015887869,0.5594270737768009,1135946.1787563306
bpi17_after,exhaustive,4,5,Application_102597720,A_Incomplete,User_31,1.0,655460.0,0.6,531627.2,0.8321394935093681,443990.6389996314,0.769858099992399,531998.4630593862
bpi17_after,exhaustive,4,5,Application_1026777184,A_Validating,User_75,0.9,283824.0,0.6,347478.0,0.7089594237045903,747617.0757201439,0.014737754115451817,2615472.4015574
bpi17_after,exhaustive,4,5,Application_1027449105,A_Validating,User_75,0.9,464550.5,0.5,968580.5,0.743721795618851,686379.5795141966,0.743721795618851,1029884.8694485967
bpi17_after,exhaustive,4,5,Application_1027859705,O_Cancelled,User_66,0.0,0.0,0.6,1567442.0,0.6105270757391034,809013.6124184616,0.021009257311060483,2381946.537779308
bpi17_after,exhaustive,4,5,Application_1028665365,A_Concept,User_104,0.5,2368988.8,0.5,2156978.8,0.5291841060425072,1372131.2026699774,0.4554356328493902,1696028.8827357406
bpi17_after,exhaustive,4,5,Application_102977791,O_Cancelled,User_75,0.0,0.0,0.3,336718.8,0.5272432494604368,606496.9397099285,0.6998588676821156,1138323.4416127857
bpi17_after,exhaustive,4,5,Application_1031465496,O_Cancelled,User_47,0.0,0.0,0.5,249786.0,0.5836998561730592,1196498.522837134,0.7462418209840253,1366764.0733422667
bpi17_after,exhaustive,4,5,Application_1032862024,A_Cancelled,User_66,0.9,599975.8,0.8,796877.5,0.09552872274935846,0.0,0.09552872274935846,29349.262660600943
bpi17_after,exhaustive,4,5,Application_1033036371,O_Cancelled,User_51,0.0,0.0,0.0,0.0,0.6270343169611036,675420.1879454721,0.7352228810024963,927400.3375492784
bpi17_after,exhaustive,4,5,Application_1033306842,A_Cancelled,User_104,0.0,0.0,0.4,245557.1,0.035150750463013976,823351.6708960112,0.03329031243886005,2672541.5373046547
bpi17_after,exhaustive,4,5,Application_1033574302,A_Cancelled,User_104,0.0,0.0,0.4,565910.7,0.022709789972899044,863958.2895551258,0.016800660073603185,2616980.793772555
bpi17_after,exhaustive,4,5,Application_1034775753,O_Cancelled,User_75,0.0,0.0,0.6,660414.0,0.35398905844547485,703368.4703767274,0.5055240079972433,1277511.6882339958
bpi17_after,exhaustive,4,5,Application_1035618893,O_Cancelled,User_75,0.0,0.0,0.4,733107.6,0.5627509676138486,1031670.8567448221,0.7233326453743806,1520088.420701629
bpi17_after,exhaustive,4,5,Application_1037771791,O_Cancelled,User_75,0.0,0.0,0.7,592633.2,0.5620841893416326,1065457.6005267536,0.5728182289044215,1745967.7920466673
bpi17_after,exhaustive,4,5,Application_1038302868,A_Validating,User_75,0.9,490127.3,0.2,121158.0,0.7343806620299638,863304.5158681755,0.016645454157075953,2553018.481194301
bpi17_after,exhaustive,4,5,Application_1038660996,O_Cancelled,User_75,0.0,0.0,0.7,661690.0,0.4815947421054462,1111226.00694351,0.6536369785334648,1611548.3558186719
bpi17_after,exhaustive,4,5,Application_1039200421,O_Cancelled,User_66,0.0,0.0,0.6,2209016.0,0.5101452199759203,709563.0510693055,0.6343267208707927,1164095.6130434787
bpi17_after,exhaustive,4,5,Application_104061665,O_Cancelled,User_75,0.0,0.0,0.5,255048.0,0.6002121992877457,810783.1398933915,0.753072802433572,1366422.3852523542
bpi17_after,exhaustive,4,5,Application_1041438098,A_Accepted,User_4,0.6,2098320.0,0.4,1600641.6,0.5652230100403239,1374260.1303140353,0.5863442198393443,1414417.4568764793
bpi17_after,exhaustive,4,5,Application_104406636,O_Cancelled,User_75,0.0,0.0,0.7,274933.2,0.4468040904039867,602792.5642495678,0.010263162517345954,2587340.2832587515
bpi17_after,exhaustive,4,5,Application_1046222107,O_Cancelled,User_75,0.0,0.0,1.0,741906.8,0.5499976201895701,639248.8770524005,0.6202808652241742,1368865.6931025567
bpi17_after,exhaustive,4,5,Application_1046524820,O_Cancelled,User_75,0.0,0.0,0.5,613966.9,0.6256100566377742,629416.9917578863,0.7733113658640409,1113818.2625010877
bpi17_after,exhaustive,4,5,Application_1048834285,A_Validating,User_59,1.0,794370.0,0.6,415719.8,0.781694293252346,958781.3928165556,0.6096317956120171,1111263.8692761639
bpi17_after,exhaustive,4,5,Application_104922918,O_Cancelled,User_75,0.0,0.0,0.5,281484.0,0.5840775543945687,684308.083772392,0.017555151233045994,2352077.466065473
bpi17_after,exhaustive,4,5,Application_1050938301,W_Call incomplete files,User_47,0.0,0.0,0.0,0.0,0.8562602484044576,79679.14295404614,0.875206842045413,156912.7288389866
bpi17_after,exhaustive,4,5,Application_105434976,O_Cancelled,User_75,0.0,0.0,0.9,789752.4,0.5281312895109719,640072.6081896711,0.01416601813406425,2633926.497783186
bpi17_after,exhaustive,4,5,Application_1054777483,O_Returned,User_93,0.8,509966.4,0.8,284229.0,0.7358039116592482,446267.0261839734,0.7165395556288976,445351.35557939904
bpi17_after,exhaustive,4,5,Application_1056831748,W_Call incomplete files,User_41,0.0,0.0,0.0,0.0,0.7891871160466621,614116.2576786025,0.7777435006715626,712003.7730303671
bpi17_after,exhaustive,4,5,Application_1057881509,O_Cancelled,User_75,0.0,0.0,0.5,351104.2,0.6439921059860304,678006.3044063705,0.03079217900158964,2562072.4709414216
bpi17_after,exhaustive,4,5,Application_105906022,A_Incomplete,User_41,0.8,683289.0,0.7,830780.1,0.8608155507857108,603250.0604105861,0.8439998749532225,614455.5073333712
bpi17_after,exhaustive,4,5,Application_1065401414,A_Cancelled,User_104,0.0,0.0,0.5,255009.4,0.02356727976777824,844539.8361450157,0.022305751307702515,2670354.3694814495
bpi17_after,exhaustive,4,5,Application_1069486579,O_Cancelled,User_75,0.0,0.0,0.4,755741.8,0.5511653984557934,1075909.9716488186,0.015550594542078886,3101665.0348683316
bpi17_after,exhaustive,4,5,Application_107048111,O_Cancelled,User_75,0.0,0.0,0.5,237068.4,0.5102470983971242,1000582.9050390244,0.0198686887785729,2527507.788874073
bpi17_after,exhaustive,4,5,Application_1070499420,O_Cancelled,User_75,0.0,0.0,0.6,339624.0,0.6536935577080273,571384.8351823617,0.6602480376450235,1340801.8328138555
bpi17_after,exhaustive,4,5,Application_1071392906,O_Cancelled,User_75,0.0,0.0,0.7,554589.9,0.5998082947204677,944432.3414894567,0.025378344747478063,2796445.9110565195
bpi17_after,exhaustive,4,5,Application_1072302976,O_Cancelled,User_75,0.0,0.0,0.7,1050886.8,0.6035286325720374,671364.4499136442,0.026039345250963387,2664067.696330142
bpi17_after,exhaustive,4,5,Application_1072740747,O_Cancelled,User_38,0.0,0.0,0.7,338623.2,0.7441506758498286,0.0,0.07705077060955175,198062.20733844477
bpi17_after,exhaustive,4,5,Application_1073143855,O_Cancelled,User_66,0.0,0.0,0.9,559880.4,0.6911891216026376,0.0,0.06447124042000218,195453.4597113442
bpi17_after,exhaustive,4,5,Application_1076592180,W_Call incomplete files,User_41,1.0,873803.3,0.9,471545.7,0.9157956132064908,206707.4564649294,0.913466881610298,308474.5116737408
bpi17_after,exhaustive,4,5,Application_1077139293,O_Cancelled,User_75,0.0,0.0,0.9,824416.8,0.5404462525062718,914767.6167072277,0.014874117855764884,2691903.027036133
bpi17_after,exhaustive,4,5,Application_1079472664,O_Cancelled,User_75,0.0,0.0,0.7,673836.0,0.28630723050695817,694443.1386947017,0.4177690124271813,1234097.8709347171
bpi17_after,exhaustive,4,5,Application_1079589,A_Validating,User_75,0.9,424958.1,0.6,334684.7,0.7278949143505464,774093.8959697366,0.7278949143505464,1276463.4888658936
bpi17_after,exhaustive,4,5,Application_1081153991,A_Cancelled,User_41,0.0,0.0,0.5,1384860.9,0.031431903170907285,1126967.4998196564,0.65737046652575,1530792.0412406996
bpi17_after,exhaustive,4,5,Application_1082188204,A_Cancelled,User_104,0.0,0.0,0.0,0.0,0.08889663222391728,0.0,0.08889663222391728,140534.8947613875
bpi17_after,exhaustive,4,5,Application_1083885618,A_Validating,User_75,1.0,466812.0,0.6,462462.0,0.7113983635166001,1160999.1438888563,0.015137885764476883,2612765.764089048
bpi17_after,exhaustive,4,5,Application_1084197155,O_Cancelled,User_75,0.0,0.0,0.7,413539.4,0.5777326352519874,676992.9675929793,0.017294998598154993,2509468.670460688
bpi17_after,exhaustive,4,5,Application_1084809711,A_Validating,User_75,1.0,695010.0,0.7,660378.0,0.7366442532480971,817086.6233245566,0.7366442532480971,1196987.7013428365
bpi17_after,exhaustive,4,5,Application_1084951999,A_Validating,User_75,0.7,729078.9,0.3,968884.3,0.558151293319197,826013.60699282,0.4148598070036064,1549649.9970085025
bpi17_after,exhaustive,4,5,Application_1085916302,O_Cancelled,User_75,0.0,0.0,0.6,236628.0,0.4876674318965174,671141.7034356208,0.012096075291347657,2636078.7462048074
bpi17_after,exhaustive,4,5,Application_1086189813,O_Cancelled,User_75,0.0,0.0,0.7,602928.9,0.5697370731148336,679372.552310943,0.7325624697999622,1187278.4758604036
bpi17_after,exhaustive,4,5,Application_1086358390,A_Validating,User_75,0.9,612122.4,0.4,259358.8,0.7566210646771624,902865.4785851035,0.7566210646771624,1314000.8965055053
bpi17_after,exhaustive,4,5,Application_1087895834,O_Cancelled,User_75,0.0,0.0,0.7,265835.5,0.5565539266162383,897531.6840029196,0.015887989763950422,2365752.026443149
bpi17_after,exhaustive,4,5,Application_1088555315,A_Cancelled,User_66,0.8,378900.6,1.0,334548.0,0.047027362940665306,176894.46782559063,0.047027362940665306,486859.3456112294
bpi17_after,exhaustive,4,5,Application_1089290640,O_Cancelled,User_75,0.0,0.0,0.7,523320.6,0.6391765534952494,750599.3106413288,0.7791004990522532,1239164.9958252662
bpi17_after,exhaustive,4,5,Application_1090974006,A_Incomplete,User_41,0.9,1448642.0,0.8,828636.6,0.8069490543100835,487313.8517133186,0.7785826327999912,492978.3395340849
bpi17_after,exhaustive,4,5,Application_1091454310,O_Cancelled,User_47,0.0,0.0,0.0,0.0,0.6367471440471774,724348.9910748554,0.767541211772164,961960.9461835447
bpi17_after,exhaustive,4,5,Application_1092109071,A_Cancelled,User_104,0.0,0.0,0.0,0.0,0.10846450051862262,0.0,0.8490873627334596,20447.84364268533
bpi17_after,exhaustive,4,5,Application_1092918410,O_Cancelled,User_75,0.0,0.0,0.6,530196.0,0.6070055061283195,559316.061562056,0.027898054097130927,786972.1198817778
bpi17_after,exhaustive,4,5,Application_1095263419,A_Validating,User_75,0.7,754023.6,0.8,675574.0,0.6652497956460932,736150.6578110161,0.6652497956460932,1235007.8997376754
