case_study,method,rank,k_total,case:concept:name,rec_activity,rec_resource,sim_status_method_mean,sim_remaining_time_method_mean_sigmoid_mm,sim_remaining_time_method_mean,sim_rec_applied_fraction,sim_status_baseline_mean,sim_remaining_time_baseline_mean_sigmoid_mm,sim_remaining_time_baseline_mean,pred_status_with_rec,pred_remaining_time_with_rec_sigmoid_mm,pred_remaining_time_with_rec,pred_status_no_rec,pred_remaining_time_no_rec_sigmoid_mm,pred_remaining_time_no_rec
bpi17_after,exhaustive,1,5,Application_1003444518,W_Call incomplete files,User_100,,,,0.0,0.0,0.0,0.0,0.5642992160185282,0.13549111691625698,521934.31974981434,0.19298543184429232,0.23505146009284655,858399.0577350596
bpi17_after,exhaustive,1,5,Application_1004385970,A_Cancelled,User_1,0.0,0.7344992814548591,2650142.0,1.0,0.8,0.5470562063876364,2161352.0,0.0360796352359276,0.711631754120322,2540156.067935005,0.4946327870609519,0.4036080975684293,1400197.6297143917
bpi17_after,exhaustive,1,5,Application_1006138809,A_Cancelled,User_1,,,,0.0,0.9,0.26363655032933636,940698.0,0.13287151811957287,0.45867858556652635,1579776.6873854566,0.6350049269836232,0.2017929036265455,748600.6355048477
bpi17_after,exhaustive,1,5,Application_1008663678,W_Validate application,User_93,0.9,0.18780203866040007,685905.0,1.0,0.9,0.19544554788307655,753147.9,0.5492522660572795,0.11234079015196138,439459.4253421995,0.5415117711000168,0.13492791254806863,519951.6451802602
bpi17_after,exhaustive,1,5,Application_1012600292,A_Cancelled,User_1,0.0,0.7292274843614595,2624169.0,1.0,0.5,0.4794894165167065,1744677.0,0.042905784243454426,0.7361302376271996,2658198.8322314434,0.5439293800679703,0.4134300705889917,1431934.8799639829
bpi17_after,exhaustive,1,5,Application_101285063,A_Cancelled,User_1,0.0,0.7292313737749133,2624188.0,1.0,0.8,0.4220634145744356,1575928.0,0.04601424071878732,0.7254588263133432,2605841.36292215,0.04601424071878732,0.7254588263133432,2605841.36292215
bpi17_after,exhaustive,1,5,Application_1013192848,A_Incomplete,User_120,0.8,0.2540092099143525,979843.0,1.0,0.6,0.09998600459311573,373351.0,0.3944906203176396,0.22959248219518513,840511.5305511972,0.3989031321672616,0.2399383250505353,874372.5889254885
bpi17_after,exhaustive,1,5,Application_1016792765,A_Cancelled,User_1,0.0,0.7299667602897205,2627784.0,1.0,0.8,0.4577275382822025,1890678.0,0.07491960023908356,0.7334231063897847,2644771.5784951244,0.07491960023908356,0.7334231063897847,2644771.5784951244
bpi17_after,exhaustive,1,5,Application_1018266027,A_Cancelled,User_1,0.0,0.730553275741344,2630696.0,1.0,0.3,0.5533689698280886,2336102.0,0.08935113074150297,0.664510677997844,2331610.852528587,0.537952247013814,0.3246407579649173,1147231.1147527827
bpi17_after,exhaustive,1,5,Application_1018276550,A_Cancelled,User_1,0.0,0.7358059950124946,2656596.0,1.0,0.8,0.4285151870365169,1610736.0,0.07584080921569168,0.7145615166301663,2553881.946203638,0.07584080921569168,0.7145615166301663,2553881.946203638
bpi17_after,exhaustive,1,5,Application_101973919,O_Create Offer,User_104,0.2,0.4556193061208881,1895880.0,1.0,0.7,0.32769807159513337,1168554.0,0.37137193838534727,0.5287219796400919,1816831.1257072594,0.3602553165496055,0.5407917750020066,1859095.910814898
bpi17_after,exhaustive,1,5,Application_1020696982,A_Cancelled,User_1,0.0,0.7303984532377618,2629965.0,1.0,0.7,0.4822694664897111,1868733.0,0.04137999280892404,0.699379527028828,2483801.060538722,0.5332403334582508,0.3913558704769354,1360737.1107547178
bpi17_after,exhaustive,1,5,Application_1020792873,A_Cancelled,User_1,0.0,0.7358033815269595,2656583.0,1.0,0.5,0.4508421417035581,1866971.0,0.04188883639353201,0.7372430460290538,2663747.8511361685,0.4943875399641496,0.42970381166744265,1484764.7169429231
bpi17_after,exhaustive,1,5,Application_1020819842,A_Incomplete,User_100,1.0,0.18640840435621947,996057.0,1.0,0.7,0.12864611631094575,467967.3,0.693160407099854,0.2535331659760622,918630.5226101979,0.8309891623284377,0.1353984245973608,521608.0879508512
bpi17_after,exhaustive,1,5,Application_1022084723,A_Cancelled,User_1,0.0,0.7333250516976508,2644379.0,1.0,0.8,0.3614272809836222,1619081.0,0.04906783316983551,0.7463158638864209,2709654.6334340954,0.5827791967383982,0.423615696848213,1464961.6524022776
bpi17_after,exhaustive,1,5,Application_1023037940,A_Cancelled,User_1,0.0,0.7350821345870219,2652999.0,1.0,0.6,0.42107800296281966,1748067.0,0.039534553467504584,0.7043453876543762,2506443.527959884,0.4066279898643101,0.3816452206161683,1329547.2063413165
bpi17_after,exhaustive,1,5,Application_102597720,A_Incomplete,User_116,1.0,0.2205150443070381,800174.0,1.0,0.6,0.22526124677904855,901904.0,0.6763441617717403,0.19182747068371367,715271.4421449351,0.5749091061126588,0.20891052274854677,772274.5480643937
bpi17_after,exhaustive,1,5,Application_1026777184,A_Cancelled,User_1,0.0,0.7358120260600098,2656626.0,1.0,0.5,0.6304744170354835,3406536.0,0.03370966148188826,0.7120648382254187,2542178.7795030475,0.03370966148188826,0.7120648382254187,2542178.7795030475
bpi17_after,exhaustive,1,5,Application_1027449105,A_Cancelled,User_1,0.0,0.7309742061633315,2632811.0,1.0,0.5,0.4615659996525737,1904867.0,0.03816113542649372,0.689628347142585,2440084.4208578556,0.49211988431887504,0.36692818010437706,1282387.7019851902
bpi17_after,exhaustive,1,5,Application_1027859705,A_Cancelled,User_1,0.0,0.7292297361321269,2624180.0,1.0,0.5,0.4458345050506615,1887638.0,0.06788036446817869,0.6773231780153077,2386237.556276099,0.06788036446817869,0.6773231780153077,2386237.556276099
bpi17_after,exhaustive,1,5,Application_1028665365,A_Concept,User_1,0.7,0.31928993887447216,1274270.0,1.0,0.7,0.46486550350646283,1770128.0,0.3847886426309945,0.5441764830843995,1871039.446712993,0.3706316601802101,0.594514552887161,2054168.22207015
bpi17_after,exhaustive,1,5,Application_1029674102,A_Cancelled,User_1,0.0,0.729233625521909,2624199.0,1.0,0.5,0.40536524715712724,1742169.0,0.06354248400938992,0.7278383803570414,2617385.34755202,0.06354248400938992,0.7278383803570414,2617385.34755202
bpi17_after,exhaustive,1,5,Application_102977791,A_Cancelled,User_1,0.0,0.7350851562265088,2653014.0,1.0,0.7,0.6314425674904477,2866596.0,0.03325244777037856,0.7095753989254359,2530581.249884017,0.4648812882122982,0.40155174237354324,1393565.3602805375
bpi17_after,exhaustive,1,5,Application_1031465496,A_Cancelled,User_1,0.0,0.735803180488819,2656582.0,1.0,0.7,0.32735897450119433,1156624.0,0.04123540786189964,0.7437847944481226,2696726.1860001786,0.5398788743094032,0.4334002565885078,1496813.0092187482
bpi17_after,exhaustive,1,5,Application_1032862024,A_Validating,User_100,0.8,0.2830454292185304,1296479.0,1.0,1.0,0.22345065829140145,794405.0,0.5078994352202364,0.19199330263869083,715827.897781439,0.16893696256145477,0.3108063377614177,1102994.4064557594
bpi17_after,exhaustive,1,5,Application_1033036371,A_Validating,User_27,,,,0.0,0.0,0.0,0.0,0.5535703598477445,0.3663778731175844,1280626.3589978036,0.5477388359544285,0.37230922373962183,1299617.6998582205
