case_study,method,rank,k_total,case:concept:name,rec_activity,rec_resource,sim_status_method_mean,sim_remaining_time_method_mean_sigmoid_mm,sim_remaining_time_method_mean,sim_rec_applied_fraction,sim_status_baseline_mean,sim_remaining_time_baseline_mean_sigmoid_mm,sim_remaining_time_baseline_mean,pred_status_with_rec,pred_remaining_time_with_rec_sigmoid_mm,pred_remaining_time_with_rec,pred_status_no_rec,pred_remaining_time_no_rec_sigmoid_mm,pred_remaining_time_no_rec
bpi17_after,nsga2,1,5,Application_1003444518,W_Call incomplete files,User_35,,,,0.0,0.0,0.0,0.0,0.8021861001925332,0.18244505167810854,683681.7459064565,0.0703238454758662,0.2701150201608086,972302.8701461519
bpi17_after,nsga2,1,5,Application_1004385970,A_Denied,User_79,0.0,0.30922617055951074,1097000.0,1.0,0.7,0.4186270367242454,1607876.0,0.042198452066847025,0.12483070412594655,484210.47984944563,0.7394391169585546,0.3874888928935618,1348308.5620539149
bpi17_after,nsga2,1,5,Application_1006138809,O_Create Offer,User_65,,,,0.0,0.6,0.15384299000260157,572166.0,0.8817369072370307,0.23911936468027045,871698.1855139025,0.8658770738391581,0.19984140493926586,742091.1512351839
bpi17_after,nsga2,1,5,Application_1008663678,A_Denied,User_100,0.0,0.10973184950171282,428361.0,1.0,1.0,0.10371821125484626,400521.6,0.0141802492623399,0.03552614338778948,147687.63343427738,0.8050212040905489,0.14707992499258787,562488.0304683656
bpi17_after,nsga2,1,5,Application_1012600292,A_Validating,User_53,0.8,0.3268645406840512,1310541.0,1.0,0.4,0.4656085215504902,1997877.0,0.8721118120440501,0.4294155053859831,1483825.8065287867,0.8234807923599071,0.4290536627366853,1482647.576119647
bpi17_after,nsga2,1,5,Application_101285063,A_Cancelled,User_23,0.0,1.003212511907243,11571058.0,1.0,0.6,0.3792469734208349,1370152.0,0.03680113297163823,0.15000792048599604,572663.4468553402,0.013518468684040288,0.7257494367396625,2607247.2905429224
bpi17_after,nsga2,1,5,Application_1013192848,O_Returned,User_100,0.7,0.16775370407597112,610962.3,1.0,0.6,0.09436065390477584,352608.3,0.4870082315904224,0.1584052514875744,601696.0541152557,0.559213731058196,0.2149768088150839,792371.2098755344
bpi17_after,nsga2,1,5,Application_1016792765,A_Denied,User_100,0.0,0.1181374722421759,456762.0,1.0,0.4,0.3620101849659799,1312128.0,0.07959965553811607,0.19388059598666044,722156.315259939,0.014126704895716019,0.6957583765592019,2467453.833504661
bpi17_after,nsga2,1,5,Application_1018266027,A_Denied,User_79,0.0,0.2658254318845154,952034.0,1.0,0.4,0.49828555349047293,2103392.0,0.15456376229495483,0.033740147116386954,140490.04777099902,0.8290147697400397,0.3440907458141316,1209371.8591352848
bpi17_after,nsga2,1,5,Application_1018276550,A_Validating,User_24,0.9,0.3902276003492354,1457070.0,1.0,0.8,0.33271990046281197,1187682.0,0.849722505274839,0.3715166705249727,1297079.10161691,0.01688586267475914,0.6987020154674537,2480732.1561786295
bpi17_after,nsga2,1,5,Application_101973919,O_Create Offer,User_82,1.0,0.343397153116398,1310904.0,1.0,0.7,0.30983178410162393,15398958.0,0.5742260631998967,0.4823503426427672,1658544.9918530863,0.5461343968166684,0.48403910919501647,1664210.6936650441
bpi17_after,nsga2,1,5,Application_1020696982,A_Denied,User_79,0.0,0.2874853754644072,1024923.0,1.0,0.4,0.45297121614483854,1643289.0,0.033949681504536255,0.11678198946563251,455443.46546529117,0.7291195094306929,0.372240032828565,1299396.0645203115
bpi17_after,nsga2,1,5,Application_1020792873,A_Cancelled,User_26,0.0,0.9993372950107663,7379213.0,1.0,0.6,0.3700147194752243,1441349.0,0.01641526276832663,0.16047862794119133,608831.3294043244,0.778184000498637,0.4324282658088566,1493643.0040406878
bpi17_after,nsga2,1,5,Application_1020819842,A_Cancelled,User_19,,,,0.0,0.9,0.055548942335140364,217300.2,0.18260344516323462,0.1550536528361764,590134.5192347242,0.989746036594947,0.07334540321558908,295313.4945580965
bpi17_after,nsga2,1,5,Application_1022084723,A_Cancelled,User_41,0.0,0.9946694638479153,6540449.0,1.0,0.3,0.6134142427508298,3572945.0,0.042867283374665624,0.22806283697349483,835490.6436025943,0.791801314531976,0.41657887106251895,1442131.634700161
bpi17_after,nsga2,1,5,Application_1023037940,A_Validating,User_75,0.8,0.2822049781358365,1130703.0,1.0,0.6,0.34562849960747827,1252635.0,0.5222939128233028,0.34332498022717944,1206925.3497338563,0.5222939128233028,0.3734427618841014,1303249.0443730531
bpi17_after,nsga2,1,5,Application_102597720,A_Cancelled,User_19,,,,0.0,0.9,0.1450147391232097,544825.2,0.09388966531475075,0.11512577872717017,449492.10901485453,0.8032446197235017,0.2291614706361658,839097.1759441174
bpi17_after,nsga2,1,5,Application_1026777184,A_Denied,User_79,0.0,0.28295924501530756,1009404.0,1.0,0.5,0.41731301146687,1515384.0,0.03458050741948381,0.09913408328383472,391435.16077857243,0.007059694916303214,0.7395234517351544,2675173.7568696626
bpi17_after,nsga2,1,5,Application_1027449105,A_Validating,User_42,0.9,0.27396813428128136,985241.0,1.0,0.7,0.3231920398802036,1170587.0,0.779388209142976,0.38840405899989594,1351248.9122262574,0.7017319802583846,0.38840405899989594,1351248.9122262574
bpi17_after,nsga2,1,5,Application_1027859705,A_Denied,User_100,0.0,0.0663118898014982,264878.0,1.0,0.6,0.4036671692249195,1852526.0,0.044510812003302404,0.14881541251473873,568522.5623361357,0.026275106427241676,0.6303502006449593,2192233.9944758457
bpi17_after,nsga2,1,5,Application_1028665365,A_Concept,User_100,0.5,0.5320007578432238,2615876.0,1.0,0.7,0.46088064517930755,2112176.0,0.48451942010855636,0.4735956770008841,1629276.693193383,0.5097343577766337,0.5379142847933893,1848974.3090026774
bpi17_after,nsga2,1,5,Application_1029674102,O_Cancelled,User_1,0.0,0.0,0.0,1.0,0.5,0.3648050109211146,1329939.0,0.37808016291726687,0.5055950587372159,1737145.8616982647,0.01252115445228595,0.7353052011553728,2654095.953766391
bpi17_after,nsga2,1,5,Application_102977791,A_Validating,User_23,0.8,0.3612311771741784,1330812.0,1.0,0.6,0.48868139850676,2714562.0,0.7052174342123922,0.35880746038494493,1256407.7972713576,0.7052174342123922,0.398566330974531,1383943.673837807
bpi17_after,nsga2,1,5,Application_1031465496,A_Cancelled,User_1,0.0,0.733199105719648,2643772.0,1.0,0.9,0.25193292116327876,922936.0,0.00637128254457646,0.7522386040290852,2740291.0674965885,0.7683023434205412,0.45314909475965126,1561536.5929845325
