case_id,n_valid_pairs,method,pop_size,n_generations,time_s,hv_ratio,igd,n_front_points
Application_1452854959,47,exhaustive,,,0.03488445281982422,1.0,0.0,3
Application_1452854959,47,nsga2,50.0,2.0,0.1922144889831543,1.0,0.0,3
Application_1452854959,47,nsga2,50.0,3.0,0.34909820556640625,1.0,0.0,3
Application_1452854959,47,nsga2,50.0,4.0,0.3591172695159912,1.0,0.0,3
Application_1452854959,47,nsga2,60.0,2.0,0.2156965732574463,1.0,0.0,3
Application_1452854959,47,nsga2,60.0,3.0,0.41299915313720703,1.0,0.0,3
Application_1452854959,47,nsga2,60.0,4.0,0.4383554458618164,1.0,0.0,3
Application_1452854959,47,nsga2,75.0,2.0,0.3484680652618408,1.0,0.0,3
Application_1452854959,47,nsga2,75.0,3.0,0.47865915298461914,1.0,0.0,3
Application_1452854959,47,nsga2,75.0,4.0,0.4718973636627197,1.0,0.0,3
Application_295284443,84,exhaustive,,,0.03864717483520508,1.0,0.0,2
Application_295284443,84,nsga2,50.0,2.0,0.12688279151916504,0.1985129269956644,0.08358383534776179,4
Application_295284443,84,nsga2,50.0,3.0,0.26918911933898926,1.0,0.0,2
Application_295284443,84,nsga2,50.0,4.0,0.4183478355407715,1.0,0.0,2
Application_295284443,84,nsga2,60.0,2.0,0.22831463813781738,1.0,0.0,2
Application_295284443,84,nsga2,60.0,3.0,0.4034554958343506,1.0,0.0,2
Application_295284443,84,nsga2,60.0,4.0,0.4912540912628174,1.0,0.0,2
Application_295284443,84,nsga2,75.0,2.0,0.21685552597045898,1.0,0.0,2
Application_295284443,84,nsga2,75.0,3.0,0.4685177803039551,1.0,0.0,2
Application_295284443,84,nsga2,75.0,4.0,0.7950096130371094,1.0,0.0,2
Application_538311021,190,exhaustive,,,0.02688121795654297,1.0,0.0,7
Application_538311021,190,nsga2,50.0,2.0,0.08987259864807129,0.8833549324550314,0.012127968499322378,8
Application_538311021,190,nsga2,50.0,3.0,0.10321640968322754,0.91852917905256,0.013752939052859486,5
Application_538311021,190,nsga2,50.0,4.0,0.15813326835632324,0.975979711573553,0.0038351436856928407,7
Application_538311021,190,nsga2,60.0,2.0,0.06358170509338379,0.9324864701093718,0.0037516127729175152,7
Application_538311021,190,nsga2,60.0,3.0,0.1269059181213379,0.9456900708531732,0.0005743938011316832,7
Application_538311021,190,nsga2,60.0,4.0,0.1853349208831787,1.0,0.0,7
Application_538311021,190,nsga2,75.0,2.0,0.07975459098815918,0.9638999764108331,0.005704466533615685,8
Application_538311021,190,nsga2,75.0,3.0,0.19063448905944824,0.975979711573553,0.0038351436856928407,7
Application_538311021,190,nsga2,75.0,4.0,0.3106648921966553,0.975979711573553,0.0038351436856928407,7
Application_894382241,266,exhaustive,,,0.047708988189697266,1.0,0.0,7
