case:concept:name,recommendation:act,recommendation:res,reason
Application_1425329540,W_Call incomplete files,User_10,not_reachable_from_replayed_prefix_marking
Application_1088555315,A_Cancelled,User_66,not_reachable_from_replayed_prefix_marking
Application_1647108674,A_Cancelled,User_104,not_reachable_from_replayed_prefix_marking
Application_932158358,A_Cancelled,User_66,not_reachable_from_replayed_prefix_marking
Application_1584063031,W_Call incomplete files,User_47,not_reachable_from_replayed_prefix_marking
Application_866486447,A_Incomplete,User_41,not_reachable_from_replayed_prefix_marking
Application_1479752026,A_Cancelled,User_104,not_reachable_from_replayed_prefix_marking
Application_2128172349,A_Cancelled,User_104,not_reachable_from_replayed_prefix_marking
Application_274240684,A_Cancelled,User_47,not_reachable_from_replayed_prefix_marking
Application_1975819852,A_Cancelled,User_41,not_reachable_from_replayed_prefix_marking
Application_1735566698,A_Cancelled,User_104,not_reachable_from_replayed_prefix_marking
Application_1155624509,W_Call incomplete files,User_41,not_reachable_from_replayed_prefix_marking
Application_330251746,A_Cancelled,User_41,not_reachable_from_replayed_prefix_marking
Application_1620675668,A_Cancelled,User_41,not_reachable_from_replayed_prefix_marking
Application_1654636815,A_Cancelled,User_104,not_reachable_from_replayed_prefix_marking
Application_2069481439,A_Cancelled,User_41,not_reachable_from_replayed_prefix_marking
Application_1003444518,A_Cancelled,User_104,not_reachable_from_replayed_prefix_marking
Application_1092109071,A_Cancelled,User_104,not_reachable_from_replayed_prefix_marking
Application_663134091,A_Cancelled,User_104,not_reachable_from_replayed_prefix_marking
Application_1452533285,W_Call incomplete files,User_47,not_reachable_from_replayed_prefix_marking
Application_269341222,A_Cancelled,User_104,not_reachable_from_replayed_prefix_marking
Application_1032862024,A_Cancelled,User_66,not_reachable_from_replayed_prefix_marking
Application_114551747,O_Returned,User_116,not_reachable_from_replayed_prefix_marking
Application_157155173,W_Call incomplete files,User_41,not_reachable_from_replayed_prefix_marking
Application_1577667494,A_Validating,User_62,not_reachable_from_replayed_prefix_marking
Application_299698075,A_Cancelled,User_66,not_reachable_from_replayed_prefix_marking
Application_574500271,A_Cancelled,User_44,not_reachable_from_replayed_prefix_marking
Application_589041415,A_Cancelled,User_4,not_reachable_from_replayed_prefix_marking
Application_839952915,W_Call incomplete files,User_83,not_reachable_from_replayed_prefix_marking
Application_1050938301,W_Call incomplete files,User_47,not_reachable_from_replayed_prefix_marking
Application_1960245250,W_Complete application,User_104,not_reachable_from_replayed_prefix_marking
Application_206222910,A_Cancelled,User_51,not_reachable_from_replayed_prefix_marking
Application_1518048032,W_Call incomplete files,User_10,not_reachable_from_replayed_prefix_marking
Application_387778376,A_Cancelled,User_75,not_reachable_from_replayed_prefix_marking
Application_2061502784,A_Cancelled,User_104,not_reachable_from_replayed_prefix_marking
Application_1143452352,W_Call incomplete files,User_18,not_reachable_from_replayed_prefix_marking
Application_1903879559,A_Cancelled,User_104,not_reachable_from_replayed_prefix_marking
Application_163804730,A_Cancelled,User_2,not_reachable_from_replayed_prefix_marking
Application_1082188204,A_Cancelled,User_104,not_reachable_from_replayed_prefix_marking
Application_1959536677,W_Call incomplete files,User_41,not_reachable_from_replayed_prefix_marking
Application_1667989141,W_Call incomplete files,User_2,not_reachable_from_replayed_prefix_marking
Application_2099511368,A_Cancelled,User_51,not_reachable_from_replayed_prefix_marking
Application_1496645833,A_Validating,User_75,not_reachable_from_replayed_prefix_marking
Application_1818700890,W_Call incomplete files,User_75,not_reachable_from_replayed_prefix_marking
Application_1914483239,A_Cancelled,User_41,not_reachable_from_replayed_prefix_marking
Application_1579588184,W_Call incomplete files,User_37,not_reachable_from_replayed_prefix_marking
Application_485567867,A_Cancelled,User_104,not_reachable_from_replayed_prefix_marking
Application_858789639,A_Cancelled,User_41,not_reachable_from_replayed_prefix_marking
Application_831992514,A_Cancelled,User_41,not_reachable_from_replayed_prefix_marking
Application_2087713022,A_Cancelled,User_104,not_reachable_from_replayed_prefix_marking
Application_1734771669,A_Cancelled,User_104,not_reachable_from_replayed_prefix_marking
Application_340321174,W_Call incomplete files,User_41,not_reachable_from_replayed_prefix_marking
Application_1119704576,A_Cancelled,User_41,not_reachable_from_replayed_prefix_marking
Application_255496047,W_Call incomplete files,User_47,not_reachable_from_replayed_prefix_marking
Application_1504307845,A_Cancelled,User_47,not_reachable_from_replayed_prefix_marking
Application_480070910,A_Cancelled,User_104,not_reachable_from_replayed_prefix_marking
Application_354974392,A_Cancelled,User_10,not_reachable_from_replayed_prefix_marking
Application_1634751250,A_Validating,User_51,not_reachable_from_replayed_prefix_marking
Application_1616117711,A_Cancelled,User_49,not_reachable_from_replayed_prefix_marking
Application_1221269355,O_Create Offer,User_104,not_reachable_from_replayed_prefix_marking
Application_2021390880,W_Call incomplete files,User_11,not_reachable_from_replayed_prefix_marking
Application_189631764,A_Cancelled,User_41,not_reachable_from_replayed_prefix_marking
Application_76083190,W_Call incomplete files,User_2,not_reachable_from_replayed_prefix_marking
Application_80298426,A_Cancelled,User_104,not_reachable_from_replayed_prefix_marking
Application_1835611863,W_Call incomplete files,User_47,not_reachable_from_replayed_prefix_marking
Application_2090776603,A_Cancelled,User_104,not_reachable_from_replayed_prefix_marking
Application_1976004129,A_Cancelled,User_104,not_reachable_from_replayed_prefix_marking
Application_2034295537,A_Cancelled,User_41,not_reachable_from_replayed_prefix_marking
Application_586839753,O_Create Offer,User_104,not_reachable_from_replayed_prefix_marking
Application_317789291,A_Cancelled,User_104,not_reachable_from_replayed_prefix_marking
Application_570165308,A_Cancelled,User_104,not_reachable_from_replayed_prefix_marking
Application_679465044,A_Cancelled,User_104,not_reachable_from_replayed_prefix_marking
Application_673399253,A_Cancelled,User_104,not_reachable_from_replayed_prefix_marking
Application_1321952381,A_Cancelled,User_104,not_reachable_from_replayed_prefix_marking
Application_1664858516,A_Cancelled,User_78,not_reachable_from_replayed_prefix_marking
Application_1486220145,A_Cancelled,User_104,not_reachable_from_replayed_prefix_marking
Application_919959748,A_Cancelled,User_104,not_reachable_from_replayed_prefix_marking
Application_2069545303,A_Cancelled,User_51,not_reachable_from_replayed_prefix_marking
Application_1194573334,A_Cancelled,User_66,not_reachable_from_replayed_prefix_marking
Application_894204901,A_Cancelled,User_78,not_reachable_from_replayed_prefix_marking
Application_786731748,A_Cancelled,User_66,not_reachable_from_replayed_prefix_marking
Application_2037954458,A_Cancelled,User_104,not_reachable_from_replayed_prefix_marking
Application_182712917,W_Call incomplete files,User_2,not_reachable_from_replayed_prefix_marking
Application_31697623,O_Create Offer,User_104,not_reachable_from_replayed_prefix_marking
Application_1104839673,A_Cancelled,User_66,not_reachable_from_replayed_prefix_marking
Application_1331492368,A_Cancelled,User_104,not_reachable_from_replayed_prefix_marking
Application_1921489029,A_Cancelled,User_103,not_reachable_from_replayed_prefix_marking
Application_1897975199,O_Create Offer,User_11,not_reachable_from_replayed_prefix_marking
Application_1288084480,W_Call incomplete files,User_2,not_reachable_from_replayed_prefix_marking
Application_536051300,A_Incomplete,User_41,not_reachable_from_replayed_prefix_marking
Application_1793173151,O_Create Offer,User_47,not_reachable_from_replayed_prefix_marking
Application_518595534,A_Cancelled,User_41,not_reachable_from_replayed_prefix_marking
Application_399001926,O_Create Offer,User_104,not_reachable_from_replayed_prefix_marking
Application_1901752708,A_Cancelled,User_104,not_reachable_from_replayed_prefix_marking
Application_1607880476,A_Validating,User_51,not_reachable_from_replayed_prefix_marking
Application_1836482704,A_Cancelled,User_2,not_reachable_from_replayed_prefix_marking
Application_644684670,W_Call incomplete files,User_11,not_reachable_from_replayed_prefix_marking
Application_1529928107,O_Create Offer,User_104,not_reachable_from_replayed_prefix_marking
Application_138110394,A_Cancelled,User_66,not_reachable_from_replayed_prefix_marking
Application_216444008,A_Cancelled,User_2,not_reachable_from_replayed_prefix_marking
Application_200417599,O_Create Offer,User_49,not_reachable_from_replayed_prefix_marking
Application_120400056,O_Create Offer,User_78,not_reachable_from_replayed_prefix_marking
Application_346988751,O_Create Offer,User_104,not_reachable_from_replayed_prefix_marking
Application_1056831748,W_Call incomplete files,User_41,not_reachable_from_replayed_prefix_marking
Application_869335382,W_Call incomplete files,User_2,not_reachable_from_replayed_prefix_marking
Application_339327672,A_Cancelled,User_78,not_reachable_from_replayed_prefix_marking
Application_1651085521,A_Cancelled,User_104,not_reachable_from_replayed_prefix_marking
Application_920967125,A_Cancelled,User_104,not_reachable_from_replayed_prefix_marking
Application_1013192848,A_Cancelled,User_78,not_reachable_from_replayed_prefix_marking
Application_817528841,W_Call incomplete files,User_75,not_reachable_from_replayed_prefix_marking
Application_964208437,W_Call incomplete files,User_57,not_reachable_from_replayed_prefix_marking
Application_713675823,A_Cancelled,User_104,not_reachable_from_replayed_prefix_marking
Application_1473464035,A_Cancelled,User_47,not_reachable_from_replayed_prefix_marking
Application_2140770767,A_Cancelled,User_11,not_reachable_from_replayed_prefix_marking
Application_1803710713,A_Cancelled,User_66,not_reachable_from_replayed_prefix_marking
Application_590215732,O_Create Offer,User_104,not_reachable_from_replayed_prefix_marking
Application_2146296643,W_Call incomplete files,User_41,not_reachable_from_replayed_prefix_marking
Application_956764835,O_Create Offer,User_104,not_reachable_from_replayed_prefix_marking
Application_226209957,A_Cancelled,User_51,not_reachable_from_replayed_prefix_marking
Application_1366950042,A_Cancelled,User_104,not_reachable_from_replayed_prefix_marking
Application_1308025514,A_Cancelled,User_41,not_reachable_from_replayed_prefix_marking
Application_752995473,O_Create Offer,User_104,not_reachable_from_replayed_prefix_marking
Application_539120928,O_Create Offer,User_59,not_reachable_from_replayed_prefix_marking
Application_1365116675,A_Cancelled,User_66,not_reachable_from_replayed_prefix_marking
Application_1733106091,A_Cancelled,User_93,not_reachable_from_replayed_prefix_marking
Application_1347988922,O_Create Offer,User_41,not_reachable_from_replayed_prefix_marking
Application_474380883,O_Create Offer,User_104,not_reachable_from_replayed_prefix_marking
Application_2064798594,A_Cancelled,User_27,not_reachable_from_replayed_prefix_marking
Application_496111899,W_Call incomplete files,User_41,not_reachable_from_replayed_prefix_marking
Application_255370233,W_Call incomplete files,User_47,not_reachable_from_replayed_prefix_marking
Application_407461155,O_Create Offer,User_104,not_reachable_from_replayed_prefix_marking
Application_418738843,A_Cancelled,User_104,not_reachable_from_replayed_prefix_marking
Application_1286083897,O_Create Offer,User_104,not_reachable_from_replayed_prefix_marking
Application_1930612093,O_Create Offer,User_14,not_reachable_from_replayed_prefix_marking
Application_244396187,O_Create Offer,User_104,not_reachable_from_replayed_prefix_marking
Application_1361883922,W_Call incomplete files,User_41,not_reachable_from_replayed_prefix_marking
Application_2060708769,O_Create Offer,User_83,not_reachable_from_replayed_prefix_marking
Application_1449370855,O_Create Offer,User_104,not_reachable_from_replayed_prefix_marking
Application_398250446,O_Create Offer,User_104,not_reachable_from_replayed_prefix_marking
Application_780791841,A_Cancelled,User_104,not_reachable_from_replayed_prefix_marking
Application_1672037226,W_Call incomplete files,User_41,not_reachable_from_replayed_prefix_marking
Application_54902350,O_Create Offer,User_104,not_reachable_from_replayed_prefix_marking
Application_1980887074,O_Create Offer,User_41,not_reachable_from_replayed_prefix_marking
Application_1147800670,A_Cancelled,User_11,not_reachable_from_replayed_prefix_marking
