case:concept:name,recommendation:act,recommendation:res,reason
Application_1088555315,O_Create Offer,User_84,not_reachable_from_replayed_prefix_marking
Application_1584063031,O_Create Offer,User_67,not_reachable_from_replayed_prefix_marking
Application_851895556,A_Denied,User_77,not_reachable_from_replayed_prefix_marking
Application_1639947439,W_Call after offers,User_67,not_reachable_from_replayed_prefix_marking
Application_861069239,W_Call after offers,User_67,not_reachable_from_replayed_prefix_marking
Application_1591765651,W_Call after offers,User_67,not_reachable_from_replayed_prefix_marking
Application_2128172349,O_Create Offer,User_77,not_reachable_from_replayed_prefix_marking
Application_1965608734,W_Call after offers,User_67,not_reachable_from_replayed_prefix_marking
Application_19378013,W_Call after offers,User_67,not_reachable_from_replayed_prefix_marking
Application_1563418612,W_Call after offers,User_67,not_reachable_from_replayed_prefix_marking
Application_274240684,O_Create Offer,User_80,not_reachable_from_replayed_prefix_marking
Application_1721495711,W_Call after offers,User_67,not_reachable_from_replayed_prefix_marking
Application_1969335807,W_Call after offers,User_67,not_reachable_from_replayed_prefix_marking
Application_757682522,W_Call after offers,User_67,not_reachable_from_replayed_prefix_marking
Application_1750066014,W_Call after offers,User_67,not_reachable_from_replayed_prefix_marking
Application_1735566698,O_Create Offer,User_84,not_reachable_from_replayed_prefix_marking
Application_626884278,W_Call after offers,User_67,not_reachable_from_replayed_prefix_marking
Application_2147170228,W_Call after offers,User_67,not_reachable_from_replayed_prefix_marking
Application_95311556,W_Call after offers,User_67,not_reachable_from_replayed_prefix_marking
Application_200956558,W_Call after offers,User_67,not_reachable_from_replayed_prefix_marking
Application_330251746,O_Create Offer,User_80,not_reachable_from_replayed_prefix_marking
Application_547720957,W_Call after offers,User_67,not_reachable_from_replayed_prefix_marking
Application_319847090,W_Call after offers,User_67,not_reachable_from_replayed_prefix_marking
Application_432430277,W_Call after offers,User_67,not_reachable_from_replayed_prefix_marking
Application_1252781397,O_Create Offer,User_84,not_reachable_from_replayed_prefix_marking
Application_1758466018,W_Call after offers,User_67,not_reachable_from_replayed_prefix_marking
Application_1898457792,A_Denied,User_67,not_reachable_from_replayed_prefix_marking
Application_1601395766,W_Call after offers,User_67,not_reachable_from_replayed_prefix_marking
Application_554480592,W_Call after offers,User_67,not_reachable_from_replayed_prefix_marking
Application_2048278308,W_Call after offers,User_67,not_reachable_from_replayed_prefix_marking
Application_1033306842,O_Create Offer,User_67,not_reachable_from_replayed_prefix_marking
Application_1576631308,W_Call after offers,User_67,not_reachable_from_replayed_prefix_marking
Application_1083885618,W_Call after offers,User_67,not_reachable_from_replayed_prefix_marking
Application_1620675668,O_Create Offer,User_84,not_reachable_from_replayed_prefix_marking
Application_1273243804,W_Call after offers,User_67,not_reachable_from_replayed_prefix_marking
Application_1654636815,O_Create Offer,User_80,not_reachable_from_replayed_prefix_marking
Application_1663925804,W_Call after offers,User_67,not_reachable_from_replayed_prefix_marking
Application_2069481439,O_Create Offer,User_80,not_reachable_from_replayed_prefix_marking
Application_237775087,W_Call after offers,User_67,not_reachable_from_replayed_prefix_marking
Application_1623875695,W_Call after offers,User_67,not_reachable_from_replayed_prefix_marking
Application_450127919,W_Call after offers,User_67,not_reachable_from_replayed_prefix_marking
Application_1954655928,W_Call after offers,User_67,not_reachable_from_replayed_prefix_marking
Application_22019692,W_Call after offers,User_67,not_reachable_from_replayed_prefix_marking
Application_1720955378,W_Call after offers,User_67,not_reachable_from_replayed_prefix_marking
Application_269341222,O_Create Offer,User_84,not_reachable_from_replayed_prefix_marking
Application_1032862024,O_Create Offer,User_67,not_reachable_from_replayed_prefix_marking
Application_1143749034,O_Create Offer,User_67,not_reachable_from_replayed_prefix_marking
Application_1171197563,W_Call after offers,User_67,not_reachable_from_replayed_prefix_marking
Application_1523673583,A_Denied,User_77,not_reachable_from_replayed_prefix_marking
Application_1656791018,W_Call after offers,User_67,not_reachable_from_replayed_prefix_marking
Application_697297022,W_Call after offers,User_67,not_reachable_from_replayed_prefix_marking
Application_2039657007,O_Create Offer,User_96,not_reachable_from_replayed_prefix_marking
Application_1131974200,W_Call after offers,User_67,not_reachable_from_replayed_prefix_marking
Application_1038302868,W_Call after offers,User_67,not_reachable_from_replayed_prefix_marking
Application_722212350,W_Call after offers,User_67,not_reachable_from_replayed_prefix_marking
Application_797995929,W_Call after offers,User_67,not_reachable_from_replayed_prefix_marking
Application_1972046847,W_Call after offers,User_67,not_reachable_from_replayed_prefix_marking
Application_1242477998,W_Call after offers,User_67,not_reachable_from_replayed_prefix_marking
Application_1109500523,W_Call after offers,User_67,not_reachable_from_replayed_prefix_marking
Application_1239627323,O_Create Offer,User_84,not_reachable_from_replayed_prefix_marking
Application_1069486579,W_Call after offers,User_67,not_reachable_from_replayed_prefix_marking
Application_299698075,O_Create Offer,User_77,not_reachable_from_replayed_prefix_marking
Application_1680533625,W_Call after offers,User_67,not_reachable_from_replayed_prefix_marking
Application_1508659021,W_Call after offers,User_67,not_reachable_from_replayed_prefix_marking
Application_1865080562,W_Call after offers,User_67,not_reachable_from_replayed_prefix_marking
Application_1283341810,A_Denied,User_67,not_reachable_from_replayed_prefix_marking
Application_260635392,O_Create Offer,User_67,not_reachable_from_replayed_prefix_marking
Application_589041415,O_Create Offer,User_84,not_reachable_from_replayed_prefix_marking
Application_475062324,W_Call after offers,User_67,not_reachable_from_replayed_prefix_marking
Application_2055185181,W_Call after offers,User_67,not_reachable_from_replayed_prefix_marking
Application_839952915,O_Create Offer,User_77,not_reachable_from_replayed_prefix_marking
Application_206222910,O_Create Offer,User_84,not_reachable_from_replayed_prefix_marking
Application_1518048032,O_Create Offer,User_84,not_reachable_from_replayed_prefix_marking
Application_591454326,O_Sent (mail and online),User_80,not_reachable_from_replayed_prefix_marking
Application_387778376,O_Create Offer,User_77,not_reachable_from_replayed_prefix_marking
Application_2061502784,O_Create Offer,User_66,not_reachable_from_replayed_prefix_marking
Application_392275405,W_Call after offers,User_67,not_reachable_from_replayed_prefix_marking
Application_1143452352,W_Call incomplete files,User_10,not_reachable_from_replayed_prefix_marking
Application_1256882757,W_Call after offers,User_67,not_reachable_from_replayed_prefix_marking
Application_1046222107,W_Call after offers,User_67,not_reachable_from_replayed_prefix_marking
Application_130658775,O_Create Offer,User_80,not_reachable_from_replayed_prefix_marking
Application_543098684,W_Call after offers,User_67,not_reachable_from_replayed_prefix_marking
Application_1654318352,W_Call after offers,User_67,not_reachable_from_replayed_prefix_marking
Application_2018809027,W_Call after offers,User_67,not_reachable_from_replayed_prefix_marking
Application_1802283850,O_Sent (online only),User_84,not_reachable_from_replayed_prefix_marking
Application_1216723425,O_Create Offer,User_77,not_reachable_from_replayed_prefix_marking
Application_1026777184,W_Call after offers,User_67,not_reachable_from_replayed_prefix_marking
Application_577888910,W_Call after offers,User_67,not_reachable_from_replayed_prefix_marking
Application_394037983,W_Call after offers,User_67,not_reachable_from_replayed_prefix_marking
Application_438711887,O_Create Offer,User_61,not_reachable_from_replayed_prefix_marking
Application_2122822719,W_Call after offers,User_67,not_reachable_from_replayed_prefix_marking
Application_1109722425,W_Call after offers,User_67,not_reachable_from_replayed_prefix_marking
Application_1846291324,W_Call after offers,User_67,not_reachable_from_replayed_prefix_marking
