case:concept:name,recommendation:act,recommendation:res,reason
Application_1425329540,W_Call incomplete files,User_100,not_reachable_from_replayed_prefix_marking
Application_547842527,O_Create Offer,User_56,not_reachable_from_replayed_prefix_marking
Application_1584063031,O_Create Offer,User_100,not_reachable_from_replayed_prefix_marking
Application_866486447,A_Denied,User_65,not_reachable_from_replayed_prefix_marking
Application_1479752026,W_Call incomplete files,User_10,not_reachable_from_replayed_prefix_marking
Application_851895556,A_Validating,User_23,not_reachable_from_replayed_prefix_marking
Application_274240684,A_Cancelled,User_57,not_reachable_from_replayed_prefix_marking
Application_1975819852,A_Denied,User_65,not_reachable_from_replayed_prefix_marking
Application_1784815865,A_Denied,User_49,not_reachable_from_replayed_prefix_marking
Application_1735566698,A_Validating,User_26,not_reachable_from_replayed_prefix_marking
Application_330251746,A_Cancelled,User_26,not_reachable_from_replayed_prefix_marking
Application_1898457792,A_Denied,User_100,not_reachable_from_replayed_prefix_marking
Application_918963277,A_Cancelled,User_1,not_reachable_from_replayed_prefix_marking
Application_1620675668,A_Cancelled,User_23,not_reachable_from_replayed_prefix_marking
Application_1654636815,A_Validating,User_41,not_reachable_from_replayed_prefix_marking
Application_460231462,A_Cancelled,User_80,not_reachable_from_replayed_prefix_marking
Application_2069481439,A_Cancelled,User_23,not_reachable_from_replayed_prefix_marking
Application_1003444518,A_Denied,User_100,not_reachable_from_replayed_prefix_marking
Application_663134091,A_Denied,User_100,not_reachable_from_replayed_prefix_marking
Application_269341222,A_Cancelled,User_80,not_reachable_from_replayed_prefix_marking
Application_760306173,O_Create Offer,User_80,not_reachable_from_replayed_prefix_marking
Application_157155173,A_Incomplete,User_100,not_reachable_from_replayed_prefix_marking
Application_1577667494,A_Validating,User_23,not_reachable_from_replayed_prefix_marking
Application_574500271,W_Call incomplete files,User_46,not_reachable_from_replayed_prefix_marking
Application_420380783,O_Create Offer,User_65,not_reachable_from_replayed_prefix_marking
Application_938318297,A_Validating,User_126,not_reachable_from_replayed_prefix_marking
Application_589041415,A_Cancelled,User_49,not_reachable_from_replayed_prefix_marking
Application_839952915,W_Call incomplete files,User_100,not_reachable_from_replayed_prefix_marking
Application_1050938301,W_Call incomplete files,User_100,not_reachable_from_replayed_prefix_marking
Application_1960245250,A_Validating,User_41,not_reachable_from_replayed_prefix_marking
Application_1518048032,A_Denied,User_100,not_reachable_from_replayed_prefix_marking
Application_427975818,A_Validating,User_100,not_reachable_from_replayed_prefix_marking
Application_387778376,O_Create Offer,User_58,not_reachable_from_replayed_prefix_marking
Application_2061502784,A_Cancelled,User_26,not_reachable_from_replayed_prefix_marking
Application_1143452352,O_Returned,User_100,not_reachable_from_replayed_prefix_marking
Application_597372127,A_Validating,User_90,not_reachable_from_replayed_prefix_marking
Application_1375169811,O_Create Offer,User_104,not_reachable_from_replayed_prefix_marking
Application_1789934601,O_Create Offer,User_80,not_reachable_from_replayed_prefix_marking
Application_1802283850,A_Cancelled,User_26,not_reachable_from_replayed_prefix_marking
Application_164319398,O_Create Offer,User_66,not_reachable_from_replayed_prefix_marking
Application_2043967522,O_Returned,User_100,not_reachable_from_replayed_prefix_marking
Application_1082188204,A_Incomplete,User_10,not_reachable_from_replayed_prefix_marking
Application_1624152176,A_Cancelled,User_19,not_reachable_from_replayed_prefix_marking
Application_1959536677,W_Call incomplete files,User_41,not_reachable_from_replayed_prefix_marking
Application_1667989141,W_Call incomplete files,User_100,not_reachable_from_replayed_prefix_marking
Application_2099511368,A_Cancelled,User_1,not_reachable_from_replayed_prefix_marking
Application_1818700890,A_Validating,User_16,not_reachable_from_replayed_prefix_marking
Application_1732543782,O_Create Offer,User_65,not_reachable_from_replayed_prefix_marking
Application_1928577170,W_Call incomplete files,User_100,not_reachable_from_replayed_prefix_marking
Application_1579588184,W_Call incomplete files,User_100,not_reachable_from_replayed_prefix_marking
Application_858789639,A_Cancelled,User_26,not_reachable_from_replayed_prefix_marking
Application_831992514,A_Cancelled,User_80,not_reachable_from_replayed_prefix_marking
Application_1734771669,A_Incomplete,User_45,not_reachable_from_replayed_prefix_marking
Application_340321174,A_Denied,User_65,not_reachable_from_replayed_prefix_marking
Application_1533785960,A_Denied,User_100,not_reachable_from_replayed_prefix_marking
Application_1091454310,A_Validating,User_55,not_reachable_from_replayed_prefix_marking
Application_255496047,W_Call incomplete files,User_55,not_reachable_from_replayed_prefix_marking
Application_1504307845,A_Validating,User_100,not_reachable_from_replayed_prefix_marking
Application_480070910,O_Create Offer,User_80,not_reachable_from_replayed_prefix_marking
Application_354974392,A_Cancelled,User_1,not_reachable_from_replayed_prefix_marking
Application_1616117711,A_Cancelled,User_1,not_reachable_from_replayed_prefix_marking
Application_815439845,A_Denied,User_49,not_reachable_from_replayed_prefix_marking
Application_1221269355,A_Cancelled,User_1,not_reachable_from_replayed_prefix_marking
Application_2021390880,A_Denied,User_23,not_reachable_from_replayed_prefix_marking
Application_189631764,A_Cancelled,User_80,not_reachable_from_replayed_prefix_marking
Application_76083190,W_Call incomplete files,User_100,not_reachable_from_replayed_prefix_marking
Application_80298426,W_Call incomplete files,User_131,not_reachable_from_replayed_prefix_marking
Application_1835611863,A_Denied,User_56,not_reachable_from_replayed_prefix_marking
Application_2090776603,O_Returned,User_126,not_reachable_from_replayed_prefix_marking
Application_1976004129,A_Cancelled,User_80,not_reachable_from_replayed_prefix_marking
Application_2034295537,A_Cancelled,User_54,not_reachable_from_replayed_prefix_marking
Application_1008663678,O_Create Offer,User_80,not_reachable_from_replayed_prefix_marking
Application_679465044,O_Create Offer,User_100,not_reachable_from_replayed_prefix_marking
Application_1263939811,A_Cancelled,User_80,not_reachable_from_replayed_prefix_marking
Application_1486220145,A_Cancelled,User_1,not_reachable_from_replayed_prefix_marking
Application_1064102675,W_Validate application,User_100,not_reachable_from_replayed_prefix_marking
Application_182712917,O_Create Offer,User_16,not_reachable_from_replayed_prefix_marking
Application_31697623,A_Cancelled,User_1,not_reachable_from_replayed_prefix_marking
Application_1487829407,A_Cancelled,User_80,not_reachable_from_replayed_prefix_marking
