case:concept:name,recommendation:act,recommendation:res,reason
Application_1088555315,W_Call incomplete files,User_29,not_reachable_from_replayed_prefix_marking
Application_1584063031,O_Create Offer,User_67,not_reachable_from_replayed_prefix_marking
Application_851895556,A_Denied,User_77,not_reachable_from_replayed_prefix_marking
Application_1639947439,W_Call after offers,User_67,not_reachable_from_replayed_prefix_marking
Application_861069239,W_Call after offers,User_67,not_reachable_from_replayed_prefix_marking
Application_1205027125,W_Call after offers,User_67,not_reachable_from_replayed_prefix_marking
Application_1968934644,W_Call after offers,User_67,not_reachable_from_replayed_prefix_marking
Application_1591765651,W_Call after offers,User_67,not_reachable_from_replayed_prefix_marking
Application_2128172349,O_Create Offer,User_77,not_reachable_from_replayed_prefix_marking
Application_1965608734,W_Call after offers,User_67,not_reachable_from_replayed_prefix_marking
Application_1651737074,W_Call after offers,User_29,not_reachable_from_replayed_prefix_marking
Application_19378013,W_Call after offers,User_67,not_reachable_from_replayed_prefix_marking
Application_1563418612,W_Call after offers,User_67,not_reachable_from_replayed_prefix_marking
Application_1817080595,O_Sent (mail and online),User_80,not_reachable_from_replayed_prefix_marking
Application_1721495711,W_Call after offers,User_67,not_reachable_from_replayed_prefix_marking
Application_125735546,W_Call after offers,User_67,not_reachable_from_replayed_prefix_marking
Application_1969335807,W_Call after offers,User_67,not_reachable_from_replayed_prefix_marking
Application_791089089,A_Denied,User_67,not_reachable_from_replayed_prefix_marking
Application_735837174,O_Sent (mail and online),User_80,not_reachable_from_replayed_prefix_marking
Application_1970302335,W_Call after offers,User_67,not_reachable_from_replayed_prefix_marking
Application_757682522,W_Call after offers,User_67,not_reachable_from_replayed_prefix_marking
Application_1750066014,W_Call after offers,User_67,not_reachable_from_replayed_prefix_marking
Application_1735566698,O_Create Offer,User_84,not_reachable_from_replayed_prefix_marking
Application_626884278,W_Call after offers,User_67,not_reachable_from_replayed_prefix_marking
Application_298129713,O_Sent (mail and online),User_80,not_reachable_from_replayed_prefix_marking
