case:concept:name,Next_activity,Next_resource
Application_1003444518,O_Create Offer,User_84
Application_1004385970,W_Call after offers,User_67
Application_1006138809,O_Cancelled,User_84
Application_1008663678,O_Cancelled,User_84
Application_1012600292,O_Cancelled,User_84
Application_101285063,A_Validating,User_29
Application_1013192848,O_Returned,User_93
Application_1016792765,O_Cancelled,User_67
Application_1018266027,O_Cancelled,User_77
Application_1018276550,O_Cancelled,User_84
Application_101973919,O_Create Offer,User_67
Application_1020696982,O_Cancelled,User_84
Application_1020792873,O_Cancelled,User_84
Application_1020819842,O_Cancelled,User_66
Application_1022084723,O_Cancelled,User_84
Application_1023037940,A_Validating,User_29
Application_102597720,O_Cancelled,User_77
Application_1026777184,W_Call after offers,User_67
Application_1027449105,O_Cancelled,User_84
Application_1027859705,O_Cancelled,User_84
Application_1028665365,A_Concept,User_80
Application_1029674102,O_Cancelled,User_84
Application_102977791,O_Cancelled,User_80
Application_1031465496,O_Cancelled,User_84
Application_1032862024,O_Create Offer,User_67
Application_1033036371,O_Cancelled,User_84
Application_1033306842,O_Create Offer,User_67
Application_1033574302,O_Cancelled,User_80
Application_1034775753,A_Cancelled,User_84
Application_1035618893,O_Cancelled,User_80
Application_1037771791,O_Cancelled,User_67
Application_1038302868,W_Call after offers,User_67
Application_1038660996,O_Cancelled,User_80
Application_1039200421,O_Cancelled,User_80
Application_104061665,O_Cancelled,User_84
Application_1041438098,A_Accepted,User_84
Application_104406636,O_Cancelled,User_80
Application_1046222107,W_Call after offers,User_67
Application_1046524820,O_Cancelled,User_67
Application_1048834285,W_Call after offers,User_67
Application_104922918,W_Call after offers,User_67
Application_1050938301,O_Create Offer,User_84
Application_105434976,O_Cancelled,User_80
Application_1054777483,O_Returned,User_103
Application_1056831748,O_Create Offer,User_67
Application_1057881509,O_Cancelled,User_80
Application_105906022,O_Cancelled,User_67
Application_1064102675,A_Incomplete,User_107
Application_1065401414,O_Cancelled,User_80
Application_1069486579,W_Call after offers,User_67
Application_1069511528,O_Cancelled,User_77
Application_107048111,O_Cancelled,User_80
Application_1070499420,O_Cancelled,User_84
Application_1071392906,O_Cancelled,User_67
Application_1072302976,O_Cancelled,User_77
Application_1072740747,O_Cancelled,User_77
Application_1073143855,O_Cancelled,User_84
Application_1076592180,O_Create Offer,User_77
Application_1077139293,O_Cancelled,User_80
Application_1079472664,A_Cancelled,User_84
Application_1079589,O_Cancelled,User_67
Application_1081153991,W_Call after offers,User_67
Application_1082188204,O_Cancelled,User_84
Application_1083885618,W_Call after offers,User_67
Application_1084197155,O_Cancelled,User_66
Application_1084809711,O_Cancelled,User_84
Application_1084951999,A_Validating,User_29
Application_1085916302,O_Cancelled,User_84
Application_1086189813,O_Cancelled,User_84
Application_1086358390,O_Cancelled,User_84
Application_1087895834,O_Cancelled,User_67
Application_1088555315,O_Create Offer,User_84
Application_1089290640,O_Cancelled,User_84
Application_1090974006,O_Cancelled,User_84
Application_1091454310,O_Cancelled,User_84
Application_1092109071,O_Cancelled,User_84
Application_1092918410,O_Cancelled,User_77
Application_1095263419,O_Cancelled,User_80
Application_1096081779,O_Cancelled,User_80
Application_109628015,O_Cancelled,User_66
Application_1096460123,O_Cancelled,User_66
Application_1096932592,O_Returned,User_93
Application_109718783,O_Cancelled,User_84
Application_109912668,O_Cancelled,User_80
Application_1099430757,O_Cancelled,User_84
Application_1099493178,O_Cancelled,User_80
Application_1099663893,O_Cancelled,User_67
Application_1100253381,O_Cancelled,User_80
Application_1101636672,O_Cancelled,User_84
Application_1102148836,O_Cancelled,User_84
Application_1102289179,O_Cancelled,User_67
Application_110355063,O_Cancelled,User_80
Application_1103698005,A_Accepted,User_84
Application_1104110439,A_Validating,User_86
Application_1104349279,O_Cancelled,User_67
Application_1104697616,O_Cancelled,User_104
Application_1104784494,O_Cancelled,User_80
Application_1104839673,O_Cancelled,User_77
Application_1106610804,O_Cancelled,User_77
Application_1107513596,O_Cancelled,User_84
Application_1107974200,O_Cancelled,User_77
Application_1108410496,A_Validating,User_29
Application_1108553853,O_Cancelled,User_80
Application_1109500523,W_Call after offers,User_67
Application_1109722425,W_Call after offers,User_67
Application_1110003824,O_Cancelled,User_84
Application_1110334222,O_Sent (mail and online),User_80
Application_1110847631,O_Cancelled,User_84
Application_1112791540,A_Validating,User_29
Application_1114627184,O_Cancelled,User_84
Application_1115275695,O_Cancelled,User_84
Application_111536511,O_Cancelled,User_84
Application_1116596448,O_Cancelled,User_80
Application_1116878017,O_Cancelled,User_84
Application_1118317851,O_Cancelled,User_84
Application_1118691851,O_Cancelled,User_84
Application_1118794258,O_Cancelled,User_77
Application_1119128567,O_Cancelled,User_84
Application_1119346613,O_Cancelled,User_84
Application_1119704576,O_Returned,User_103
Application_1120624192,O_Cancelled,User_67
Application_1121095468,O_Cancelled,User_80
Application_112299550,A_Cancelled,User_84
Application_1123320394,O_Cancelled,User_80
Application_1123432099,O_Cancelled,User_84
Application_1123655418,O_Cancelled,User_84
Application_1124789802,O_Cancelled,User_67
Application_1125229039,A_Accepted,User_67
Application_1125299308,O_Cancelled,User_66
Application_1131812437,A_Accepted,User_80
Application_1131974200,W_Call after offers,User_67
Application_1132898010,O_Cancelled,User_84
Application_1133826059,O_Cancelled,User_77
Application_113474586,O_Cancelled,User_80
Application_1136138244,O_Cancelled,User_67
Application_1136188668,O_Cancelled,User_104
Application_1136782466,A_Accepted,User_80
Application_1136942310,A_Validating,User_29
Application_1138343850,O_Cancelled,User_84
Application_1138441532,O_Cancelled,User_66
Application_1138682900,O_Cancelled,User_84
Application_1139095492,O_Cancelled,User_67
Application_1140000103,O_Cancelled,User_84
Application_1140214785,O_Cancelled,User_84
Application_1140934167,O_Cancelled,User_80
Application_1141437569,O_Returned,User_103
Application_1141800606,O_Cancelled,User_84
Application_1142291922,W_Call after offers,User_67
Application_1143452352,W_Call incomplete files,User_10
Application_1143725882,O_Cancelled,User_84
Application_1143749034,O_Create Offer,User_67
Application_1144806380,O_Cancelled,User_84
Application_1145195394,O_Cancelled,User_80
Application_11454632,O_Cancelled,User_84
Application_114551747,O_Cancelled,User_80
Application_1145960664,O_Cancelled,User_80
Application_1146017257,O_Cancelled,User_84
Application_1146390793,O_Create Offer,User_80
Application_114677449,O_Cancelled,User_80
Application_1147242139,O_Cancelled,User_80
Application_1147800670,O_Cancelled,User_77
Application_1148505526,A_Cancelled,User_84
Application_1149826505,W_Call after offers,User_67
Application_1149882287,O_Cancelled,User_84
Application_1151306652,A_Validating,User_129
Application_1151718196,O_Cancelled,User_84
Application_1152706558,O_Cancelled,User_84
Application_1153327019,A_Incomplete,User_10
Application_1153332543,O_Cancelled,User_77
Application_115387399,O_Cancelled,User_84
Application_1154947942,O_Cancelled,User_80
Application_1155624509,O_Cancelled,User_84
Application_1156380786,O_Cancelled,User_80
Application_1157095713,O_Cancelled,User_84
Application_1157455039,O_Cancelled,User_84
Application_1160716330,W_Call after offers,User_67
Application_1164107164,O_Cancelled,User_84
Application_116887817,O_Cancelled,User_84
Application_1171197563,W_Call after offers,User_67
Application_1172008352,O_Cancelled,User_67
Application_1173149180,A_Cancelled,User_84
Application_1173289988,O_Cancelled,User_80
Application_1173481848,O_Cancelled,User_77
