case:concept:name,Next_activity,Next_resource
Application_1003444518,,
Application_1004385970,A_Validating,User_29
Application_1006138809,A_Cancelled,User_96
Application_1008663678,,
Application_1012600292,,
Application_101285063,A_Validating,User_86
Application_1013192848,A_Cancelled,User_84
Application_1016792765,A_Validating,User_99
Application_1018266027,A_Validating,User_99
Application_1018276550,A_Validating,User_99
Application_101973919,,
Application_1020696982,A_Validating,User_63
Application_1020792873,A_Validating,User_37
Application_1020819842,A_Cancelled,User_96
Application_1022084723,A_Validating,User_99
Application_1023037940,A_Validating,User_99
Application_102597720,,
Application_1026777184,A_Validating,User_103
Application_1027449105,,
Application_1027859705,A_Validating,User_33
Application_1028665365,,
Application_1029674102,A_Validating,User_29
Application_102977791,A_Validating,User_99
Application_1031465496,A_Validating,User_106
Application_1032862024,,
Application_1033036371,O_Cancelled,User_84
Application_1033306842,A_Validating,User_106
Application_1033574302,O_Cancelled,User_84
Application_1034775753,A_Validating,User_99
Application_1035618893,A_Validating,User_99
Application_1037771791,A_Validating,User_99
Application_1038302868,A_Validating,User_99
Application_1038660996,A_Validating,User_99
Application_1039200421,O_Cancelled,User_84
Application_104061665,A_Validating,User_99
Application_1041438098,,
Application_104406636,A_Validating,User_99
Application_1046222107,,
Application_1046524820,A_Validating,User_29
Application_1048834285,A_Validating,User_29
Application_104922918,A_Validating,User_99
Application_1050938301,A_Cancelled,User_78
Application_105434976,A_Validating,User_44
Application_1054777483,A_Cancelled,User_84
Application_1056831748,A_Validating,User_93
Application_1057881509,A_Validating,User_99
Application_105906022,,
Application_1064102675,,
Application_1065401414,A_Validating,User_63
Application_1069486579,A_Validating,User_99
Application_1069511528,A_Validating,User_99
Application_107048111,A_Validating,User_99
Application_1070499420,A_Validating,User_63
Application_1071392906,A_Validating,User_33
Application_1072302976,A_Validating,User_99
Application_1072740747,,
Application_1073143855,,
Application_1076592180,A_Cancelled,User_66
Application_1077139293,A_Validating,User_16
Application_1079472664,A_Validating,User_99
Application_1079589,A_Validating,User_99
Application_1081153991,A_Validating,User_99
Application_1082188204,,
Application_1083885618,A_Validating,User_99
Application_1084197155,A_Validating,User_99
Application_1084809711,A_Validating,User_99
Application_1084951999,A_Validating,User_99
Application_1085916302,A_Validating,User_99
Application_1086189813,,
Application_1086358390,A_Validating,User_99
Application_1087895834,A_Validating,User_44
Application_1088555315,,
Application_1089290640,A_Validating,User_63
Application_1090974006,A_Cancelled,User_80
Application_1091454310,O_Cancelled,User_84
Application_1092109071,A_Denied,User_65
Application_1092918410,A_Validating,User_49
Application_1095263419,A_Validating,User_99
Application_1096081779,A_Validating,User_99
Application_109628015,,
Application_1096460123,A_Validating,User_99
Application_1096932592,A_Cancelled,User_33
Application_109718783,,
Application_109912668,A_Validating,User_99
Application_1099430757,A_Validating,User_33
Application_1099493178,A_Validating,User_99
Application_1099663893,A_Validating,User_33
Application_1100253381,A_Validating,User_99
Application_1101636672,A_Validating,User_99
Application_1102148836,A_Validating,User_103
Application_1102289179,A_Validating,User_106
Application_110355063,A_Validating,User_29
Application_1103698005,,
Application_1104110439,A_Validating,User_99
Application_1104349279,A_Validating,User_99
Application_1104697616,A_Validating,User_99
Application_1104784494,A_Validating,User_33
Application_1104839673,,
Application_1106610804,A_Validating,User_99
Application_1107513596,A_Validating,User_99
Application_1107974200,A_Validating,User_86
Application_1108410496,A_Validating,User_103
Application_1108553853,A_Validating,User_103
Application_1109500523,A_Validating,User_99
Application_1109722425,A_Validating,User_99
Application_1110003824,,
Application_1110334222,A_Validating,User_29
Application_1110847631,,
Application_1112791540,A_Validating,User_106
Application_1114627184,A_Validating,User_33
Application_1115275695,A_Validating,User_29
Application_111536511,A_Validating,User_33
Application_1116596448,A_Cancelled,User_66
Application_1116878017,O_Cancelled,User_84
Application_1118317851,A_Validating,User_99
Application_1118691851,A_Validating,User_29
