case:concept:name,Next_activity,Next_resource
Application_1003444518,,
Application_1004385970,W_Call after offers,User_65
Application_1006138809,O_Cancelled,User_77
Application_1008663678,,
Application_1012600292,,
Application_101285063,A_Cancelled,User_33
Application_1013192848,A_Cancelled,User_84
Application_1016792765,A_Cancelled,User_66
Application_1018266027,W_Call after offers,User_29
Application_1018276550,,
Application_101973919,,
Application_1020696982,A_Cancelled,User_84
Application_1020792873,A_Denied,User_65
Application_1020819842,O_Cancelled,User_44
Application_1022084723,W_Call after offers,User_29
Application_1023037940,A_Cancelled,User_84
Application_102597720,A_Incomplete,User_54
Application_1026777184,W_Call after offers,User_103
Application_1027449105,A_Denied,User_18
Application_1027859705,A_Denied,User_99
Application_1028665365,,
Application_1029674102,A_Denied,User_67
Application_102977791,W_Call after offers,User_99
Application_1031465496,O_Cancelled,User_65
Application_1032862024,,
Application_1033036371,A_Validating,User_63
Application_1033306842,A_Cancelled,User_66
Application_1033574302,O_Cancelled,User_77
Application_1034775753,A_Cancelled,User_84
Application_1035618893,A_Denied,User_65
Application_1037771791,A_Denied,User_65
Application_1038302868,A_Denied,User_99
Application_1038660996,W_Call after offers,User_65
Application_1039200421,A_Cancelled,User_84
Application_104061665,O_Sent (mail and online),User_80
Application_1041438098,,
Application_104406636,O_Cancelled,User_84
Application_1046222107,A_Denied,User_65
Application_1046524820,W_Call after offers,User_29
Application_1048834285,W_Call after offers,User_29
Application_104922918,A_Denied,User_65
Application_1050938301,W_Call incomplete files,User_18
Application_105434976,A_Validating,User_44
Application_1054777483,A_Cancelled,User_33
Application_1056831748,W_Call incomplete files,User_54
Application_1057881509,W_Call after offers,User_65
Application_105906022,O_Cancelled,User_84
Application_1064102675,,
Application_1065401414,A_Validating,User_35
Application_1069486579,W_Call after offers,User_65
Application_1069511528,W_Call after offers,User_29
Application_107048111,W_Call after offers,User_99
Application_1070499420,W_Call after offers,User_99
Application_1071392906,O_Cancelled,User_33
Application_1072302976,A_Cancelled,User_84
Application_1072740747,,
Application_1073143855,,
Application_1076592180,W_Call incomplete files,User_29
Application_1077139293,A_Denied,User_65
Application_1079472664,O_Cancelled,User_84
Application_1079589,A_Denied,User_67
Application_1081153991,W_Call after offers,User_99
Application_1082188204,,
Application_1083885618,O_Cancelled,User_67
Application_1084197155,W_Call after offers,User_103
Application_1084809711,W_Call after offers,User_29
Application_1084951999,W_Call after offers,User_65
Application_1085916302,W_Call after offers,User_65
Application_1086189813,,
Application_1086358390,,
Application_1087895834,W_Call after offers,User_65
Application_1088555315,,
Application_1089290640,W_Call after offers,User_65
Application_1090974006,O_Cancelled,User_84
Application_1091454310,O_Cancelled,User_77
Application_1092109071,O_Cancelled,User_77
Application_1092918410,A_Denied,User_99
Application_1095263419,A_Validating,User_99
Application_1096081779,W_Call after offers,User_29
Application_109628015,,
Application_1096460123,W_Call after offers,User_67
Application_1096932592,A_Cancelled,User_62
Application_109718783,,
Application_109912668,W_Call after offers,User_65
Application_1099430757,O_Cancelled,User_77
Application_1099493178,A_Validating,User_99
Application_1099663893,A_Denied,User_65
Application_1100253381,W_Call after offers,User_65
Application_1101636672,W_Call after offers,User_29
Application_1102148836,A_Validating,User_99
Application_1102289179,A_Validating,User_33
Application_110355063,A_Validating,User_29
Application_1103698005,,
Application_1104110439,W_Call after offers,User_54
Application_1104349279,A_Validating,User_99
Application_1104697616,A_Denied,User_44
Application_1104784494,O_Cancelled,User_65
Application_1104839673,,
Application_1106610804,W_Call after offers,User_132
Application_1107513596,A_Validating,User_49
Application_1107974200,A_Denied,User_54
Application_1108410496,O_Cancelled,User_79
Application_1108553853,A_Denied,User_65
Application_1109500523,A_Denied,User_67
Application_1109722425,W_Call after offers,User_103
Application_1110003824,,
Application_1110334222,A_Cancelled,User_84
Application_1110847631,A_Validating,User_83
Application_1112791540,A_Validating,User_11
Application_1114627184,A_Validating,User_100
Application_1115275695,W_Call after offers,User_29
Application_111536511,A_Denied,User_99
Application_1116596448,O_Cancelled,User_80
Application_1116878017,A_Validating,User_33
Application_1118317851,O_Cancelled,User_77
Application_1118691851,W_Call after offers,User_65
Application_1118794258,A_Denied,User_65
Application_1119128567,A_Validating,User_99
Application_1119346613,A_Denied,User_67
Application_1119704576,W_Call incomplete files,User_33
Application_1120624192,A_Validating,User_44
Application_1121095468,W_Call after offers,User_29
Application_112299550,W_Call after offers,User_103
Application_1123320394,A_Denied,User_67
Application_1123432099,W_Call after offers,User_67
Application_1123655418,A_Validating,User_33
Application_1124789802,A_Denied,User_99
Application_1125229039,,
Application_1125299308,A_Denied,User_65
Application_1131812437,,
Application_1131974200,W_Call after offers,User_65
Application_1132898010,A_Validating,User_99
Application_1133826059,O_Cancelled,User_65
Application_113474586,W_Call after offers,User_65
Application_1136138244,W_Call after offers,User_67
Application_1136188668,A_Cancelled,User_66
Application_1136782466,,
Application_1136942310,A_Validating,User_54
Application_1138343850,W_Call after offers,User_65
Application_1138441532,,
Application_1138682900,O_Cancelled,User_66
Application_1139095492,O_Cancelled,User_77
Application_1140000103,A_Cancelled,User_84
Application_1140214785,A_Denied,User_65
Application_1140934167,W_Call after offers,User_65
Application_1141437569,A_Incomplete,User_54
Application_1141800606,O_Create Offer,User_65
Application_1142291922,A_Denied,User_42
Application_1143452352,W_Call incomplete files,User_17
Application_1143725882,,
Application_1143749034,A_Validating,User_42
Application_1144806380,O_Cancelled,User_65
Application_1145195394,A_Denied,User_99
Application_11454632,O_Cancelled,User_77
Application_114551747,O_Returned,User_99
Application_1145960664,A_Denied,User_99
Application_1146017257,O_Cancelled,User_77
Application_1146390793,,
Application_114677449,W_Call after offers,User_29
Application_1147242139,W_Call after offers,User_83
Application_1147800670,A_Cancelled,User_77
Application_1148505526,O_Cancelled,User_79
Application_1149826505,A_Denied,User_99
Application_1149882287,A_Denied,User_99
Application_1151306652,W_Call after offers,User_103
Application_1151718196,A_Cancelled,User_84
Application_1152706558,A_Validating,User_29
Application_1153327019,A_Incomplete,User_131
Application_1153332543,W_Call after offers,User_11
Application_115387399,O_Cancelled,User_77
Application_1154947942,A_Validating,User_99
Application_1155624509,A_Cancelled,User_84
Application_1156380786,A_Denied,User_65
Application_1157095713,A_Validating,User_101
Application_1157455039,,
Application_1160716330,A_Denied,User_65
Application_1164107164,,
Application_116887817,W_Call after offers,User_99
Application_1171197563,W_Call after offers,User_65
Application_1172008352,,
Application_1173149180,A_Validating,User_99
Application_1173289988,W_Call after offers,User_103
Application_1173481848,O_Create Offer,User_56
Application_1174114825,A_Validating,User_99
Application_1175285346,,
Application_1175418215,A_Cancelled,User_84
Application_117660615,A_Validating,User_99
Application_11773925,,
Application_118076535,O_Cancelled,User_79
Application_1180779910,W_Call after offers,User_29
Application_1182794641,A_Cancelled,User_33
Application_1183136852,A_Denied,User_99
Application_1183476189,A_Validating,User_99
Application_1183534481,A_Denied,User_99
Application_1183954314,W_Call after offers,User_65
Application_1184253258,A_Validating,User_33
Application_1185560776,W_Validate application,User_93
Application_1186011075,W_Call incomplete files,User_37
Application_1187770735,O_Cancelled,User_84
Application_1189444299,,
Application_1189871359,W_Call after offers,User_65
Application_1192817854,W_Call after offers,User_62
Application_1193407725,W_Call after offers,User_83
Application_1194573334,O_Cancelled,User_65
Application_1196211316,W_Call after offers,User_132
Application_1200105859,O_Cancelled,User_77
Application_1201250492,A_Denied,User_44
Application_1201267547,A_Validating,User_99
Application_1202440901,W_Call after offers,User_67
Application_1203000059,O_Cancelled,User_77
Application_120400056,,
Application_1205027125,A_Cancelled,User_84
Application_1205291296,A_Validating,User_54
Application_1207519267,A_Denied,User_99
Application_1208202898,O_Cancelled,User_84
Application_1208543050,,
Application_1209476276,A_Validating,User_99
Application_1210322027,W_Call after offers,User_65
Application_1213205773,W_Call after offers,User_65
Application_121670659,,
Application_1216723425,,
Application_1218203113,O_Cancelled,User_84
Application_1218332981,O_Cancelled,User_84
Application_1219055263,O_Cancelled,User_66
Application_1219949717,W_Call after offers,User_65
Application_1220541878,A_Cancelled,User_77
Application_1221269355,,
Application_1222039007,,
Application_1224187740,A_Cancelled,User_66
Application_1225769256,O_Cancelled,User_77
Application_1226442731,A_Denied,User_99
Application_1228403719,A_Denied,User_79
Application_1234321250,A_Validating,User_99
Application_1234365113,A_Validating,User_33
Application_1235896381,W_Call after offers,User_29
Application_1237086325,W_Call after offers,User_99
Application_123834627,A_Cancelled,User_66
Application_1239060176,O_Cancelled,User_33
Application_1239627323,A_Cancelled,User_66
Application_1240814574,A_Denied,User_99
Application_1241865852,A_Cancelled,User_66
Application_1241999769,O_Cancelled,User_77
Application_1242315969,O_Cancelled,User_79
Application_1242352417,A_Validating,User_83
Application_1242477998,A_Denied,User_99
Application_1246865304,A_Denied,User_83
Application_1246985104,A_Cancelled,User_33
Application_1248242433,W_Call after offers,User_29
Application_1248474304,W_Call incomplete files,User_63
