case_study,method,rank,k_total,case:concept:name,rec_activity,rec_resource,sim_status_method_mean,sim_remaining_time_method_mean_sigmoid_mm,sim_remaining_time_method_mean,sim_rec_applied_fraction,sim_status_baseline_mean,sim_remaining_time_baseline_mean_sigmoid_mm,sim_remaining_time_baseline_mean,pred_status_with_rec,pred_remaining_time_with_rec_sigmoid_mm,pred_remaining_time_with_rec,pred_status_no_rec,pred_remaining_time_no_rec_sigmoid_mm,pred_remaining_time_no_rec
bpi17_before,exhaustive,2,5,Application_1003257895,A_Validating,User_40,0.8,0.34613581600078136,1373553.0,1.0,0.5,0.4420521722278575,1770717.0,0.5415543991254951,0.32608032389994174,1163937.1522477372,0.3671200529111285,0.42664154349672434,1498892.3875206793
bpi17_before,exhaustive,2,5,Application_1005586643,A_Validating,User_109,0.6,0.22333150342739438,812161.0,1.0,0.6,0.44702933180877047,2166187.0,0.6384407596123485,0.23665847045831506,867538.7165598804,0.6384407596123485,0.2984180659991713,1072625.8648762107
bpi17_before,exhaustive,2,5,Application_1006347888,A_Validating,User_100,0.7,0.25147969533879,907757.0,1.0,0.7,0.5198632796286791,2518913.0,0.5552100831506457,0.31769089520560095,1136248.707893211,0.028556666666576164,0.7250963908372206,2686487.12929961
bpi17_before,exhaustive,2,5,Application_1006959642,A_Validating,User_102,0.7,0.2719897039508265,1144080.0,1.0,0.9,0.22165715941967917,825796.0,0.47159508021969077,0.32260056255339037,1152452.0577273187,0.5003698551660911,0.32918941241028415,1174199.9838400565
bpi17_before,exhaustive,2,5,Application_1007607428,A_Validating,User_100,0.7,0.2228840780621551,805922.0,1.0,0.5,0.4044506759769691,1491956.0,0.5369254399032115,0.31036718732407403,1112077.6110784633,0.023346207024618502,0.7123198756828275,2622092.80413479
bpi17_before,exhaustive,2,5,Application_1009327734,A_Denied,User_83,0.5,0.24909107550504714,996183.6,1.0,0.8,0.22155926729698816,818717.2,0.09172732299779997,-0.005248586205891692,0.0,0.9328112170954183,0.028161608230711954,115998.8842043702
bpi17_before,exhaustive,2,5,Application_1009466765,A_Validating,User_100,0.8,0.21734554729021344,783151.0,1.0,0.5,0.2436904173559918,901351.0,0.582600492021593,0.3135950459918135,1122731.1905864112,0.027174028854170425,0.7191804554728143,2656401.125669739
bpi17_before,exhaustive,2,5,Application_1011122543,A_Validating,User_100,0.5,0.3029620924305752,1097617.0,1.0,0.4,0.33524822853950187,1370677.0,0.5640174927097099,0.30941998051778413,1108951.1530986005,0.5155467885284918,0.31426836161358773,1124953.377708193
bpi17_before,exhaustive,2,5,Application_1012566167,A_Validating,User_100,0.9,0.2752974240509583,1025157.0,1.0,0.7,0.28455924838835966,1036398.0,0.565275133907818,0.3314083778104156,1181525.5109795942,0.33327848928643883,0.5048696640808934,1770150.1704140138
bpi17_before,exhaustive,2,5,Application_1014917757,A_Validating,User_102,0.7,0.21064332664089508,766510.0,1.0,0.3,0.4567675616458001,1877890.0,0.4547609042411468,0.2921461090205195,1051903.7424406244,0.027212972052586677,0.6514345957081747,2340548.0175560694
bpi17_before,exhaustive,2,5,Application_1015666669,A_Validating,User_100,0.8,0.29695972545069654,1153970.0,1.0,0.2,0.5312363140725772,2794964.0,0.5460610242023396,0.323823236181802,1156487.421050274,0.0272420305295323,0.713109192486046,2626009.178475685
bpi17_before,exhaustive,2,5,Application_1017828639,A_Denied,User_83,0.4,0.24813274352227088,1162068.0,1.0,0.8,0.19791047285029797,719879.4,0.11599453916845334,-0.03263212093633022,0.0,0.6635107336757895,0.14062368101101108,538128.5916314827
bpi17_before,exhaustive,2,5,Application_1018407971,A_Validating,User_100,0.7,0.2875452628873181,1031276.0,1.0,0.5,0.3901471599309116,1712276.0,0.589204079747563,0.35477686132230624,1258759.486306316,0.5302286112922918,0.3640829809525179,1289586.24408681
bpi17_before,exhaustive,2,5,Application_1018538193,A_Validating,User_29,0.9,0.2545778104521026,922893.0,1.0,0.4,0.4414838900914318,1831749.0,0.5524167682412424,0.3082920462053748,1105228.0221374577,0.321895037798963,0.4478931954138653,1571247.0558357248
bpi17_before,exhaustive,2,5,Application_1019469082,A_Validating,User_109,0.8,0.2249224583466823,831751.2,1.0,0.7,0.33493401981160575,1243618.0,0.5040385984840262,0.31661302659791746,1132691.468464877,0.032522514140926925,0.7231847342822203,2676712.9855234157
bpi17_before,exhaustive,2,5,Application_1019603677,A_Validating,User_42,0.9,0.22016232682918954,795246.0,1.0,0.5,0.19907196558476953,741738.0,0.5482474852841466,0.3252748563256442,1161278.5718000499,0.37858895073869336,0.484344903377221,1697538.3612416633
bpi17_before,exhaustive,2,5,Application_1021365915,O_Returned,User_100,0.5,0.20977319421813298,771797.2,1.0,1.0,0.34284968312137665,1491200.0,0.7423062036733518,0.12911587436913946,497198.97082668345,0.59720585854949,0.12783847489754085,492630.6116601352
bpi17_before,exhaustive,2,5,Application_1023449033,A_Validating,User_97,0.9,0.30405025628391996,1257118.0,1.0,0.3,0.5402135918279901,1989406.0,0.7121555600654342,0.469511528426485,1645771.5548495897,0.6867413929199082,0.469511528426485,1645771.5548495897
