case_study,method,rank,k_total,case:concept:name,rec_activity,rec_resource,sim_status_method_mean,sim_remaining_time_method_mean,sim_status_baseline_mean,sim_remaining_time_baseline_mean,pred_status_with_rec,pred_remaining_time_with_rec,pred_status_no_rec,pred_remaining_time_no_rec
bpi17_before,exhaustive,3,5,Application_1003257895,A_Cancelled,User_1,0.0,0.0,0.6,1498453.2,0.026795803009225738,2356699.1878045825,0.26725966490769126,1401212.0969975558
bpi17_before,exhaustive,3,5,Application_1005586643,A_Validating,User_100,0.6,438828.0,0.8,167670.0,0.7854049603589067,1004513.8443585892,0.6330500539067828,1036989.24059654
bpi17_before,exhaustive,3,5,Application_1006347888,A_Validating,User_29,0.9,396392.2,0.5,397534.4,0.46617268790108957,1124266.1765000585,0.002743037026078022,2644321.3835635167
bpi17_before,exhaustive,3,5,Application_1006959642,A_Validating,User_7,0.5,333104.0,0.7,861844.0,0.6186105128742507,1168982.997485139,0.4640381519613893,1159135.627405663
bpi17_before,exhaustive,3,5,Application_1007607428,A_Validating,User_68,0.7,295356.0,0.1,1588640.8,0.4688329980162419,1140481.2347989592,0.0032175582705955643,2633495.3266753117
bpi17_before,exhaustive,3,5,Application_1009327734,A_Denied,User_100,0.4,289542.0,0.6,755144.4,0.06615689410656662,174673.86991335393,0.975923926125314,52147.38152488554
bpi17_before,exhaustive,3,5,Application_1009466765,A_Validating,User_29,0.7,318180.2,0.5,896214.0,0.5371458036243578,1132729.2374381472,0.0024472819356310617,2680835.0156116043
bpi17_before,exhaustive,3,5,Application_1011122543,A_Validating,User_40,0.8,402060.0,0.6,1354852.3,0.452409827615058,1157955.73828274,0.4693640264909626,1206928.4757209423
bpi17_before,exhaustive,3,5,Application_1012566167,A_Validating,User_7,0.8,245613.0,0.5,475746.0,0.5821381747129132,1164385.9441801733,0.3275839453090043,1717221.1135510565
bpi17_before,exhaustive,3,5,Application_1014917757,A_Validating,User_121,1.0,785388.0,0.5,1301653.6,0.5231575366865563,1016070.9669834594,0.0016930415888746792,2256593.8375672786
bpi17_before,exhaustive,3,5,Application_1015666669,A_Validating,User_29,0.8,231895.6,0.6,772884.8,0.49653723728372334,1140859.5971367985,0.0030968203120384902,2669589.44925096
bpi17_before,exhaustive,3,5,Application_1017828639,A_Denied,User_53,0.4,220158.0,0.9,196069.8,0.062125797217554235,0.0,0.7677135538192873,428549.4895398668
bpi17_before,exhaustive,3,5,Application_1018407971,A_Validating,User_68,0.5,294600.2,0.7,410898.6,0.5630906733210169,1290972.8523441665,0.5630906733210169,1321346.6579776714
bpi17_before,exhaustive,3,5,Application_1018538193,A_Validating,User_35,0.7,291651.3,0.4,323309.1,0.6732625907065118,1113337.5137889956,0.33260789046720585,1542552.9345207505
bpi17_before,exhaustive,3,5,Application_1019469082,A_Validating,User_21,0.5,385644.0,0.4,219032.8,0.6196022161067282,1246824.0135136181,0.002264811779030916,2482799.11311635
bpi17_before,exhaustive,3,5,Application_1019603677,A_Validating,User_117,0.6,360264.0,0.6,426894.0,0.6098283936403167,1177938.3536232598,0.5595565942277921,1681948.536134147
bpi17_before,exhaustive,3,5,Application_1021365915,A_Denied,User_53,0.5,217602.0,0.9,366818.4,0.024307457837883926,38341.19488740456,0.6822840139188878,534235.4856350315
bpi17_before,exhaustive,3,5,Application_1023449033,O_Cancelled,User_51,0.0,0.0,0.7,2500043.6,0.5380422394790368,1386988.1332221855,0.7830513206732549,1712846.4789332566
