case_study,method,rank,k_total,case:concept:name,rec_activity,rec_resource,sim_status_method_mean,sim_remaining_time_method_mean,sim_status_baseline_mean,sim_remaining_time_baseline_mean,pred_status_with_rec,pred_remaining_time_with_rec,pred_status_no_rec,pred_remaining_time_no_rec
bpi17_before,nsga2,2,5,Application_1003257895,A_Denied,User_29,0.2,398070.0,0.6,1498453.2,0.09968148131114321,759276.4644548643,0.26725966490769126,1401212.0969975558
bpi17_before,nsga2,2,5,Application_1005586643,A_Denied,User_100,0.6,571920.0,0.8,167670.0,0.4358184508997802,750155.0033881203,0.6330500539067828,1036989.24059654
bpi17_before,nsga2,2,5,Application_1006347888,A_Cancelled,User_1,0.0,0.0,0.5,397534.4,0.002743037026078022,2644321.3835635167,0.002743037026078022,2644321.3835635167
bpi17_before,nsga2,2,5,Application_1006959642,A_Cancelled,User_97,0.0,0.0,0.7,861844.0,0.01736421418402656,784873.2220940773,0.4640381519613893,1159135.627405663
bpi17_before,nsga2,2,5,Application_1007607428,A_Validating,User_100,0.8,293610.0,0.1,1588640.8,0.6207476179921342,1150044.7230055435,0.0032175582705955643,2633495.3266753117
bpi17_before,nsga2,2,5,Application_1009327734,A_Denied,User_53,0.5,1612984.4,0.6,755144.4,0.03143204316720756,37314.04747202364,0.975923926125314,52147.38152488554
bpi17_before,nsga2,2,5,Application_1009466765,A_Cancelled,User_109,0.0,0.0,0.5,896214.0,0.009264168088749013,323641.8791496884,0.0024472819356310617,2680835.0156116043
bpi17_before,nsga2,2,5,Application_1011122543,A_Cancelled,User_1,0.0,0.0,0.6,1354852.3,0.0030123478630252583,2693455.605843776,0.4693640264909626,1206928.4757209423
bpi17_before,nsga2,2,5,Application_1012566167,A_Validating,User_68,0.6,73044.0,0.5,475746.0,0.48666780169309687,1151798.2859743657,0.3275839453090043,1717221.1135510565
bpi17_before,nsga2,2,5,Application_1014917757,A_Denied,User_75,0.2,89022.0,0.5,1301653.6,0.042176743659437396,637735.0356505074,0.0016930415888746792,2256593.8375672786
bpi17_before,nsga2,2,5,Application_1015666669,A_Cancelled,User_1,0.0,0.0,0.6,772884.8,0.0030968203120384902,2669589.44925096,0.0030968203120384902,2669589.44925096
bpi17_before,nsga2,2,5,Application_1017828639,A_Denied,User_21,0.6,816402.0,0.9,196069.8,0.10936306441339941,133039.22945804242,0.7677135538192873,428549.4895398668
bpi17_before,nsga2,2,5,Application_1018407971,A_Cancelled,User_109,0.0,0.0,0.7,410898.6,0.01651024836858601,657802.6002540998,0.5630906733210169,1321346.6579776714
bpi17_before,nsga2,2,5,Application_1018538193,A_Cancelled,User_1,0.0,0.0,0.4,323309.1,0.00705771068771106,2344882.968285432,0.33260789046720585,1542552.9345207505
bpi17_before,nsga2,2,5,Application_1019469082,A_Validating,User_75,0.5,112782.0,0.4,219032.8,0.49398389620450844,1228398.080557966,0.002264811779030916,2482799.11311635
bpi17_before,nsga2,2,5,Application_1019603677,A_Cancelled,User_29,0.0,0.0,0.6,426894.0,0.025633724787849227,460245.3649621436,0.5595565942277921,1681948.536134147
bpi17_before,nsga2,2,5,Application_1021365915,A_Denied,User_100,0.4,636790.2,0.9,366818.4,0.058272353403520334,140723.67794750165,0.6822840139188878,534235.4856350315
bpi17_before,nsga2,2,5,Application_1023449033,A_Denied,User_100,0.5,674010.0,0.7,2500043.6,0.4342365656683722,1313543.288541345,0.7830513206732549,1712846.4789332566
bpi17_before,nsga2,2,5,Application_1024769381,A_Validating,User_121,0.8,920910.0,0.5,619934.0,0.6017649367102998,1334812.2124569847,0.0032858045680124377,2746590.8780980622
bpi17_before,nsga2,2,5,Application_1025923370,A_Denied,User_29,0.3,352742.0,0.6,451618.0,0.04078399113590683,969084.011330839,0.29819566477462794,1816626.6237298278
bpi17_before,nsga2,2,5,Application_1030024656,A_Validating,User_109,0.6,641760.0,0.4,1274090.6,0.3354742042347896,1191570.2087617489,0.3354742042347896,1323714.196029451
bpi17_before,nsga2,2,5,Application_1030416681,A_Validating,User_21,0.9,633456.0,0.3,886007.4,0.7624558481673682,1266987.9081694807,0.3985292449398316,1753711.8887897902
bpi17_before,nsga2,2,5,Application_1031153001,A_Cancelled,User_1,0.0,0.0,0.7,981893.2,0.013858363452247615,2720149.382935575,0.5705868354229632,1242781.5801701786
bpi17_before,nsga2,2,5,Application_1033756531,A_Validating,User_48,0.6,665802.0,0.5,364390.6,0.4245079205648106,1466576.6822789207,0.4322456537149515,1482856.0323628066
bpi17_before,nsga2,2,5,Application_1034064300,A_Validating,User_109,0.9,350490.0,0.5,458448.2,0.6077862427204007,1055669.531342441,0.013141668282918698,609818.6132183018
bpi17_before,nsga2,2,5,Application_1038386825,A_Cancelled,User_68,0.0,0.0,0.6,52543.4,0.05163206456556833,600412.713419385,0.7286241679570626,1090026.5736029018
bpi17_before,nsga2,2,5,Application_1042621630,O_Cancelled,User_53,0.0,0.0,0.8,322946.5,0.5411393284789371,483655.05633723526,0.6835126578831406,628571.652258729
bpi17_before,nsga2,2,5,Application_1043223939,A_Cancelled,User_1,0.0,0.0,0.0,0.0,0.014150918862448127,2287772.8686113064,0.014150918862448127,2287772.8686113064
bpi17_before,nsga2,2,5,Application_1048806756,A_Cancelled,User_29,0.0,0.0,0.0,0.0,0.0616730505507648,895223.5957255289,0.3707219207503431,1428327.1716667921
bpi17_before,nsga2,2,5,Application_1049246293,A_Cancelled,User_36,0.0,0.0,0.6,1743051.2,0.03258439188736952,890366.955575193,0.3061670318724977,1432319.5859438651
bpi17_before,nsga2,2,5,Application_1049972821,A_Validating,User_109,0.7,547758.0,0.6,614260.2,0.3829728674696449,935376.5261042872,0.001546691942160965,2389057.586390429
bpi17_before,nsga2,2,5,Application_1051554620,O_Cancelled,User_1,0.0,0.0,0.7,547638.0,0.06372167551010806,1611088.8372668796,0.2385679599536604,1729151.7322418639
bpi17_before,nsga2,2,5,Application_1052613502,A_Cancelled,User_68,0.0,0.0,0.7,2187404.0,0.024043359080201037,1002441.419415716,0.5416547066948072,1118895.7774273332
bpi17_before,nsga2,2,5,Application_1053061342,A_Cancelled,User_21,0.0,0.0,0.4,666779.0,0.046963363139269944,832059.843420041,0.5363860002058101,1279747.9466049247
