case:concept:name,recommendation:act,recommendation:res,reason
Application_1136568641,A_Validating,User_60,not_reachable_from_replayed_prefix_marking
Application_983709263,A_Denied,User_53,not_reachable_from_replayed_prefix_marking
Application_333578134,A_Cancelled,User_60,not_reachable_from_replayed_prefix_marking
Application_1719668477,A_Validating,User_60,not_reachable_from_replayed_prefix_marking
Application_2082068141,A_Cancelled,User_60,not_reachable_from_replayed_prefix_marking
Application_1774753524,A_Validating,User_28,not_reachable_from_replayed_prefix_marking
Application_1890584729,A_Validating,User_21,not_reachable_from_replayed_prefix_marking
Application_825188863,A_Cancelled,User_60,not_reachable_from_replayed_prefix_marking
Application_778393530,A_Validating,User_29,not_reachable_from_replayed_prefix_marking
Application_1779483865,O_Create Offer,User_53,not_reachable_from_replayed_prefix_marking
Application_1206551699,A_Cancelled,User_60,not_reachable_from_replayed_prefix_marking
Application_631926508,O_Create Offer,User_100,not_reachable_from_replayed_prefix_marking
Application_1335456683,A_Cancelled,User_112,not_reachable_from_replayed_prefix_marking
Application_634611718,A_Cancelled,User_112,not_reachable_from_replayed_prefix_marking
Application_1182795681,A_Cancelled,User_60,not_reachable_from_replayed_prefix_marking
Application_1389644287,A_Cancelled,User_112,not_reachable_from_replayed_prefix_marking
Application_568657523,A_Cancelled,User_60,not_reachable_from_replayed_prefix_marking
Application_1352970596,W_Complete application,User_51,not_reachable_from_replayed_prefix_marking
Application_1555229754,A_Cancelled,User_60,not_reachable_from_replayed_prefix_marking
Application_571141074,A_Cancelled,User_112,not_reachable_from_replayed_prefix_marking
Application_1021365915,A_Cancelled,User_112,not_reachable_from_replayed_prefix_marking
Application_1620116853,A_Cancelled,User_112,not_reachable_from_replayed_prefix_marking
Application_1612124570,A_Cancelled,User_112,not_reachable_from_replayed_prefix_marking
Application_1068398029,A_Cancelled,User_112,not_reachable_from_replayed_prefix_marking
Application_317775008,A_Cancelled,User_112,not_reachable_from_replayed_prefix_marking
Application_699037232,A_Cancelled,User_60,not_reachable_from_replayed_prefix_marking
Application_831530055,A_Validating,User_21,not_reachable_from_replayed_prefix_marking
