case:concept:name,recommendation:act,recommendation:res,reason
Application_1497071850,W_Call incomplete files,User_60,not_reachable_from_replayed_prefix_marking
Application_423371990,W_Call incomplete files,User_60,not_reachable_from_replayed_prefix_marking
Application_1228722182,W_Call incomplete files,User_60,not_reachable_from_replayed_prefix_marking
Application_694086390,W_Call incomplete files,User_60,not_reachable_from_replayed_prefix_marking
Application_2037628374,W_Call incomplete files,User_60,not_reachable_from_replayed_prefix_marking
Application_510414837,W_Call incomplete files,User_60,not_reachable_from_replayed_prefix_marking
Application_1053321873,W_Call incomplete files,User_60,not_reachable_from_replayed_prefix_marking
Application_755070866,W_Call incomplete files,User_60,not_reachable_from_replayed_prefix_marking
Application_234107884,W_Call incomplete files,User_60,not_reachable_from_replayed_prefix_marking
Application_175766876,W_Call incomplete files,User_60,not_reachable_from_replayed_prefix_marking
Application_631926508,O_Create Offer,User_60,not_reachable_from_replayed_prefix_marking
Application_1359726788,W_Call incomplete files,User_60,not_reachable_from_replayed_prefix_marking
Application_1623509076,W_Call incomplete files,User_60,not_reachable_from_replayed_prefix_marking
Application_534041276,W_Call incomplete files,User_60,not_reachable_from_replayed_prefix_marking
Application_1261480447,W_Call incomplete files,User_60,not_reachable_from_replayed_prefix_marking
Application_1885469174,W_Call incomplete files,User_60,not_reachable_from_replayed_prefix_marking
Application_1389644287,W_Call incomplete files,User_60,not_reachable_from_replayed_prefix_marking
Application_1857619478,W_Call incomplete files,User_60,not_reachable_from_replayed_prefix_marking
Application_526102725,W_Call incomplete files,User_60,not_reachable_from_replayed_prefix_marking
Application_1132834033,W_Call incomplete files,User_60,not_reachable_from_replayed_prefix_marking
Application_2074797883,W_Call incomplete files,User_60,not_reachable_from_replayed_prefix_marking
Application_1949846024,W_Call incomplete files,User_60,not_reachable_from_replayed_prefix_marking
Application_1129276294,W_Call incomplete files,User_60,not_reachable_from_replayed_prefix_marking
Application_1195434598,W_Call incomplete files,User_60,not_reachable_from_replayed_prefix_marking
Application_525601378,W_Call incomplete files,User_60,not_reachable_from_replayed_prefix_marking
Application_850637249,O_Create Offer,User_60,not_reachable_from_replayed_prefix_marking
Application_1816608501,O_Create Offer,User_60,not_reachable_from_replayed_prefix_marking
Application_1442743235,O_Create Offer,User_60,not_reachable_from_replayed_prefix_marking
Application_1467390663,O_Create Offer,User_60,not_reachable_from_replayed_prefix_marking
Application_1341618264,O_Create Offer,User_60,not_reachable_from_replayed_prefix_marking
Application_1963573946,W_Assess potential fraud,User_138,not_reachable_from_replayed_prefix_marking
Application_1726483569,O_Create Offer,User_60,not_reachable_from_replayed_prefix_marking
