case:concept:name,recommendation:act,recommendation:res,reason
Application_1048806756,A_Cancelled,User_60,not_reachable_from_replayed_prefix_marking
Application_1136568641,A_Validating,User_39,not_reachable_from_replayed_prefix_marking
Application_983709263,A_Denied,User_53,not_reachable_from_replayed_prefix_marking
Application_843640997,A_Cancelled,User_60,not_reachable_from_replayed_prefix_marking
Application_1719668477,A_Validating,User_7,not_reachable_from_replayed_prefix_marking
Application_694086390,A_Cancelled,User_60,not_reachable_from_replayed_prefix_marking
Application_1464932336,A_Cancelled,User_102,not_reachable_from_replayed_prefix_marking
Application_145479769,A_Cancelled,User_102,not_reachable_from_replayed_prefix_marking
Application_1908110751,A_Cancelled,User_102,not_reachable_from_replayed_prefix_marking
Application_1774753524,A_Validating,User_60,not_reachable_from_replayed_prefix_marking
Application_1262548993,A_Cancelled,User_102,not_reachable_from_replayed_prefix_marking
Application_275583545,A_Cancelled,User_85,not_reachable_from_replayed_prefix_marking
Application_1890584729,A_Validating,User_60,not_reachable_from_replayed_prefix_marking
Application_1043223939,A_Cancelled,User_60,not_reachable_from_replayed_prefix_marking
Application_1506182020,A_Cancelled,User_39,not_reachable_from_replayed_prefix_marking
Application_631926508,A_Cancelled,User_60,not_reachable_from_replayed_prefix_marking
Application_634611718,A_Cancelled,User_17,not_reachable_from_replayed_prefix_marking
Application_1885469174,A_Cancelled,User_60,not_reachable_from_replayed_prefix_marking
Application_364658802,A_Validating,User_7,not_reachable_from_replayed_prefix_marking
Application_2074797883,A_Cancelled,User_102,not_reachable_from_replayed_prefix_marking
Application_711287867,A_Cancelled,User_102,not_reachable_from_replayed_prefix_marking
Application_1816608501,A_Cancelled,User_8,not_reachable_from_replayed_prefix_marking
Application_1612124570,A_Cancelled,User_8,not_reachable_from_replayed_prefix_marking
Application_1053998899,A_Cancelled,User_8,not_reachable_from_replayed_prefix_marking
Application_533465776,A_Cancelled,User_102,not_reachable_from_replayed_prefix_marking
Application_443644223,A_Cancelled,User_8,not_reachable_from_replayed_prefix_marking
Application_1956252093,A_Cancelled,User_39,not_reachable_from_replayed_prefix_marking
Application_1442743235,A_Cancelled,User_102,not_reachable_from_replayed_prefix_marking
Application_435727545,A_Cancelled,User_102,not_reachable_from_replayed_prefix_marking
Application_1467390663,A_Cancelled,User_60,not_reachable_from_replayed_prefix_marking
Application_1228813193,A_Cancelled,User_102,not_reachable_from_replayed_prefix_marking
Application_221972358,A_Cancelled,User_8,not_reachable_from_replayed_prefix_marking
Application_956215142,A_Incomplete,User_17,not_reachable_from_replayed_prefix_marking
Application_488496337,A_Cancelled,User_102,not_reachable_from_replayed_prefix_marking
Application_1205144249,A_Cancelled,User_7,not_reachable_from_replayed_prefix_marking
Application_606294488,A_Cancelled,User_102,not_reachable_from_replayed_prefix_marking
Application_1730972696,A_Cancelled,User_60,not_reachable_from_replayed_prefix_marking
Application_964901699,A_Cancelled,User_7,not_reachable_from_replayed_prefix_marking
Application_1383530613,A_Cancelled,User_60,not_reachable_from_replayed_prefix_marking
Application_256387624,A_Cancelled,User_60,not_reachable_from_replayed_prefix_marking
Application_949360290,A_Cancelled,User_60,not_reachable_from_replayed_prefix_marking
Application_1929631403,A_Cancelled,User_85,not_reachable_from_replayed_prefix_marking
Application_865318653,A_Cancelled,User_60,not_reachable_from_replayed_prefix_marking
Application_11785385,A_Cancelled,User_60,not_reachable_from_replayed_prefix_marking
Application_1967206176,A_Cancelled,User_7,not_reachable_from_replayed_prefix_marking
Application_831530055,A_Validating,User_60,not_reachable_from_replayed_prefix_marking
Application_1290192129,A_Cancelled,User_60,not_reachable_from_replayed_prefix_marking
Application_793183519,A_Cancelled,User_7,not_reachable_from_replayed_prefix_marking
