case:concept:name,Next_activity,Next_resource
Application_1003257895,O_Cancelled,User_60
Application_1005586643,O_Cancelled,User_60
Application_1006347888,O_Cancelled,User_60
Application_1006959642,O_Cancelled,User_60
Application_1007607428,O_Cancelled,User_60
Application_1009327734,O_Create Offer,User_53
Application_1009466765,O_Cancelled,User_60
Application_1011122543,O_Cancelled,User_60
Application_1012566167,O_Cancelled,User_60
Application_1014917757,O_Cancelled,User_60
Application_1015666669,O_Cancelled,User_60
Application_1017828639,O_Create Offer,User_53
Application_1018407971,O_Cancelled,User_60
Application_1018538193,O_Cancelled,User_60
Application_1019469082,O_Cancelled,User_60
Application_1019603677,O_Cancelled,User_60
Application_1021365915,O_Create Offer,User_60
Application_1023449033,O_Cancelled,User_60
Application_1024769381,O_Cancelled,User_60
Application_1025923370,O_Cancelled,User_60
Application_1030024656,A_Validating,User_60
Application_1030416681,O_Cancelled,User_60
Application_1031153001,O_Cancelled,User_60
Application_1033756531,O_Cancelled,User_60
Application_1034064300,O_Cancelled,User_60
Application_1038386825,O_Cancelled,User_60
Application_1042621630,W_Call incomplete files,User_60
Application_1043223939,O_Cancelled,User_60
Application_1048806756,O_Cancelled,User_60
Application_1049246293,O_Cancelled,User_60
Application_1049972821,O_Cancelled,User_60
Application_1051554620,A_Validating,User_60
Application_1052613502,O_Cancelled,User_60
Application_1053061342,O_Cancelled,User_60
Application_1053321873,W_Call incomplete files,User_60
Application_1053998899,O_Create Offer,User_60
Application_1056882365,O_Cancelled,User_60
Application_1057803878,O_Cancelled,User_60
Application_1059555811,O_Cancelled,User_60
Application_1061755455,O_Cancelled,User_60
Application_1062571933,O_Cancelled,User_60
Application_1064627620,O_Cancelled,User_60
Application_1067807240,O_Cancelled,User_60
Application_1067848631,O_Cancelled,User_60
Application_1068398029,O_Create Offer,User_60
Application_107006704,O_Cancelled,User_60
Application_1070668503,O_Cancelled,User_60
Application_1072222879,A_Validating,User_60
Application_1072363196,A_Incomplete,User_75
Application_1072478001,O_Cancelled,User_60
Application_1073868127,O_Cancelled,User_60
Application_1076081955,O_Cancelled,User_60
Application_1078909751,O_Cancelled,User_60
Application_1085126063,A_Accepted,User_60
Application_1086233807,O_Cancelled,User_60
Application_1089034603,A_Validating,User_60
Application_1089717788,O_Cancelled,User_60
Application_1091033446,O_Cancelled,User_60
Application_1091041991,O_Cancelled,User_60
Application_1091351729,O_Cancelled,User_60
Application_1091883536,A_Accepted,User_60
Application_1096345356,O_Cancelled,User_60
Application_1097190039,O_Cancelled,User_60
Application_109814885,A_Accepted,User_60
Application_1100173647,O_Cancelled,User_53
Application_1100597277,O_Cancelled,User_60
Application_1104335525,O_Cancelled,User_60
Application_1104955032,O_Cancelled,User_60
Application_1107241983,O_Cancelled,User_60
Application_1111458873,A_Accepted,User_60
Application_1113168636,A_Accepted,User_60
Application_1115931571,A_Validating,User_60
Application_1116524301,O_Cancelled,User_60
Application_1116993944,O_Cancelled,User_60
Application_1119407054,O_Cancelled,User_60
Application_1121197235,O_Create Offer,User_60
Application_1122983853,O_Cancelled,User_60
Application_1126832024,O_Cancelled,User_60
Application_1127250936,O_Cancelled,User_60
Application_1127956985,O_Cancelled,User_60
Application_1129276294,W_Call incomplete files,User_60
Application_1131111908,O_Cancelled,User_60
Application_1131263580,O_Cancelled,User_60
Application_1132834033,W_Call incomplete files,User_60
Application_1133030829,O_Cancelled,User_60
Application_1136323889,O_Cancelled,User_60
Application_1136568641,O_Cancelled,User_60
Application_1139959523,O_Cancelled,User_60
Application_1142548986,O_Cancelled,User_60
Application_1143217229,A_Accepted,User_60
Application_1143890425,O_Cancelled,User_60
Application_1144672891,O_Cancelled,User_60
Application_1149655953,O_Cancelled,User_60
Application_1150495041,O_Cancelled,User_60
Application_1152955170,O_Cancelled,User_60
Application_1154252514,A_Validating,User_60
Application_1155070210,A_Validating,User_60
Application_1157728848,O_Cancelled,User_60
Application_1158871047,O_Cancelled,User_60
Application_1160839680,O_Cancelled,User_60
Application_116364671,O_Cancelled,User_60
Application_116416466,O_Cancelled,User_60
Application_1166230182,A_Validating,User_60
Application_1166306573,O_Cancelled,User_60
Application_1167813329,A_Accepted,User_60
Application_1168708378,O_Cancelled,User_60
Application_1169258361,O_Cancelled,User_60
Application_1169725538,O_Cancelled,User_53
Application_117027249,A_Validating,User_60
Application_117449589,O_Cancelled,User_60
Application_11785385,O_Create Offer,User_60
Application_1182795681,O_Cancelled,User_60
Application_1192159171,A_Accepted,User_60
Application_1194303360,O_Cancelled,User_60
Application_1195434598,W_Call incomplete files,User_60
Application_1205144249,O_Create Offer,User_60
Application_1206188048,O_Cancelled,User_60
Application_1206551699,A_Validating,User_60
Application_1206679861,A_Validating,User_60
Application_1207230380,O_Cancelled,User_60
Application_120793083,O_Cancelled,User_60
Application_1209676119,O_Cancelled,User_60
Application_1213916582,O_Cancelled,User_60
Application_121641518,O_Cancelled,User_60
Application_121729357,A_Validating,User_60
Application_1218695611,O_Cancelled,User_60
Application_1219772874,A_Validating,User_60
Application_1225687747,O_Cancelled,User_60
Application_1227690400,O_Cancelled,User_60
Application_1228722182,W_Call incomplete files,User_60
Application_1228813193,O_Create Offer,User_60
Application_1229707182,O_Cancelled,User_60
Application_1237040955,O_Cancelled,User_60
Application_1237983321,O_Cancelled,User_60
Application_1238132318,O_Cancelled,User_60
Application_1238606249,O_Cancelled,User_60
Application_1241541074,O_Cancelled,User_60
Application_1242496593,W_Call incomplete files,User_60
Application_1245226697,O_Cancelled,User_53
Application_1248061466,O_Cancelled,User_60
Application_1250179725,O_Cancelled,User_60
Application_1252245787,O_Cancelled,User_60
Application_1255041116,O_Cancelled,User_60
Application_1257348081,O_Cancelled,User_60
Application_1261480447,W_Call incomplete files,User_60
Application_1262350889,O_Cancelled,User_53
Application_1262548993,O_Create Offer,User_53
Application_126523834,O_Cancelled,User_60
Application_1265495164,O_Cancelled,User_60
Application_1266086453,O_Cancelled,User_60
Application_1266450550,O_Cancelled,User_60
Application_1268626834,A_Validating,User_60
Application_1271823802,A_Validating,User_60
Application_1278510625,O_Cancelled,User_60
Application_1278888452,O_Cancelled,User_60
Application_127926903,O_Cancelled,User_60
Application_1280427249,O_Cancelled,User_60
Application_1280500254,A_Validating,User_60
Application_1281205543,O_Cancelled,User_60
Application_1283592554,O_Cancelled,User_60
Application_1284796330,O_Cancelled,User_60
Application_1285125915,O_Cancelled,User_60
Application_1285655984,O_Cancelled,User_60
Application_1287947132,O_Cancelled,User_60
Application_1289259959,A_Accepted,User_60
Application_1290192129,A_Incomplete,User_75
Application_1291870846,O_Cancelled,User_60
Application_1292006843,O_Cancelled,User_60
Application_1292956867,O_Cancelled,User_60
Application_1293565393,O_Cancelled,User_60
Application_1294994633,O_Cancelled,User_60
Application_129913687,O_Cancelled,User_60
Application_1300146313,O_Cancelled,User_60
Application_1301618471,O_Cancelled,User_60
Application_1305019755,O_Cancelled,User_60
Application_1307267305,O_Cancelled,User_60
Application_1308123155,O_Cancelled,User_60
Application_1308473984,A_Validating,User_60
Application_131073860,O_Cancelled,User_60
Application_131125706,O_Cancelled,User_60
Application_1311947055,O_Cancelled,User_60
Application_1312170166,O_Cancelled,User_60
Application_1314908281,O_Cancelled,User_60
Application_1315999339,A_Accepted,User_60
Application_1316571687,O_Cancelled,User_60
Application_132049146,O_Cancelled,User_60
Application_1323431247,O_Cancelled,User_60
Application_1327704129,O_Cancelled,User_60
Application_1329924305,A_Validating,User_60
Application_1330910876,O_Cancelled,User_60
Application_1331108450,A_Validating,User_60
Application_1332541697,O_Cancelled,User_60
Application_1335456683,A_Validating,User_60
Application_1336478747,O_Cancelled,User_60
Application_1341618264,O_Create Offer,User_60
Application_1342079196,O_Cancelled,User_60
Application_1344635275,A_Validating,User_60
Application_1347338076,O_Cancelled,User_60
Application_1348888499,O_Create Offer,User_60
Application_1349233572,O_Cancelled,User_60
Application_1352970596,A_Validating,User_60
Application_1354242264,O_Cancelled,User_60
Application_1355525986,O_Cancelled,User_60
Application_1356584653,A_Validating,User_60
Application_1359216041,A_Accepted,User_60
Application_1359726788,W_Call incomplete files,User_60
Application_136173194,O_Cancelled,User_60
Application_1363613938,O_Cancelled,User_60
Application_136602171,O_Cancelled,User_60
Application_1366581099,O_Cancelled,User_60
Application_1366595744,O_Cancelled,User_60
Application_1366846671,O_Cancelled,User_60
Application_1368044115,O_Cancelled,User_60
Application_1368065414,O_Cancelled,User_60
Application_1368977339,O_Cancelled,User_60
Application_1369825234,O_Cancelled,User_60
Application_1371149184,O_Cancelled,User_60
Application_1377673225,O_Cancelled,User_60
Application_1377765652,O_Cancelled,User_60
Application_1378387508,A_Validating,User_60
Application_1378798475,O_Cancelled,User_60
Application_1379173026,O_Cancelled,User_60
Application_1380868781,O_Cancelled,User_60
Application_1382399727,A_Accepted,User_60
Application_1383522757,O_Cancelled,User_60
Application_1383530613,O_Create Offer,User_53
Application_1383675481,O_Cancelled,User_60
Application_1386012914,O_Cancelled,User_60
Application_1387809089,O_Cancelled,User_60
Application_1389644287,W_Call incomplete files,User_60
Application_1389705988,W_Call incomplete files,User_60
Application_1391177014,A_Validating,User_60
Application_1391922975,O_Cancelled,User_60
Application_1392744244,A_Validating,User_60
Application_139314774,O_Cancelled,User_60
Application_1393793184,O_Cancelled,User_60
Application_1397177996,A_Accepted,User_60
Application_1397232541,O_Cancelled,User_60
Application_1398445330,O_Cancelled,User_60
Application_1398793539,O_Cancelled,User_60
Application_1400486786,O_Cancelled,User_60
Application_1400830743,O_Cancelled,User_60
Application_1401288440,A_Validating,User_60
Application_140236565,O_Cancelled,User_60
Application_1402552153,O_Cancelled,User_60
Application_1406102147,O_Cancelled,User_60
Application_1406423932,O_Cancelled,User_60
Application_1413432922,O_Cancelled,User_60
Application_1414262200,O_Cancelled,User_60
Application_1423390020,O_Cancelled,User_60
Application_1423903152,O_Cancelled,User_60
Application_1424505326,O_Cancelled,User_60
Application_1426042949,A_Accepted,User_60
Application_1431291004,A_Accepted,User_60
Application_1433728315,O_Cancelled,User_60
Application_1433932097,A_Accepted,User_60
Application_1437292525,O_Cancelled,User_60
Application_1437733107,O_Create Offer,User_60
Application_1437838501,O_Cancelled,User_60
Application_1442043587,O_Create Offer,User_60
Application_1442707430,O_Cancelled,User_60
Application_1442743235,O_Create Offer,User_60
Application_1442859871,O_Cancelled,User_60
Application_1445624231,O_Cancelled,User_60
Application_1447169405,O_Cancelled,User_60
Application_1449015953,O_Cancelled,User_60
Application_1453416633,O_Cancelled,User_60
Application_145479769,O_Cancelled,User_60
Application_1455219594,O_Cancelled,User_60
Application_145614122,O_Cancelled,User_60
Application_1456197334,A_Accepted,User_60
Application_145673691,A_Accepted,User_60
Application_145943194,O_Cancelled,User_60
Application_1459565304,O_Cancelled,User_60
Application_1460064458,O_Cancelled,User_60
Application_1460077602,O_Cancelled,User_60
Application_1461429645,A_Validating,User_60
Application_1461650968,O_Cancelled,User_60
Application_1464932336,O_Cancelled,User_60
Application_1465837360,A_Validating,User_60
Application_1467390663,O_Create Offer,User_60
Application_1468317116,O_Cancelled,User_60
Application_1470446509,O_Cancelled,User_60
Application_1474144091,O_Cancelled,User_53
Application_1474761909,O_Cancelled,User_60
Application_1475131206,O_Cancelled,User_60
Application_1481555746,A_Validating,User_60
Application_1481699232,O_Cancelled,User_60
Application_1483370714,O_Cancelled,User_60
Application_1484280125,O_Cancelled,User_60
Application_1485872413,O_Cancelled,User_60
Application_1486025008,O_Cancelled,User_60
Application_1486836461,A_Validating,User_60
Application_148729229,O_Create Offer,User_60
Application_1488933214,O_Cancelled,User_60
Application_1495511119,O_Cancelled,User_60
Application_1496592829,O_Cancelled,User_60
Application_1497071850,W_Call incomplete files,User_60
Application_1497210357,A_Accepted,User_60
Application_1497423600,O_Cancelled,User_60
Application_1498852039,O_Cancelled,User_60
Application_1499077406,O_Cancelled,User_60
Application_1499191765,O_Cancelled,User_60
Application_1499770935,O_Cancelled,User_60
Application_150041336,O_Cancelled,User_60
Application_1501335173,A_Accepted,User_60
Application_1501706962,O_Cancelled,User_60
Application_1504753021,O_Cancelled,User_60
Application_1505681170,O_Cancelled,User_60
Application_1506182020,W_Call incomplete files,User_60
Application_1507560449,A_Accepted,User_60
Application_1507847905,W_Call incomplete files,User_60
Application_1508411195,O_Cancelled,User_60
Application_1508469719,O_Cancelled,User_60
Application_1510685409,O_Cancelled,User_60
Application_1512331067,O_Cancelled,User_60
Application_1515175359,A_Accepted,User_60
Application_1515669954,O_Create Offer,User_53
Application_1517745031,O_Cancelled,User_60
Application_1517805334,O_Cancelled,User_60
Application_1518691055,O_Cancelled,User_60
Application_1519307177,O_Cancelled,User_60
Application_1524980199,A_Validating,User_60
Application_1526559453,O_Cancelled,User_60
Application_152677835,O_Cancelled,User_60
Application_152693083,A_Accepted,User_60
Application_1527986766,A_Validating,User_60
Application_1527993766,O_Cancelled,User_60
Application_1529354680,O_Cancelled,User_60
Application_1532233038,O_Cancelled,User_60
Application_1533302760,O_Cancelled,User_60
Application_153423780,A_Validating,User_60
Application_1536004894,A_Accepted,User_60
Application_1538129293,O_Cancelled,User_60
Application_1538131961,O_Cancelled,User_60
Application_153968095,O_Cancelled,User_60
Application_1540261130,O_Cancelled,User_60
Application_1540988654,O_Cancelled,User_60
Application_1541874294,O_Cancelled,User_60
Application_1543050317,A_Validating,User_60
Application_1548848821,O_Cancelled,User_60
Application_1552337149,O_Cancelled,User_60
Application_1552373930,W_Assess potential fraud,User_138
Application_1554928307,O_Cancelled,User_60
Application_1555229754,O_Create Offer,User_60
Application_1555572507,O_Create Offer,User_60
Application_1556045942,O_Cancelled,User_60
Application_1556330253,O_Cancelled,User_60
Application_1557962266,O_Cancelled,User_60
Application_1560388677,O_Cancelled,User_60
Application_1563010304,O_Cancelled,User_60
Application_1563442669,O_Cancelled,User_60
Application_156690336,O_Cancelled,User_60
Application_1567155167,O_Create Offer,User_60
Application_1567796271,O_Cancelled,User_60
Application_1567894569,W_Assess potential fraud,User_138
Application_1568283697,O_Cancelled,User_60
Application_1568847798,O_Cancelled,User_60
Application_1569156673,O_Cancelled,User_60
Application_157101926,O_Cancelled,User_60
Application_1572099344,O_Cancelled,User_60
Application_1572847379,O_Cancelled,User_60
Application_1574666956,O_Cancelled,User_60
Application_1575429255,A_Incomplete,User_75
Application_1576455879,O_Cancelled,User_60
Application_1581286194,A_Incomplete,User_75
Application_1582126646,A_Validating,User_60
Application_1586014327,O_Cancelled,User_60
Application_1588502303,O_Cancelled,User_53
Application_1590046911,A_Validating,User_60
Application_1590922232,O_Cancelled,User_60
Application_1591827409,A_Validating,User_60
Application_1593334678,A_Accepted,User_60
Application_1596977845,O_Create Offer,User_60
Application_1597571599,O_Cancelled,User_60
Application_1600137092,O_Cancelled,User_60
Application_1601392433,O_Cancelled,User_60
Application_1602939504,O_Cancelled,User_60
Application_1603857838,O_Cancelled,User_60
Application_1604182310,O_Cancelled,User_60
Application_160568748,O_Cancelled,User_60
Application_1606851994,O_Cancelled,User_60
Application_1608683443,O_Cancelled,User_60
Application_1609918816,O_Cancelled,User_60
Application_161175780,A_Accepted,User_60
Application_1612124570,O_Create Offer,User_60
Application_1612352684,O_Cancelled,User_60
Application_1612566646,O_Cancelled,User_60
Application_1615252785,O_Cancelled,User_60
Application_1619878986,O_Cancelled,User_60
Application_1620116853,O_Create Offer,User_60
Application_1623509076,W_Call incomplete files,User_60
Application_1626377486,O_Cancelled,User_60
Application_1626515404,O_Cancelled,User_60
Application_1627664369,O_Cancelled,User_60
Application_1639647605,A_Accepted,User_60
Application_1642342758,O_Cancelled,User_60
Application_1643735217,A_Validating,User_60
Application_1643891602,O_Cancelled,User_60
Application_1645315848,O_Cancelled,User_60
Application_164664961,O_Cancelled,User_60
Application_1647019329,O_Cancelled,User_60
Application_1648426839,A_Validating,User_60
Application_1649995897,W_Call incomplete files,User_60
Application_1653948637,A_Validating,User_60
Application_1655984883,O_Cancelled,User_60
Application_1657679208,O_Cancelled,User_60
Application_1657704546,A_Accepted,User_60
Application_1658351580,O_Cancelled,User_60
Application_1659132262,O_Cancelled,User_60
Application_1662465317,O_Cancelled,User_60
Application_1664698134,O_Cancelled,User_60
Application_1666176195,O_Cancelled,User_60
Application_1670218780,O_Cancelled,User_60
Application_1673082404,O_Cancelled,User_60
Application_1677934167,O_Cancelled,User_60
Application_1679283534,O_Create Offer,User_60
Application_1679836886,O_Cancelled,User_60
Application_1680549316,O_Cancelled,User_60
Application_1681144807,O_Cancelled,User_60
Application_1684448331,O_Cancelled,User_60
Application_1684875314,O_Cancelled,User_60
Application_1685492750,O_Cancelled,User_60
Application_1688338087,O_Cancelled,User_60
Application_1691960420,O_Cancelled,User_60
Application_1695771209,O_Cancelled,User_60
Application_1696190710,O_Cancelled,User_60
