case:concept:name,Next_activity,Next_resource
Application_1003257895,A_Denied,User_68
Application_1005586643,A_Cancelled,User_1
Application_1006347888,A_Cancelled,User_1
Application_1006959642,A_Cancelled,User_1
Application_1007607428,A_Cancelled,User_1
Application_1009327734,O_Returned,User_102
Application_1009466765,A_Cancelled,User_1
Application_1011122543,A_Cancelled,User_1
Application_1012566167,A_Cancelled,User_1
Application_1014917757,A_Cancelled,User_1
Application_1015666669,A_Cancelled,User_1
Application_1017828639,O_Returned,User_68
Application_1018407971,A_Cancelled,User_1
Application_1018538193,A_Cancelled,User_1
Application_1019469082,A_Cancelled,User_1
Application_1019603677,A_Cancelled,User_1
Application_1021365915,A_Cancelled,User_1
Application_1023449033,A_Cancelled,User_1
Application_1024769381,A_Cancelled,User_1
Application_1025923370,A_Cancelled,User_1
Application_1030024656,A_Cancelled,User_1
Application_1030416681,A_Cancelled,User_1
Application_1031153001,A_Cancelled,User_1
Application_1033756531,A_Cancelled,User_1
Application_1034064300,A_Cancelled,User_1
Application_1038386825,A_Cancelled,User_1
Application_1042621630,W_Call incomplete files,User_14
Application_1043223939,O_Cancelled,User_1
Application_1048806756,A_Cancelled,User_1
Application_1049246293,A_Cancelled,User_1
Application_1049972821,A_Cancelled,User_1
Application_1051554620,A_Cancelled,User_1
Application_1052613502,O_Cancelled,User_1
Application_1053061342,A_Cancelled,User_1
Application_1053321873,O_Returned,User_121
Application_1053998899,O_Returned,User_100
Application_1056882365,A_Cancelled,User_1
Application_1057803878,A_Cancelled,User_1
Application_1059555811,A_Cancelled,User_1
Application_1061755455,A_Cancelled,User_1
Application_1062571933,A_Cancelled,User_1
Application_1064627620,A_Cancelled,User_1
Application_1067807240,A_Cancelled,User_1
Application_1067848631,A_Cancelled,User_1
Application_1068398029,A_Cancelled,User_1
Application_107006704,A_Cancelled,User_1
Application_1070668503,A_Cancelled,User_1
Application_1072222879,A_Cancelled,User_1
Application_1072363196,A_Incomplete,User_75
Application_1072478001,A_Cancelled,User_1
Application_1073868127,A_Cancelled,User_1
Application_1076081955,A_Cancelled,User_1
Application_1078909751,A_Cancelled,User_1
Application_1085126063,A_Accepted,User_7
Application_1086233807,A_Cancelled,User_1
Application_1089034603,A_Cancelled,User_1
Application_1089717788,A_Cancelled,User_1
Application_1091033446,A_Cancelled,User_1
Application_1091041991,A_Cancelled,User_1
Application_1091351729,A_Cancelled,User_1
Application_1091883536,A_Accepted,User_51
Application_1096345356,A_Cancelled,User_1
Application_1097190039,A_Cancelled,User_1
Application_109814885,A_Accepted,User_7
Application_1100173647,W_Call incomplete files,User_100
Application_1100597277,A_Cancelled,User_1
Application_1104335525,O_Sent (online only),User_109
Application_1104955032,A_Cancelled,User_1
Application_1107241983,A_Cancelled,User_1
Application_1111458873,A_Accepted,User_7
Application_1113168636,A_Accepted,User_7
Application_1115931571,A_Validating,User_68
Application_1116524301,A_Cancelled,User_1
Application_1116993944,A_Cancelled,User_1
Application_1119407054,A_Cancelled,User_1
Application_1121197235,A_Incomplete,User_121
Application_1122983853,A_Cancelled,User_1
Application_1126832024,A_Cancelled,User_1
Application_1127250936,A_Cancelled,User_1
Application_1127956985,A_Cancelled,User_1
Application_1129276294,W_Call incomplete files,User_75
Application_1131111908,A_Cancelled,User_1
Application_1131263580,A_Cancelled,User_1
Application_1132834033,O_Returned,User_121
Application_1133030829,A_Cancelled,User_1
Application_1136323889,A_Cancelled,User_1
Application_1136568641,O_Cancelled,User_1
Application_1139959523,A_Cancelled,User_1
Application_1142548986,O_Returned,User_68
Application_1143217229,A_Accepted,User_53
Application_1143890425,A_Cancelled,User_1
Application_1144672891,W_Call incomplete files,User_100
Application_1149655953,A_Cancelled,User_1
Application_1150495041,A_Cancelled,User_1
Application_1152955170,A_Cancelled,User_1
Application_1154252514,A_Cancelled,User_1
Application_1155070210,A_Cancelled,User_1
Application_1157728848,A_Cancelled,User_1
Application_1158871047,A_Cancelled,User_1
Application_1160839680,A_Denied,User_53
Application_116364671,A_Cancelled,User_1
Application_116416466,A_Cancelled,User_1
Application_1166230182,A_Cancelled,User_1
Application_1166306573,A_Cancelled,User_1
Application_1167813329,A_Accepted,User_53
Application_1168708378,A_Cancelled,User_1
Application_1169258361,A_Denied,User_53
Application_1169725538,W_Call incomplete files,User_100
Application_117027249,A_Cancelled,User_1
Application_117449589,A_Cancelled,User_1
Application_11785385,A_Cancelled,User_7
Application_1182795681,O_Cancelled,User_1
Application_1192159171,A_Accepted,User_51
Application_1194303360,A_Cancelled,User_1
Application_1195434598,W_Call incomplete files,User_100
Application_1205144249,O_Returned,User_100
Application_1206188048,W_Call incomplete files,User_102
Application_1206551699,A_Cancelled,User_1
Application_1206679861,A_Cancelled,User_1
Application_1207230380,A_Cancelled,User_1
Application_120793083,A_Cancelled,User_1
Application_1209676119,A_Cancelled,User_1
Application_1213916582,A_Cancelled,User_1
Application_121641518,A_Cancelled,User_1
Application_121729357,A_Cancelled,User_1
Application_1218695611,A_Cancelled,User_1
Application_1219772874,A_Cancelled,User_1
Application_1225687747,A_Cancelled,User_1
Application_1227690400,A_Cancelled,User_1
Application_1228722182,O_Returned,User_121
Application_1228813193,O_Returned,User_100
Application_1229707182,A_Cancelled,User_1
Application_1237040955,A_Cancelled,User_1
Application_1237983321,A_Cancelled,User_1
Application_1238132318,A_Cancelled,User_1
Application_1238606249,A_Cancelled,User_1
Application_1241541074,A_Cancelled,User_1
Application_1242496593,W_Call incomplete files,User_30
Application_1245226697,A_Cancelled,User_1
Application_1248061466,A_Cancelled,User_1
Application_1250179725,A_Cancelled,User_1
Application_1252245787,A_Cancelled,User_1
Application_1255041116,A_Cancelled,User_1
Application_1257348081,A_Cancelled,User_1
Application_1261480447,W_Call incomplete files,User_36
Application_1262350889,W_Call incomplete files,User_100
Application_1262548993,O_Returned,User_75
Application_126523834,A_Cancelled,User_1
Application_1265495164,A_Cancelled,User_1
Application_1266086453,A_Cancelled,User_1
Application_1266450550,A_Cancelled,User_1
Application_1268626834,A_Cancelled,User_1
Application_1271823802,A_Cancelled,User_1
Application_1278510625,A_Cancelled,User_1
Application_1278888452,A_Cancelled,User_1
Application_127926903,A_Cancelled,User_1
Application_1280427249,A_Cancelled,User_1
Application_1280500254,A_Cancelled,User_1
Application_1281205543,O_Cancelled,User_1
Application_1283592554,A_Cancelled,User_1
Application_1284796330,A_Cancelled,User_1
Application_1285125915,A_Cancelled,User_1
Application_1285655984,A_Cancelled,User_1
Application_1287947132,A_Cancelled,User_1
Application_1289259959,A_Accepted,User_21
Application_1290192129,O_Returned,User_68
Application_1291870846,A_Cancelled,User_1
Application_1292006843,A_Cancelled,User_1
Application_1292956867,A_Cancelled,User_1
Application_1293565393,A_Cancelled,User_1
Application_1294994633,A_Cancelled,User_1
Application_129913687,A_Cancelled,User_1
Application_1300146313,A_Cancelled,User_1
Application_1301618471,A_Cancelled,User_1
Application_1305019755,A_Cancelled,User_1
Application_1307267305,A_Cancelled,User_1
Application_1308123155,A_Cancelled,User_1
Application_1308473984,A_Cancelled,User_1
Application_131073860,A_Cancelled,User_1
Application_131125706,A_Cancelled,User_1
Application_1311947055,A_Cancelled,User_1
Application_1312170166,W_Call incomplete files,User_100
Application_1314908281,A_Cancelled,User_1
Application_1315999339,A_Accepted,User_51
Application_1316571687,A_Cancelled,User_1
Application_132049146,A_Cancelled,User_1
Application_1323431247,A_Cancelled,User_1
Application_1327704129,A_Cancelled,User_1
Application_1329924305,A_Cancelled,User_1
Application_1330910876,A_Cancelled,User_1
Application_1331108450,A_Cancelled,User_1
Application_1332541697,A_Cancelled,User_1
Application_1335456683,A_Cancelled,User_1
Application_1336478747,A_Cancelled,User_1
Application_1341618264,O_Returned,User_100
Application_1342079196,O_Cancelled,User_1
Application_1344635275,A_Cancelled,User_1
Application_1347338076,A_Cancelled,User_1
Application_1348888499,A_Incomplete,User_46
Application_1349233572,A_Cancelled,User_1
Application_1352970596,A_Validating,User_68
Application_1354242264,A_Cancelled,User_1
Application_1355525986,A_Cancelled,User_1
Application_1356584653,A_Cancelled,User_1
Application_1359216041,A_Accepted,User_21
Application_1359726788,W_Call incomplete files,User_16
Application_136173194,A_Cancelled,User_1
Application_1363613938,A_Cancelled,User_1
Application_136602171,A_Cancelled,User_1
Application_1366581099,A_Cancelled,User_1
Application_1366595744,A_Cancelled,User_1
Application_1366846671,A_Cancelled,User_1
Application_1368044115,A_Cancelled,User_1
Application_1368065414,A_Cancelled,User_1
Application_1368977339,A_Cancelled,User_1
Application_1369825234,A_Cancelled,User_1
Application_1371149184,W_Call incomplete files,User_36
Application_1377673225,A_Cancelled,User_1
Application_1377765652,A_Cancelled,User_1
Application_1378387508,A_Cancelled,User_1
Application_1378798475,A_Cancelled,User_1
Application_1379173026,A_Cancelled,User_1
Application_1380868781,A_Cancelled,User_1
Application_1382399727,A_Accepted,User_21
Application_1383522757,A_Cancelled,User_1
Application_1383530613,O_Returned,User_100
Application_1383675481,A_Cancelled,User_1
Application_1386012914,A_Cancelled,User_1
Application_1387809089,A_Cancelled,User_1
Application_1389644287,W_Call incomplete files,User_70
Application_1389705988,W_Call incomplete files,User_39
Application_1391177014,A_Cancelled,User_1
Application_1391922975,A_Denied,User_68
Application_1392744244,A_Cancelled,User_1
Application_139314774,A_Cancelled,User_1
Application_1393793184,A_Cancelled,User_1
Application_1397177996,A_Accepted,User_51
Application_1397232541,A_Cancelled,User_1
Application_1398445330,A_Cancelled,User_1
Application_1398793539,A_Cancelled,User_102
Application_1400486786,W_Call incomplete files,User_36
Application_1400830743,A_Cancelled,User_1
Application_1401288440,A_Cancelled,User_1
Application_140236565,A_Cancelled,User_1
Application_1402552153,A_Cancelled,User_1
Application_1406102147,A_Cancelled,User_1
Application_1406423932,A_Cancelled,User_1
Application_1413432922,A_Cancelled,User_1
Application_1414262200,A_Cancelled,User_1
Application_1423390020,A_Cancelled,User_1
Application_1423903152,A_Cancelled,User_1
Application_1424505326,A_Cancelled,User_1
Application_1426042949,A_Accepted,User_51
Application_1431291004,A_Accepted,User_21
Application_1433728315,A_Cancelled,User_1
Application_1433932097,A_Accepted,User_53
Application_1437292525,A_Cancelled,User_1
Application_1437733107,A_Cancelled,User_48
Application_1437838501,A_Cancelled,User_1
Application_1442043587,A_Cancelled,User_18
Application_1442707430,A_Cancelled,User_1
Application_1442743235,O_Returned,User_100
Application_1442859871,A_Cancelled,User_1
Application_1445624231,A_Cancelled,User_1
Application_1447169405,A_Cancelled,User_1
Application_1449015953,A_Cancelled,User_1
Application_1453416633,A_Cancelled,User_1
Application_145479769,W_Call incomplete files,User_21
Application_1455219594,A_Cancelled,User_1
Application_145614122,A_Cancelled,User_1
Application_1456197334,A_Accepted,User_53
Application_145673691,A_Accepted,User_51
Application_145943194,A_Cancelled,User_1
Application_1459565304,A_Cancelled,User_1
Application_1460064458,A_Cancelled,User_1
Application_1460077602,A_Cancelled,User_1
