case:concept:name,rec_act,rec_res,any_first_batch_match_in_10,appears_anywhere_in_10,path_found_depth_le_200
201810001660,Request completed with account closure,BOC,True,True,
201810002650,Pending Request for Reservation Closure,BOCSER,True,True,
201810006512,Pending Request for Reservation Closure,BOC,True,True,
201810008108,Request completed with account closure,BOC,True,True,
201810008268,Service closure Request with BO responsibility,00829,True,True,
201810008485,Pending Request for Reservation Closure,BOC,True,True,
201810008899,Request completed with account closure,BOC,True,True,
20181000902,Pending Request for Reservation Closure,BOC,True,True,
201810010740,Pending Request for Reservation Closure,SDC,True,True,
201810011081,Service closure Request with BO responsibility,00835,True,True,
201810011583,Service closure Request with BO responsibility,00835,True,True,
20181012611,Pending Request for Reservation Closure,BOC,True,True,
20181013679,Pending Request for Reservation Closure,BOCSER,True,True,
201811000205,Service closure Request with BO responsibility,00829,True,True,
201811001580,Service closure Request with BO responsibility,00829,True,True,
201811001889,Service closure Request with BO responsibility,00837,True,True,
201811002881,Service closure Request with BO responsibility,00842,True,True,
201811003327,Pending Request for Reservation Closure,BOC,True,True,
201811003911,Pending Request for Reservation Closure,SDCRAP,True,True,
201811004163,Pending Request for Reservation Closure,BOC,True,True,
201811004205,Pending Request for Reservation Closure,BOCSER,True,True,
201811004338,Service closure Request with BO responsibility,00849,True,True,
201811005226,Pending Request for Reservation Closure,BOCSER,True,True,
201811005422,Pending Request for Reservation Closure,BOC,True,True,
201811005747,Pending Request for acquittance of heirs,BOC,True,True,
201811005954,Service closure Request with BO responsibility,00837,True,True,
201811006467,Request completed with account closure,BOC,True,True,
201811006674,Evaluating Request (WITH registered letter),00045,True,True,
201811006982,Request completed with account closure,BOC,True,True,
201811007401,Evaluating Request (WITH registered letter),00594,True,True,
201811008100,Pending Request for Reservation Closure,SDCRAP,True,True,
201811008330,Pending Request for Reservation Closure,BOCSER,True,True,
201811008338,Pending Request for Reservation Closure,BOC,True,True,
201811008394,Pending Request for acquittance of heirs,BOC,True,True,
201811008598,Pending Request for Reservation Closure,BOC,True,True,
201811008631,Evaluating Request (WITH registered letter),00147,True,True,
201811008634,Pending Request for Reservation Closure,BOC,True,True,
201811009132,Service closure Request with network responsibility,00501,True,True,
201811009434,Authorization Requested,00594,True,True,
201811009590,Request completed with account closure,BOC,True,True,
201811009800,Pending Request for Reservation Closure,BOC,True,True,
201811010119,Pending Request for acquittance of heirs,BOC,True,True,
201811010142,Request completed with account closure,BOC,True,True,
201811010681,Pending Request for Reservation Closure,BOCSER,True,True,
201811010732,Pending Request for Reservation Closure,BOC,True,True,
201811011699,Service closure Request with BO responsibility,00829,True,True,
201811011715,Service closure Request with BO responsibility,00829,True,True,
201811011742,Pending Request for Reservation Closure,BOCSER,True,True,
201811011907,Service closure Request with BO responsibility,00829,True,True,
201811011916,Pending Request for Reservation Closure,BOC,True,True,
201812000179,Service closure Request with BO responsibility,00842,True,True,
201812000181,Service closure Request with BO responsibility,00842,True,True,
201812000186,Service closure Request with BO responsibility,00829,True,True,
201812000605,Pending Request for Reservation Closure,BOC,True,True,
201812000606,Pending Request for Reservation Closure,BOC,True,True,
201812000900,Pending Request for Reservation Closure,BOC,True,True,
201812002344,Evaluating Request (WITH registered letter),00594,True,True,
201812002552,Pending Request for Reservation Closure,BOC,True,True,
201812002630,Pending Request for Reservation Closure,BOCSER,True,True,
201812002677,Pending Request for Reservation Closure,BOCSER,True,True,
201812002837,Pending Request for Reservation Closure,BOC,True,True,
201812002893,Service closure Request with BO responsibility,00842,True,True,
201812003039,Service closure Request with BO responsibility,00829,True,True,
201812003088,Pending Request for Reservation Closure,BOC,True,True,
201812003287,Pending Request for acquittance of heirs,BOC,True,True,
201812004065,Request completed with account closure,BOC,True,True,
201812004155,Pending Request for Reservation Closure,BOC,True,True,
201812004198,Request completed with account closure,BOC,True,True,
201812004271,Service closure Request with BO responsibility,00842,True,True,
201812004422,Pending Request for Reservation Closure,BOCSER,True,True,
201812004433,Pending Request for Reservation Closure,BOC,True,True,
201812004478,Pending Request for Reservation Closure,BOC,True,True,
201812004552,Pending Request for Reservation Closure,SDCRAP,True,True,
201812004625,Pending Request for Reservation Closure,BOC,True,True,
201812004772,Pending Request for Reservation Closure,BOC,True,True,
201812004817,Request completed with account closure,BOC,True,True,
201812004871,Service closure Request with BO responsibility,00837,True,True,
201812004921,Pending Liquidation Request,BOC,True,True,
201812005259,Authorization Requested,00193,True,True,
201812005350,Request completed with account closure,BOCSER,True,True,
201812005402,Evaluating Request (WITH registered letter),00849,True,True,
201812005434,Service closure Request with BO responsibility,00829,True,True,
201812005461,Pending Request for Reservation Closure,BOC,True,True,
201812005659,Pending Request for Reservation Closure,BOC,True,True,
201812005779,Pending Request for Reservation Closure,BOC,True,True,
201812005853,Request completed with account closure,BOC,True,True,
201812005862,Service closure Request with BO responsibility,00849,True,True,
201812005898,Request completed with account closure,BOC,True,True,
201812006094,Pending Request for acquittance of heirs,BOC,True,True,
201812006124,Service closure Request with BO responsibility,00844,True,True,
201812006485,Pending Request for Reservation Closure,BOC,True,True,
201812006628,Pending Request for Reservation Closure,BOC,True,True,
201812006707,Request completed with account closure,BOCSER,True,True,
201812006755,Request completed with account closure,BOCSER,True,True,
201812006820,Pending Request for Reservation Closure,BOC,True,True,
201812006824,Pending Request for Reservation Closure,BOC,True,True,
201812007245,Pending Request for Reservation Closure,BOC,True,True,
201812007280,Pending Request for Reservation Closure,BOC,True,True,
201812007319,Service closure Request with BO responsibility,00829,True,True,
201812007397,Pending Request for Reservation Closure,BOC,True,True,
201812007439,Pending Liquidation Request,BOCSER,True,True,
201812007654,Authorization Requested,00501,True,True,
201812007664,Service closure Request with BO responsibility,00835,True,True,
201812007718,Pending Request for Reservation Closure,BOC,True,True,
