case:concept:name,simulations,n_match,any_match,all_match
201810001660,10,10,True,True
201810002650,10,10,True,True
201810006512,10,10,True,True
201810008108,10,10,True,True
201810008268,10,10,True,True
201810008485,10,10,True,True
201810008899,10,10,True,True
20181000902,10,10,True,True
201810010740,10,10,True,True
201810011081,10,10,True,True
201810011583,10,10,True,True
20181012611,10,10,True,True
20181013679,10,10,True,True
201811000205,10,10,True,True
201811001580,10,10,True,True
201811001889,10,10,True,True
201811002881,10,10,True,True
201811003327,10,10,True,True
201811003911,10,10,True,True
201811004163,10,10,True,True
201811004205,10,10,True,True
201811004338,10,10,True,True
201811005226,10,10,True,True
201811005422,10,10,True,True
201811005747,10,10,True,True
201811005954,10,10,True,True
201811006467,10,10,True,True
201811006674,10,6,True,False
201811006982,10,10,True,True
201811007401,10,8,True,False
201811008100,10,10,True,True
201811008330,10,10,True,True
201811008338,10,10,True,True
201811008394,10,10,True,True
201811008598,10,10,True,True
201811008631,10,8,True,False
201811008634,10,10,True,True
201811009132,10,10,True,True
201811009434,10,8,True,False
201811009590,10,10,True,True
201811009800,10,10,True,True
201811010119,10,10,True,True
201811010142,10,10,True,True
201811010681,10,10,True,True
201811010732,10,10,True,True
201811011699,10,10,True,True
201811011715,10,10,True,True
201811011742,10,10,True,True
201811011907,10,10,True,True
201811011916,10,10,True,True
201812000179,10,10,True,True
201812000181,10,10,True,True
201812000186,10,10,True,True
201812000605,10,10,True,True
201812000606,10,10,True,True
201812000900,10,10,True,True
201812002344,10,7,True,False
201812002552,10,10,True,True
201812002630,10,10,True,True
201812002677,10,10,True,True
201812002837,10,10,True,True
201812002893,10,10,True,True
201812003039,10,10,True,True
201812003088,10,10,True,True
201812003287,10,10,True,True
201812004065,10,10,True,True
201812004155,10,10,True,True
201812004198,10,10,True,True
201812004271,10,10,True,True
201812004422,10,10,True,True
201812004433,10,10,True,True
201812004478,10,10,True,True
201812004552,10,10,True,True
201812004625,10,10,True,True
201812004772,10,10,True,True
201812004817,10,10,True,True
201812004871,10,10,True,True
201812004921,10,10,True,True
201812005259,10,10,True,True
201812005350,10,10,True,True
201812005402,10,9,True,False
201812005434,10,10,True,True
201812005461,10,10,True,True
201812005659,10,10,True,True
201812005779,10,10,True,True
201812005853,10,10,True,True
201812005862,10,10,True,True
201812005898,10,10,True,True
201812006094,10,10,True,True
201812006124,10,10,True,True
201812006485,10,10,True,True
201812006628,10,10,True,True
201812006707,10,10,True,True
201812006755,10,10,True,True
201812006820,10,10,True,True
201812006824,10,10,True,True
201812007245,10,10,True,True
201812007280,10,10,True,True
201812007319,10,10,True,True
201812007397,10,10,True,True
201812007439,10,10,True,True
201812007654,10,10,True,True
201812007664,10,10,True,True
201812007718,10,10,True,True
201812007723,10,10,True,True
201812007727,10,10,True,True
201812007780,10,10,True,True
201812007788,10,10,True,True
201812007839,10,10,True,True
201812007853,10,10,True,True
201812008090,10,10,True,True
201812008149,10,10,True,True
201812008346,10,10,True,True
201812008642,10,4,True,False
201812008657,10,10,True,True
201812008694,10,10,True,True
201812008702,10,10,True,True
201812008708,10,10,True,True
201812008800,10,10,True,True
201812008953,10,10,True,True
201812009363,10,10,True,True
201812009485,10,10,True,True
201812009515,10,10,True,True
201812009556,10,10,True,True
201812009573,10,10,True,True
201812009645,10,9,True,False
201812009682,10,10,True,True
201812009703,10,10,True,True
201812009725,10,10,True,True
201812009750,10,10,True,True
201812009753,10,10,True,True
20182005961,10,10,True,True
20182009106,10,10,True,True
20183007131,10,10,True,True
20184001796,10,10,True,True
20185003342,10,10,True,True
20186002647,10,10,True,True
20186005840,10,10,True,True
20186007767,10,10,True,True
20187001795,10,10,True,True
20187002397,10,10,True,True
20187003190,10,10,True,True
20187003641,10,10,True,True
20187006392,10,10,True,True
20187006846,10,10,True,True
20187007250,10,10,True,True
20187010782,10,10,True,True
