case:concept:name,simulation_index,recommended_activity,recommended_resource,first_batch,match_recommendation,status
201810001660,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
201810002650,1,Pending Request for Reservation Closure,BOCSER,Pending Request for Reservation Closure / BOCSER | Pending Liquidation Request / BOC,True,ok
201810006512,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
201810008108,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
201810008268,1,Service closure Request with BO responsibility,00829,Service closure Request with BO responsibility / 00829,True,ok
201810008485,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
201810008899,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
20181000902,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC | Pending Liquidation Request / BOC,True,ok
201810010740,1,Pending Request for Reservation Closure,SDC,Pending Request for Reservation Closure / SDC,True,ok
201810011081,1,Service closure Request with BO responsibility,00835,Service closure Request with BO responsibility / 00835,True,ok
201810011583,1,Service closure Request with BO responsibility,00835,Service closure Request with BO responsibility / 00835,True,ok
20181012611,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
20181013679,1,Pending Request for Reservation Closure,BOCSER,Pending Request for Reservation Closure / BOCSER,True,ok
201811000205,1,Service closure Request with BO responsibility,00829,Service closure Request with BO responsibility / 00829,True,ok
201811001580,1,Service closure Request with BO responsibility,00829,Service closure Request with BO responsibility / 00829,True,ok
201811001889,1,Service closure Request with BO responsibility,00837,Service closure Request with BO responsibility / 00837,True,ok
201811002881,1,Service closure Request with BO responsibility,00842,Service closure Request with BO responsibility / 00842,True,ok
201811003327,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
201811003911,1,Pending Request for Reservation Closure,SDCRAP,Pending Request for Reservation Closure / SDCRAP,True,ok
201811004163,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
201811004205,1,Pending Request for Reservation Closure,BOCSER,Pending Request for Reservation Closure / BOCSER,True,ok
201811004338,1,Service closure Request with BO responsibility,00849,Service closure Request with BO responsibility / 00849,True,ok
201811005226,1,Pending Request for Reservation Closure,BOCSER,Pending Request for Reservation Closure / BOCSER,True,ok
201811005422,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
201811005747,1,Pending Request for acquittance of heirs,BOC,Pending Request for acquittance of heirs / BOC,True,ok
201811005954,1,Service closure Request with BO responsibility,00837,Service closure Request with BO responsibility / 00837,True,ok
201811006467,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
201811006674,1,Evaluating Request (WITH registered letter),00045,Evaluating Request (WITH registered letter) / 00045,True,ok
201811006982,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
201811007401,1,Evaluating Request (WITH registered letter),00594,Evaluating Request (WITH registered letter) / 00594,True,ok
201811008100,1,Pending Request for Reservation Closure,SDCRAP,Pending Request for Reservation Closure / SDCRAP,True,ok
201811008330,1,Pending Request for Reservation Closure,BOCSER,Pending Request for Reservation Closure / BOCSER | Pending Liquidation Request / BOC,True,ok
201811008338,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
201811008394,1,Pending Request for acquittance of heirs,BOC,Pending Request for acquittance of heirs / BOC,True,ok
201811008598,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
201811008631,1,Evaluating Request (WITH registered letter),00147,Service closure Request with BO responsibility / BOC,False,ok
201811008634,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
201811009132,1,Service closure Request with network responsibility,00501,Service closure Request with network responsibility / 00501,True,ok
201811009434,1,Authorization Requested,00594,Authorization Requested / 00594,True,ok
201811009590,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
201811009800,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC | Pending Liquidation Request / BOC,True,ok
201811010119,1,Pending Request for acquittance of heirs,BOC,Pending Request for acquittance of heirs / BOC,True,ok
201811010142,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
201811010681,1,Pending Request for Reservation Closure,BOCSER,Pending Request for Reservation Closure / BOCSER,True,ok
201811010732,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
201811011699,1,Service closure Request with BO responsibility,00829,Service closure Request with BO responsibility / 00829,True,ok
201811011715,1,Service closure Request with BO responsibility,00829,Service closure Request with BO responsibility / 00829,True,ok
201811011742,1,Pending Request for Reservation Closure,BOCSER,Pending Request for Reservation Closure / BOCSER,True,ok
201811011907,1,Service closure Request with BO responsibility,00829,Service closure Request with BO responsibility / 00829,True,ok
201811011916,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
201812000179,1,Service closure Request with BO responsibility,00842,Service closure Request with BO responsibility / 00842,True,ok
201812000181,1,Service closure Request with BO responsibility,00842,Service closure Request with BO responsibility / 00842,True,ok
201812000186,1,Service closure Request with BO responsibility,00829,Service closure Request with BO responsibility / 00829,True,ok
201812000605,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
201812000606,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
201812000900,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
201812002344,1,Evaluating Request (WITH registered letter),00594,Service closure Request with BO responsibility / BOC,False,ok
201812002552,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
201812002630,1,Pending Request for Reservation Closure,BOCSER,Pending Request for Reservation Closure / BOCSER,True,ok
201812002677,1,Pending Request for Reservation Closure,BOCSER,Pending Request for Reservation Closure / BOCSER | Pending Liquidation Request / BOC,True,ok
201812002837,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
201812002893,1,Service closure Request with BO responsibility,00842,Service closure Request with BO responsibility / 00842,True,ok
201812003039,1,Service closure Request with BO responsibility,00829,Service closure Request with BO responsibility / 00829,True,ok
201812003088,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
201812003287,1,Pending Request for acquittance of heirs,BOC,Pending Request for acquittance of heirs / BOC,True,ok
201812004065,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
201812004155,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
201812004198,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
201812004271,1,Service closure Request with BO responsibility,00842,Service closure Request with BO responsibility / 00842,True,ok
201812004422,1,Pending Request for Reservation Closure,BOCSER,Pending Request for Reservation Closure / BOCSER,True,ok
201812004433,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
201812004478,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
201812004552,1,Pending Request for Reservation Closure,SDCRAP,Pending Request for Reservation Closure / SDCRAP,True,ok
201812004625,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
201812004772,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
201812004817,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
201812004871,1,Service closure Request with BO responsibility,00837,Service closure Request with BO responsibility / 00837,True,ok
201812004921,1,Pending Liquidation Request,BOC,Pending Liquidation Request / BOC,True,ok
201812005259,1,Authorization Requested,00193,Authorization Requested / 00193,True,ok
201812005350,1,Request completed with account closure,BOCSER,Request completed with account closure / BOCSER,True,ok
201812005402,1,Evaluating Request (WITH registered letter),00849,Service closure Request with BO responsibility / BOC,False,ok
201812005434,1,Service closure Request with BO responsibility,00829,Service closure Request with BO responsibility / 00829,True,ok
201812005461,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
201812005659,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
201812005779,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
201812005853,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
201812005862,1,Service closure Request with BO responsibility,00849,Service closure Request with BO responsibility / 00849,True,ok
201812005898,1,Request completed with account closure,BOC,Request completed with account closure / BOC,True,ok
201812006094,1,Pending Request for acquittance of heirs,BOC,Pending Request for acquittance of heirs / BOC,True,ok
201812006124,1,Service closure Request with BO responsibility,00844,Service closure Request with BO responsibility / 00844,True,ok
201812006485,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
201812006628,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
201812006707,1,Request completed with account closure,BOCSER,Request completed with account closure / BOCSER,True,ok
201812006755,1,Request completed with account closure,BOCSER,Request completed with account closure / BOCSER,True,ok
201812006820,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
201812006824,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
201812007245,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
201812007280,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC | Pending Liquidation Request / BOC,True,ok
201812007319,1,Service closure Request with BO responsibility,00829,Service closure Request with BO responsibility / 00829,True,ok
201812007397,1,Pending Request for Reservation Closure,BOC,Pending Request for Reservation Closure / BOC,True,ok
201812007439,1,Pending Liquidation Request,BOCSER,Pending Liquidation Request / BOCSER,True,ok
201812007654,1,Authorization Requested,00501,Authorization Requested / 00501,True,ok
201812007664,1,Service closure Request with BO responsibility,00835,Service closure Request with BO responsibility / 00835,True,ok
