case_study,k,n,model_mae_days,dummy_mae_days
BAC,2,1885,10.33368579973183,11.792090256561654
BAC,3,1885,5.310400998466592,6.7963016567020595
BAC,4,1884,2.3713001232245805,4.341032121158895
BAC,5,1838,1.071150136109972,2.4488711163916093
BAC,6,1704,0.5900524350036598,1.5046986402332168
BAC,7,457,0.8200352428969306,2.2742979733395927
BAC,8,259,0.9239285262208923,1.7055965907615505
BAC,9,159,0.7741889900758235,1.7668294408601624
BAC,10,55,0.9680504576471166,1.9821977540557087
BAC,11,29,1.3398945602490975,2.50047709314342
BAC,12,16,0.8674063519564559,3.2854268523185484
BAC,13,4,1.8512990476297908,7.155908564814815
BAC,14,2,9.397444967888458,11.180270210113958
BAC,15,2,8.738286000901601,11.219282407407407
BAC,16,2,6.118838000474218,10.752918981481482
BAC,17,2,9.556041327810778,2.285983796296296
BAC,18,1,1.7388784117925518,0.41458622685185187
BAC,19,1,0.24352014986126158,1.0921952160493826
BAC,20,1,1.1528561765401348e-05,1.64625
bpi17_before,2,1196,14.925939744629055,13.492642717041369
bpi17_before,3,1196,14.987919467321225,13.565087962254715
bpi17_before,4,1196,14.521298882309958,13.279688625397876
bpi17_before,5,1196,14.384520371928229,13.186796730415479
bpi17_before,6,1196,14.467671722827907,13.183937658083398
bpi17_before,7,1195,14.193434368827972,13.19926903533322
bpi17_before,8,1193,12.116715622759624,13.60344501108622
bpi17_before,9,1171,9.655767845712006,14.356902635399532
bpi17_before,10,1025,9.493296101273222,13.495686821579923
bpi17_before,11,912,9.09894060817921,13.732816551991913
bpi17_before,12,860,7.332815006813563,11.622141309776199
bpi17_before,13,788,6.074778632937361,9.084781535115074
bpi17_before,14,648,6.2316076121562745,9.106977434172745
bpi17_before,15,541,6.364720021419034,8.991430181682043
bpi17_before,16,477,5.676044169878516,7.922318747225917
bpi17_before,17,426,4.886838294942567,7.269826743790023
bpi17_before,18,367,4.416102452349554,6.8873080414390415
bpi17_before,19,302,4.158035523231786,6.571698926899509
bpi17_before,20,258,3.5559447914524704,5.855384440756497
bpi17_before,21,214,3.6843365633208287,5.94190660985732
bpi17_before,22,173,3.9381136302304895,5.957926368755456
bpi17_before,23,135,3.8235140896178814,5.894369789852117
bpi17_before,24,115,3.5555461725044784,5.5917485530625015
bpi17_before,25,93,3.6639206885954483,5.252251888036756
bpi17_before,26,82,2.7459295826592793,4.380122563589448
bpi17_before,27,67,2.847467633704547,4.238043172329394
bpi17_before,28,57,1.947859558381071,3.3694715845618597
bpi17_before,29,48,1.840281268604502,3.2829461406371365
bpi17_before,30,39,1.6612378044072467,3.2967380983182637
bpi17_before,31,33,1.5300155242485376,2.781799021894192
bpi17_before,32,26,1.6987100797002912,3.0648293599039507
